"Title:","mx2.bru.be - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bru-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-25 22:05:00"
"End Date:","2020-03-27 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","9122"
"Host ID:","171"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-25 22:05:00","7.6101547900e+08","7.6101547900e+08","1.4002158824e+08","1.4002158824e+08"
"2020-03-25 22:10:00","7.8462541419e+08","7.8462541419e+08","1.5496754787e+08","1.5496754787e+08"
"2020-03-25 22:15:00","7.1179246771e+08","7.1179246771e+08","1.5153133814e+08","1.5153133814e+08"
"2020-03-25 22:20:00","7.0656898890e+08","7.0656898890e+08","1.6059885150e+08","1.6059885150e+08"
"2020-03-25 22:25:00","7.8167037543e+08","7.8167037543e+08","1.5690510889e+08","1.5690510889e+08"
"2020-03-25 22:30:00","6.9734246371e+08","6.9734246371e+08","1.2560497549e+08","1.2560497549e+08"
"2020-03-25 22:35:00","6.3073436918e+08","6.3073436918e+08","1.2943740311e+08","1.2943740311e+08"
"2020-03-25 22:40:00","6.8042094261e+08","6.8042094261e+08","1.4155447549e+08","1.4155447549e+08"
"2020-03-25 22:45:00","9.8752187699e+08","9.8752187699e+08","1.4532600805e+08","1.4532600805e+08"
"2020-03-25 22:50:00","9.8875209218e+08","9.8875209218e+08","1.3729080810e+08","1.3729080810e+08"
"2020-03-25 22:55:00","6.7668397753e+08","6.7668397753e+08","1.2016995028e+08","1.2016995028e+08"
"2020-03-25 23:00:00","5.2597969480e+08","5.2597969480e+08","1.0488991843e+08","1.0488991843e+08"
"2020-03-25 23:05:00","5.0775891571e+08","5.0775891571e+08","1.4311742875e+08","1.4311742875e+08"
"2020-03-25 23:10:00","5.2716818304e+08","5.2716818304e+08","1.0974267918e+08","1.0974267918e+08"
"2020-03-25 23:15:00","5.4160950333e+08","5.4160950333e+08","1.0031234350e+08","1.0031234350e+08"
"2020-03-25 23:20:00","5.0463775533e+08","5.0463775533e+08","8.5039077551e+07","8.5039077551e+07"
"2020-03-25 23:25:00","4.8204073148e+08","4.8204073148e+08","9.1580387427e+07","9.1580387427e+07"
"2020-03-25 23:30:00","5.7499144681e+08","5.7499144681e+08","9.1466174184e+07","9.1466174184e+07"
"2020-03-25 23:35:00","5.6662443756e+08","5.6662443756e+08","9.2744237881e+07","9.2744237881e+07"
"2020-03-25 23:40:00","5.4917454404e+08","5.4917454404e+08","1.0732871430e+08","1.0732871430e+08"
"2020-03-25 23:45:00","4.8156342256e+08","4.8156342256e+08","9.5957849974e+07","9.5957849974e+07"
"2020-03-25 23:50:00","5.0309662028e+08","5.0309662028e+08","7.6427545816e+07","7.6427545816e+07"
"2020-03-25 23:55:00","5.2025674943e+08","5.2025674943e+08","1.3940160328e+08","1.3940160328e+08"
"2020-03-26 00:00:00","5.1950313991e+08","5.1950313991e+08","3.3628735224e+07","3.3628735224e+07"
"2020-03-26 00:05:00","5.1614152408e+08","5.1614152408e+08","3.3385809864e+07","3.3385809864e+07"
"2020-03-26 00:10:00","5.0069760055e+08","5.0069760055e+08","2.5571643237e+07","2.5571643237e+07"
"2020-03-26 00:15:00","5.0047683011e+08","5.0047683011e+08","2.5703543166e+07","2.5703543166e+07"
"2020-03-26 00:20:00","4.5635147307e+08","4.5635147307e+08","6.2289993839e+07","6.2289993839e+07"
"2020-03-26 00:25:00","4.3103471065e+08","4.3103471065e+08","8.5152581220e+07","8.5152581220e+07"
"2020-03-26 00:30:00","4.0706138893e+08","4.0706138893e+08","7.6215688968e+07","7.6215688968e+07"
"2020-03-26 00:35:00","4.2926932472e+08","4.2926932472e+08","1.5558014189e+08","1.5558014189e+08"
"2020-03-26 00:40:00","3.9951006354e+08","3.9951006354e+08","8.6541528281e+07","8.6541528281e+07"
"2020-03-26 00:45:00","3.9286985149e+08","3.9286985149e+08","3.1301328967e+07","3.1301328967e+07"
"2020-03-26 00:50:00","3.6027805379e+08","3.6027805379e+08","2.9773540762e+07","2.9773540762e+07"
"2020-03-26 00:55:00","3.7873779007e+08","3.7873779007e+08","2.5074728044e+07","2.5074728044e+07"
"2020-03-26 01:00:00","3.4836358580e+08","3.4836358580e+08","2.6218520548e+07","2.6218520548e+07"
"2020-03-26 01:05:00","3.5317600528e+08","3.5317600528e+08","3.7643791905e+07","3.7643791905e+07"
"2020-03-26 01:10:00","3.4867630114e+08","3.4867630114e+08","5.5730567128e+07","5.5730567128e+07"
