Title:,mx1.ams.nl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE HAM SRF0000001 | ams-ham
Vertical Label:,bits per second
Start Date:,2020-03-26 22:05:00
End Date:,2020-03-28 00:00:00
Step:,300
Total Rows:,312
Graph ID:,47927
Host ID:,175
Nth Percentile:,20427759456,|95:bits:0:current:2|
Nth Percentile:,15263.23,|95:bits:0:current:2|
""
Date,Inbound,Peak,Outbound,Peak
2020-03-26 22:05:00,0,0,0,0
2020-03-26 22:10:00,0,0,0,0
2020-03-26 22:15:00,0,0,0,0
2020-03-26 22:20:00,0,0,0,0
2020-03-26 22:25:00,0,0,0,0
2020-03-26 22:30:00,0,0,0,0
2020-03-26 22:35:00,0,0,0,0
2020-03-26 22:40:00,0,0,0,0
2020-03-26 22:45:00,0,0,0,0
2020-03-26 22:50:00,0,0,0,0
2020-03-26 22:55:00,0,0,0,0
2020-03-26 23:00:00,0,0,0,0
2020-03-26 23:05:00,0,0,0,0
2020-03-26 23:10:00,0,0,0,0
2020-03-26 23:15:00,0,0,0,0
2020-03-26 23:20:00,0,0,0,0
2020-03-26 23:25:00,0,0,0,0
2020-03-26 23:30:00,0,0,0,0
2020-03-26 23:35:00,0,0,0,0
2020-03-26 23:40:00,0,0,0,0
2020-03-26 23:45:00,0,0,0,0
2020-03-26 23:50:00,0,0,0,0
2020-03-26 23:55:00,0,0,0,0
2020-03-27 00:00:00,0,0,0,0
2020-03-27 00:05:00,0,0,0,0
2020-03-27 00:10:00,0,0,0,0
2020-03-27 00:15:00,0,0,0,0
2020-03-27 00:20:00,0,0,0,0
2020-03-27 00:25:00,0,0,0,0
2020-03-27 00:30:00,0,0,0,0
2020-03-27 00:35:00,0,0,0,0
2020-03-27 00:40:00,0,0,0,0
2020-03-27 00:45:00,0,0,0,0
2020-03-27 00:50:00,0,0,0,0
2020-03-27 00:55:00,0,0,0,0
2020-03-27 01:00:00,0,0,0,0
2020-03-27 01:05:00,0,0,0,0
2020-03-27 01:10:00,0,0,0,0
2020-03-27 01:15:00,0,0,0,0
2020-03-27 01:20:00,0,0,0,0
2020-03-27 01:25:00,0,0,0,0
2020-03-27 01:30:00,0,0,0,0
2020-03-27 01:35:00,0,0,0,0
2020-03-27 01:40:00,0,0,0,0
2020-03-27 01:45:00,0,0,0,0
2020-03-27 01:50:00,0,0,0,0
2020-03-27 01:55:00,0,0,0,0
