"Title:","mx1.bud.hu - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | bud-lju"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47789"
"Host ID:","146"
"Nth Percentile:","1720084509.12","|95:bits:0:current:2|"
"Nth Percentile:","1417596073.52","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","4.9281688881e+08","4.9281688881e+08","2.8900573288e+08","2.8900573288e+08"
"2020-03-26 22:10:00","6.6095242337e+08","6.6095242337e+08","6.4128401378e+08","6.4128401378e+08"
"2020-03-26 22:15:00","2.7796917467e+09","2.7796917467e+09","1.3379383050e+10","1.3379383050e+10"
"2020-03-26 22:20:00","4.2293070881e+09","4.2293070881e+09","8.5467719999e+09","8.5467719999e+09"
"2020-03-26 22:25:00","2.8343437455e+09","2.8343437455e+09","1.4886132305e+10","1.4886132305e+10"
"2020-03-26 22:30:00","1.4546177649e+09","1.4546177649e+09","1.1012033636e+10","1.1012033636e+10"
"2020-03-26 22:35:00","1.7501648609e+09","1.7501648609e+09","1.4219664624e+10","1.4219664624e+10"
"2020-03-26 22:40:00","2.6339447119e+09","2.6339447119e+09","1.4611406764e+10","1.4611406764e+10"
"2020-03-26 22:45:00","2.1730514981e+09","2.1730514981e+09","1.7481754903e+10","1.7481754903e+10"
"2020-03-26 22:50:00","2.3664674572e+09","2.3664674572e+09","1.2282217613e+10","1.2282217613e+10"
"2020-03-26 22:55:00","4.8711339449e+09","4.8711339449e+09","1.2571312934e+10","1.2571312934e+10"
"2020-03-26 23:00:00","8.7086863272e+09","8.7086863272e+09","1.5090756266e+10","1.5090756266e+10"
"2020-03-26 23:05:00","5.3358267263e+09","5.3358267263e+09","1.6230701157e+10","1.6230701157e+10"
"2020-03-26 23:10:00","8.1433655701e+09","8.1433655701e+09","1.2697858625e+10","1.2697858625e+10"
"2020-03-26 23:15:00","2.0229232791e+09","2.0229232791e+09","3.1130018064e+09","3.1130018064e+09"
"2020-03-26 23:20:00","6.0533421535e+08","6.0533421535e+08","5.1076219974e+08","5.1076219974e+08"
"2020-03-26 23:25:00","5.5927102828e+08","5.5927102828e+08","4.1363222081e+08","4.1363222081e+08"
"2020-03-26 23:30:00","5.3058563068e+08","5.3058563068e+08","3.7720046393e+08","3.7720046393e+08"
"2020-03-26 23:35:00","4.8862214781e+08","4.8862214781e+08","3.8031368615e+08","3.8031368615e+08"
"2020-03-26 23:40:00","4.1047148489e+08","4.1047148489e+08","3.3128828924e+08","3.3128828924e+08"
"2020-03-26 23:45:00","3.8203416436e+08","3.8203416436e+08","2.1936270388e+08","2.1936270388e+08"
"2020-03-26 23:50:00","4.5789147652e+08","4.5789147652e+08","2.0868164921e+08","2.0868164921e+08"
"2020-03-26 23:55:00","5.1298414228e+08","5.1298414228e+08","2.0934635004e+08","2.0934635004e+08"
"2020-03-27 00:00:00","5.1734375910e+08","5.1734375910e+08","2.1453847632e+08","2.1453847632e+08"
"2020-03-27 00:05:00","5.1737602711e+08","5.1737602711e+08","2.7335685973e+08","2.7335685973e+08"
"2020-03-27 00:10:00","4.5919523723e+08","4.5919523723e+08","2.3324482256e+08","2.3324482256e+08"
"2020-03-27 00:15:00","4.0091046000e+08","4.0091046000e+08","2.7638678635e+08","2.7638678635e+08"
"2020-03-27 00:20:00","3.5289958510e+08","3.5289958510e+08","5.0362508419e+08","5.0362508419e+08"
"2020-03-27 00:25:00","4.8995495878e+08","4.8995495878e+08","8.5465616742e+08","8.5465616742e+08"
"2020-03-27 00:30:00","5.0811757726e+08","5.0811757726e+08","4.9899265570e+08","4.9899265570e+08"
"2020-03-27 00:35:00","5.1118198298e+08","5.1118198298e+08","3.3815550528e+08","3.3815550528e+08"
"2020-03-27 00:40:00","4.9828861248e+08","4.9828861248e+08","1.0524002724e+08","1.0524002724e+08"
"2020-03-27 00:45:00","4.5418079510e+08","4.5418079510e+08","1.0898522845e+08","1.0898522845e+08"
"2020-03-27 00:50:00","3.6591116777e+08","3.6591116777e+08","1.4832340060e+08","1.4832340060e+08"
"2020-03-27 00:55:00","3.9335371411e+08","3.9335371411e+08","8.6298908206e+07","8.6298908206e+07"
"2020-03-27 01:00:00","4.9589448574e+08","4.9589448574e+08","1.3567561976e+08","1.3567561976e+08"
"2020-03-27 01:05:00","4.8998228754e+08","4.8998228754e+08","2.1770935217e+08","2.1770935217e+08"
"2020-03-27 01:10:00","4.9071234328e+08","4.9071234328e+08","1.6669497578e+08","1.6669497578e+08"
