"Title:","mx1.fra.de - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | FRA-GEN | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48189"
"Host ID:","167"
"Nth Percentile:","59408748594.4","|95:bits:0:current:2|"
"Nth Percentile:","62026869536","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","2.6437591750e+10","2.6437591750e+10","5.3289683181e+10","5.3289683181e+10"
"2020-03-26 22:10:00","2.4888932687e+10","2.4888932687e+10","4.8925846161e+10","4.8925846161e+10"
"2020-03-26 22:15:00","3.0334921890e+10","3.0334921890e+10","5.4368546481e+10","5.4368546481e+10"
"2020-03-26 22:20:00","3.5143231589e+10","3.5143231589e+10","5.1386532240e+10","5.1386532240e+10"
"2020-03-26 22:25:00","3.3421548484e+10","3.3421548484e+10","4.8248792110e+10","4.8248792110e+10"
"2020-03-26 22:30:00","3.6915423628e+10","3.6915423628e+10","4.6452836443e+10","4.6452836443e+10"
"2020-03-26 22:35:00","3.5752861884e+10","3.5752861884e+10","4.8711978941e+10","4.8711978941e+10"
"2020-03-26 22:40:00","3.6726180363e+10","3.6726180363e+10","5.0748139019e+10","5.0748139019e+10"
"2020-03-26 22:45:00","3.9402309278e+10","3.9402309278e+10","4.8667691930e+10","4.8667691930e+10"
"2020-03-26 22:50:00","3.6180623532e+10","3.6180623532e+10","4.8168630413e+10","4.8168630413e+10"
"2020-03-26 22:55:00","3.0576717342e+10","3.0576717342e+10","4.3304434747e+10","4.3304434747e+10"
"2020-03-26 23:00:00","3.1324348772e+10","3.1324348772e+10","4.7122129390e+10","4.7122129390e+10"
"2020-03-26 23:05:00","3.4296801382e+10","3.4296801382e+10","4.5090475871e+10","4.5090475871e+10"
"2020-03-26 23:10:00","4.1388759027e+10","4.1388759027e+10","4.4044489157e+10","4.4044489157e+10"
"2020-03-26 23:15:00","3.6259743989e+10","3.6259743989e+10","4.1288999494e+10","4.1288999494e+10"
"2020-03-26 23:20:00","2.8313493453e+10","2.8313493453e+10","4.2032432545e+10","4.2032432545e+10"
"2020-03-26 23:25:00","2.6902665223e+10","2.6902665223e+10","4.3065867673e+10","4.3065867673e+10"
"2020-03-26 23:30:00","2.7043935938e+10","2.7043935938e+10","4.4067094792e+10","4.4067094792e+10"
"2020-03-26 23:35:00","2.7490268406e+10","2.7490268406e+10","4.8197603699e+10","4.8197603699e+10"
"2020-03-26 23:40:00","2.7208575046e+10","2.7208575046e+10","5.0601331639e+10","5.0601331639e+10"
"2020-03-26 23:45:00","2.7133600080e+10","2.7133600080e+10","5.4856599983e+10","5.4856599983e+10"
"2020-03-26 23:50:00","2.7347341156e+10","2.7347341156e+10","6.3929849312e+10","6.3929849312e+10"
"2020-03-26 23:55:00","2.7453226323e+10","2.7453226323e+10","6.6054485727e+10","6.6054485727e+10"
"2020-03-27 00:00:00","2.0901864262e+10","2.0901864262e+10","6.1731681442e+10","6.1731681442e+10"
"2020-03-27 00:05:00","2.8331306646e+10","2.8331306646e+10","5.0777241042e+10","5.0777241042e+10"
"2020-03-27 00:10:00","2.2218469311e+10","2.2218469311e+10","5.3337401843e+10","5.3337401843e+10"
"2020-03-27 00:15:00","2.5106274851e+10","2.5106274851e+10","5.6729080997e+10","5.6729080997e+10"
"2020-03-27 00:20:00","2.6556703544e+10","2.6556703544e+10","5.6043725381e+10","5.6043725381e+10"
"2020-03-27 00:25:00","2.3785574199e+10","2.3785574199e+10","5.9505693220e+10","5.9505693220e+10"
"2020-03-27 00:30:00","2.6984834954e+10","2.6984834954e+10","4.4257822950e+10","4.4257822950e+10"
"2020-03-27 00:35:00","2.4969821663e+10","2.4969821663e+10","4.8170394230e+10","4.8170394230e+10"
"2020-03-27 00:40:00","2.4680975184e+10","2.4680975184e+10","4.1289077053e+10","4.1289077053e+10"
"2020-03-27 00:45:00","2.1717935659e+10","2.1717935659e+10","4.1869068024e+10","4.1869068024e+10"
