"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","77303232644","|95:bits:0:current:2|"
"Nth Percentile:","77721905440.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","2.2418582174e+10","2.2418582174e+10","2.5042441750e+10","2.5042441750e+10"
"2020-03-26 22:10:00","1.9910905936e+10","1.9910905936e+10","2.5864591243e+10","2.5864591243e+10"
"2020-03-26 22:15:00","1.6921280549e+10","1.6921280549e+10","4.7146270101e+10","4.7146270101e+10"
"2020-03-26 22:20:00","2.0973334806e+10","2.0973334806e+10","8.3334422167e+10","8.3334422167e+10"
"2020-03-26 22:25:00","1.7827571316e+10","1.7827571316e+10","6.4049338378e+10","6.4049338378e+10"
"2020-03-26 22:30:00","1.4924108854e+10","1.4924108854e+10","4.5007310643e+10","4.5007310643e+10"
"2020-03-26 22:35:00","1.4932330187e+10","1.4932330187e+10","4.7127637772e+10","4.7127637772e+10"
"2020-03-26 22:40:00","1.7420574867e+10","1.7420574867e+10","3.5062193930e+10","3.5062193930e+10"
"2020-03-26 22:45:00","2.1886996499e+10","2.1886996499e+10","5.5071570168e+10","5.5071570168e+10"
"2020-03-26 22:50:00","1.9204629823e+10","1.9204629823e+10","4.0702888162e+10","4.0702888162e+10"
"2020-03-26 22:55:00","1.8153316021e+10","1.8153316021e+10","2.9877368853e+10","2.9877368853e+10"
"2020-03-26 23:00:00","1.9147927252e+10","1.9147927252e+10","3.3039139320e+10","3.3039139320e+10"
"2020-03-26 23:05:00","2.9826952531e+10","2.9826952531e+10","3.8934846697e+10","3.8934846697e+10"
"2020-03-26 23:10:00","3.3631225867e+10","3.3631225867e+10","4.3956151284e+10","4.3956151284e+10"
"2020-03-26 23:15:00","3.3356834203e+10","3.3356834203e+10","5.0330903253e+10","5.0330903253e+10"
"2020-03-26 23:20:00","4.0824876353e+10","4.0824876353e+10","3.9108311635e+10","3.9108311635e+10"
"2020-03-26 23:25:00","3.4417542448e+10","3.4417542448e+10","4.4630864469e+10","4.4630864469e+10"
"2020-03-26 23:30:00","2.8880057486e+10","2.8880057486e+10","3.8591811198e+10","3.8591811198e+10"
"2020-03-26 23:35:00","2.6905254997e+10","2.6905254997e+10","6.0111724695e+10","6.0111724695e+10"
