"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","29617122158.4","|95:bits:0:current:2|"
"Nth Percentile:","16600769425.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","1.5036400228e+10","1.5036400228e+10","1.3652716729e+10","1.3652716729e+10"
"2020-03-26 22:10:00","1.6593326065e+10","1.6593326065e+10","1.3933233340e+10","1.3933233340e+10"
"2020-03-26 22:15:00","1.4010164679e+10","1.4010164679e+10","1.3602847384e+10","1.3602847384e+10"
"2020-03-26 22:20:00","1.2886577857e+10","1.2886577857e+10","1.1640040343e+10","1.1640040343e+10"
"2020-03-26 22:25:00","1.4132219963e+10","1.4132219963e+10","6.2922559438e+09","6.2922559438e+09"
"2020-03-26 22:30:00","1.5239355429e+10","1.5239355429e+10","5.4118183726e+09","5.4118183726e+09"
"2020-03-26 22:35:00","1.3897669995e+10","1.3897669995e+10","5.4621537139e+09","5.4621537139e+09"
"2020-03-26 22:40:00","1.9439891660e+10","1.9439891660e+10","4.6195056887e+09","4.6195056887e+09"
"2020-03-26 22:45:00","1.5116807252e+10","1.5116807252e+10","4.7536900358e+09","4.7536900358e+09"
"2020-03-26 22:50:00","1.4796366808e+10","1.4796366808e+10","5.4017450250e+09","5.4017450250e+09"
"2020-03-26 22:55:00","1.3002354657e+10","1.3002354657e+10","4.4882506465e+09","4.4882506465e+09"
"2020-03-26 23:00:00","1.4221810264e+10","1.4221810264e+10","5.0249612047e+09","5.0249612047e+09"
"2020-03-26 23:05:00","1.7123532874e+10","1.7123532874e+10","5.0554671000e+09","5.0554671000e+09"
"2020-03-26 23:10:00","2.8037748459e+10","2.8037748459e+10","6.0269065774e+09","6.0269065774e+09"
"2020-03-26 23:15:00","2.3254131391e+10","2.3254131391e+10","5.2117822458e+09","5.2117822458e+09"
"2020-03-26 23:20:00","1.8983547932e+10","1.8983547932e+10","5.5870016376e+09","5.5870016376e+09"
"2020-03-26 23:25:00","1.1380879051e+10","1.1380879051e+10","5.6376525785e+09","5.6376525785e+09"
"2020-03-26 23:30:00","1.0846809992e+10","1.0846809992e+10","5.8355146383e+09","5.8355146383e+09"
"2020-03-26 23:35:00","1.1746711517e+10","1.1746711517e+10","8.5627784091e+09","8.5627784091e+09"
"2020-03-26 23:40:00","1.0638178129e+10","1.0638178129e+10","1.0419231027e+10","1.0419231027e+10"
"2020-03-26 23:45:00","1.0481548993e+10","1.0481548993e+10","1.1195377519e+10","1.1195377519e+10"
"2020-03-26 23:50:00","9.6615805571e+09","9.6615805571e+09","1.3452221821e+10","1.3452221821e+10"
"2020-03-26 23:55:00","1.4436937676e+10","1.4436937676e+10","1.0059826602e+10","1.0059826602e+10"
"2020-03-27 00:00:00","1.3675724886e+10","1.3675724886e+10","1.1806862331e+10","1.1806862331e+10"
"2020-03-27 00:05:00","1.2076888922e+10","1.2076888922e+10","1.1755837571e+10","1.1755837571e+10"
"2020-03-27 00:10:00","1.4077184491e+10","1.4077184491e+10","1.6255006550e+10","1.6255006550e+10"
"2020-03-27 00:15:00","1.4439191921e+10","1.4439191921e+10","1.5634589212e+10","1.5634589212e+10"
"2020-03-27 00:20:00","1.2052462685e+10","1.2052462685e+10","1.3814516343e+10","1.3814516343e+10"
"2020-03-27 00:25:00","1.1705060377e+10","1.1705060377e+10","1.3741212545e+10","1.3741212545e+10"
"2020-03-27 00:30:00","1.2522999604e+10","1.2522999604e+10","6.3245900493e+09","6.3245900493e+09"
"2020-03-27 00:35:00","1.2864823401e+10","1.2864823401e+10","4.7905325764e+09","4.7905325764e+09"
"2020-03-27 00:40:00","1.1478376841e+10","1.1478376841e+10","5.1481237127e+09","5.1481237127e+09"
"2020-03-27 00:45:00","1.0160315754e+10","1.0160315754e+10","5.6535721514e+09","5.6535721514e+09"
"2020-03-27 00:50:00","1.1320949845e+10","1.1320949845e+10","4.0185868037e+09","4.0185868037e+09"
"2020-03-27 00:55:00","1.0744300297e+10","1.0744300297e+10","4.5398251843e+09","4.5398251843e+09"
"2020-03-27 01:00:00","1.8035332377e+10","1.8035332377e+10","4.9471648330e+09","4.9471648330e+09"
"2020-03-27 01:05:00","2.3767880242e+10","2.3767880242e+10","3.7331306871e+09","3.7331306871e+09"
"2020-03-27 01:10:00","1.7575779774e+10","1.7575779774e+10","4.4249923515e+09","4.4249923515e+09"
"2020-03-27 01:15:00","1.5266885399e+10","1.5266885399e+10","3.3576653588e+09","3.3576653588e+09"
"2020-03-27 01:20:00","1.2135213441e+10","1.2135213441e+10","7.1700831168e+09","7.1700831168e+09"
"2020-03-27 01:25:00","1.1702297682e+10","1.1702297682e+10","1.3349175386e+10","1.3349175386e+10"
"2020-03-27 01:30:00","8.9787302623e+09","8.9787302623e+09","2.1310457613e+10","2.1310457613e+10"
"2020-03-27 01:35:00","9.6106342984e+09","9.6106342984e+09","2.1362314004e+10","2.1362314004e+10"
"2020-03-27 01:40:00","1.0341903940e+10","1.0341903940e+10","2.0538249727e+10","2.0538249727e+10"
"2020-03-27 01:45:00","1.1991851500e+10","1.1991851500e+10","1.6247258577e+10","1.6247258577e+10"
"2020-03-27 01:50:00","1.3165843954e+10","1.3165843954e+10","1.2981811090e+10","1.2981811090e+10"
"2020-03-27 01:55:00","1.2543099093e+10","1.2543099093e+10","1.4271207293e+10","1.4271207293e+10"
"2020-03-27 02:00:00","1.4498417210e+10","1.4498417210e+10","1.3997113117e+10","1.3997113117e+10"
"2020-03-27 02:05:00","1.0908428828e+10","1.0908428828e+10","1.0230062011e+10","1.0230062011e+10"
"2020-03-27 02:10:00","1.0603015764e+10","1.0603015764e+10","1.1666213113e+10","1.1666213113e+10"
"2020-03-27 02:15:00","1.6451204778e+10","1.6451204778e+10","9.2437201483e+09","9.2437201483e+09"
"2020-03-27 02:20:00","1.2414620019e+10","1.2414620019e+10","9.5530920002e+09","9.5530920002e+09"
"2020-03-27 02:25:00","1.0961330153e+10","1.0961330153e+10","9.5418433431e+09","9.5418433431e+09"
"2020-03-27 02:30:00","1.1627152970e+10","1.1627152970e+10","1.0349097738e+10","1.0349097738e+10"
"2020-03-27 02:35:00","1.2297644873e+10","1.2297644873e+10","8.0251039113e+09","8.0251039113e+09"
"2020-03-27 02:40:00","1.2931769693e+10","1.2931769693e+10","9.8052794229e+09","9.8052794229e+09"
"2020-03-27 02:45:00","1.9467147413e+10","1.9467147413e+10","1.2103471461e+10","1.2103471461e+10"
"2020-03-27 02:50:00","3.9573755257e+10","3.9573755257e+10","9.4944283012e+09","9.4944283012e+09"
"2020-03-27 02:55:00","1.8075408829e+10","1.8075408829e+10","6.2252568273e+09","6.2252568273e+09"
"2020-03-27 03:00:00","1.2544167953e+10","1.2544167953e+10","1.1643900787e+10","1.1643900787e+10"
"2020-03-27 03:05:00","1.0586616742e+10","1.0586616742e+10","1.0634914765e+10","1.0634914765e+10"
"2020-03-27 03:10:00","1.0923447740e+10","1.0923447740e+10","5.6841154489e+09","5.6841154489e+09"
"2020-03-27 03:15:00","1.2784060282e+10","1.2784060282e+10","5.9339766559e+09","5.9339766559e+09"
"2020-03-27 03:20:00","1.7715948493e+10","1.7715948493e+10","5.6287675922e+09","5.6287675922e+09"
"2020-03-27 03:25:00","1.8554290411e+10","1.8554290411e+10","5.1877185625e+09","5.1877185625e+09"
"2020-03-27 03:30:00","9.8314301055e+09","9.8314301055e+09","5.4172887582e+09","5.4172887582e+09"
"2020-03-27 03:35:00","1.0381261484e+10","1.0381261484e+10","4.8816417497e+09","4.8816417497e+09"
"2020-03-27 03:40:00","1.2863618906e+10","1.2863618906e+10","4.8034377233e+09","4.8034377233e+09"
"2020-03-27 03:45:00","1.3107341425e+10","1.3107341425e+10","4.5504334983e+09","4.5504334983e+09"
"2020-03-27 03:50:00","1.1102899106e+10","1.1102899106e+10","4.4086520986e+09","4.4086520986e+09"
"2020-03-27 03:55:00","1.5402677054e+10","1.5402677054e+10","4.8705468919e+09","4.8705468919e+09"
"2020-03-27 04:00:00","2.1243113352e+10","2.1243113352e+10","5.2281723046e+09","5.2281723046e+09"
"2020-03-27 04:05:00","1.3379462186e+10","1.3379462186e+10","5.0833594658e+09","5.0833594658e+09"
"2020-03-27 04:10:00","1.2574018564e+10","1.2574018564e+10","4.2912542318e+09","4.2912542318e+09"
"2020-03-27 04:15:00","1.3240520198e+10","1.3240520198e+10","4.4506148882e+09","4.4506148882e+09"
"2020-03-27 04:20:00","1.5124186025e+10","1.5124186025e+10","8.3662885748e+09","8.3662885748e+09"
"2020-03-27 04:25:00","1.2761767479e+10","1.2761767479e+10","7.6638686378e+09","7.6638686378e+09"
"2020-03-27 04:30:00","1.7009266159e+10","1.7009266159e+10","5.9585915486e+09","5.9585915486e+09"
"2020-03-27 04:35:00","1.8551196054e+10","1.8551196054e+10","1.1284495782e+10","1.1284495782e+10"
"2020-03-27 04:40:00","1.2415097100e+10","1.2415097100e+10","7.8522746837e+09","7.8522746837e+09"
"2020-03-27 04:45:00","1.3207684939e+10","1.3207684939e+10","1.1380053837e+10","1.1380053837e+10"
"2020-03-27 04:50:00","1.3082639274e+10","1.3082639274e+10","1.2465169926e+10","1.2465169926e+10"
"2020-03-27 04:55:00","1.3526040541e+10","1.3526040541e+10","1.0355126031e+10","1.0355126031e+10"
"2020-03-27 05:00:00","1.2217815086e+10","1.2217815086e+10","1.0670101950e+10","1.0670101950e+10"
"2020-03-27 05:05:00","1.7851231027e+10","1.7851231027e+10","1.2307349781e+10","1.2307349781e+10"
"2020-03-27 05:10:00","1.4472652113e+10","1.4472652113e+10","1.0884701781e+10","1.0884701781e+10"
"2020-03-27 05:15:00","1.1581537853e+10","1.1581537853e+10","1.0105238694e+10","1.0105238694e+10"
"2020-03-27 05:20:00","9.5216364328e+09","9.5216364328e+09","1.0049954744e+10","1.0049954744e+10"
"2020-03-27 05:25:00","1.0566614393e+10","1.0566614393e+10","1.2191986985e+10","1.2191986985e+10"
"2020-03-27 05:30:00","7.6325628285e+09","7.6325628285e+09","8.3736895726e+09","8.3736895726e+09"
"2020-03-27 05:35:00","1.8086879417e+10","1.8086879417e+10","4.9960178420e+09","4.9960178420e+09"
"2020-03-27 05:40:00","2.5991549719e+10","2.5991549719e+10","4.6352731466e+09","4.6352731466e+09"
"2020-03-27 05:45:00","1.6941921573e+10","1.6941921573e+10","3.7390854281e+09","3.7390854281e+09"
"2020-03-27 05:50:00","1.6753939181e+10","1.6753939181e+10","5.6997410658e+09","5.6997410658e+09"
"2020-03-27 05:55:00","1.8315730631e+10","1.8315730631e+10","5.8317603935e+09","5.8317603935e+09"
"2020-03-27 06:00:00","1.6558969883e+10","1.6558969883e+10","5.7908395841e+09","5.7908395841e+09"
"2020-03-27 06:05:00","1.9770038043e+10","1.9770038043e+10","4.2797061770e+09","4.2797061770e+09"
"2020-03-27 06:10:00","1.8686981086e+10","1.8686981086e+10","4.2365582033e+09","4.2365582033e+09"
"2020-03-27 06:15:00","1.8210975459e+10","1.8210975459e+10","5.0028249042e+09","5.0028249042e+09"
"2020-03-27 06:20:00","1.7462082745e+10","1.7462082745e+10","6.9020493382e+09","6.9020493382e+09"
"2020-03-27 06:25:00","2.3072716686e+10","2.3072716686e+10","4.3704384385e+09","4.3704384385e+09"
"2020-03-27 06:30:00","2.1430674102e+10","2.1430674102e+10","5.4786011286e+09","5.4786011286e+09"
"2020-03-27 06:35:00","1.0654044383e+10","1.0654044383e+10","6.4001214342e+09","6.4001214342e+09"
"2020-03-27 06:40:00","1.1651985033e+10","1.1651985033e+10","5.8948620949e+09","5.8948620949e+09"
"2020-03-27 06:45:00","1.1582177375e+10","1.1582177375e+10","4.6211749152e+09","4.6211749152e+09"
"2020-03-27 06:50:00","1.7678296943e+10","1.7678296943e+10","6.5455753332e+09","6.5455753332e+09"
"2020-03-27 06:55:00","1.3759764803e+10","1.3759764803e+10","4.1143538767e+09","4.1143538767e+09"
"2020-03-27 07:00:00","1.2930425078e+10","1.2930425078e+10","3.7101446985e+09","3.7101446985e+09"
"2020-03-27 07:05:00","1.4835251461e+10","1.4835251461e+10","4.2952912839e+09","4.2952912839e+09"
"2020-03-27 07:10:00","2.2417088333e+10","2.2417088333e+10","4.3126520337e+09","4.3126520337e+09"
"2020-03-27 07:15:00","1.5281716417e+10","1.5281716417e+10","4.4716832089e+09","4.4716832089e+09"
"2020-03-27 07:20:00","1.9370856825e+10","1.9370856825e+10","8.4283987179e+09","8.4283987179e+09"
"2020-03-27 07:25:00","3.1363168531e+10","3.1363168531e+10","6.9048673738e+09","6.9048673738e+09"
"2020-03-27 07:30:00","2.4494291472e+10","2.4494291472e+10","5.3606601654e+09","5.3606601654e+09"
"2020-03-27 07:35:00","1.5303835255e+10","1.5303835255e+10","4.7409764437e+09","4.7409764437e+09"
"2020-03-27 07:40:00","1.6615947651e+10","1.6615947651e+10","6.1312067293e+09","6.1312067293e+09"
"2020-03-27 07:45:00","1.7167830753e+10","1.7167830753e+10","5.3352681198e+09","5.3352681198e+09"
"2020-03-27 07:50:00","1.8620258589e+10","1.8620258589e+10","4.4907647510e+09","4.4907647510e+09"
"2020-03-27 07:55:00","2.7118009681e+10","2.7118009681e+10","4.6022474604e+09","4.6022474604e+09"
