"Title:","mx1.mad.es - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | mad-par"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47849"
"Host ID:","154"
"Nth Percentile:","3681756331.92","|95:bits:0:current:2|"
"Nth Percentile:","2292836807.68","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","2.0478390683e+09","2.0478390683e+09","7.3883897876e+08","7.3883897876e+08"
"2020-03-26 22:10:00","1.6532341372e+09","1.6532341372e+09","1.0079052171e+09","1.0079052171e+09"
"2020-03-26 22:15:00","1.8698608205e+09","1.8698608205e+09","7.5570178303e+08","7.5570178303e+08"
"2020-03-26 22:20:00","1.9577768583e+09","1.9577768583e+09","6.2537860504e+08","6.2537860504e+08"
"2020-03-26 22:25:00","1.5941774391e+09","1.5941774391e+09","8.5661805069e+08","8.5661805069e+08"
"2020-03-26 22:30:00","1.1021422601e+09","1.1021422601e+09","6.6293987150e+08","6.6293987150e+08"
"2020-03-26 22:35:00","1.8433464280e+09","1.8433464280e+09","9.7146224210e+08","9.7146224210e+08"
"2020-03-26 22:40:00","2.1387715722e+09","2.1387715722e+09","7.8871768891e+08","7.8871768891e+08"
"2020-03-26 22:45:00","1.7371936692e+09","1.7371936692e+09","7.0836880925e+08","7.0836880925e+08"
"2020-03-26 22:50:00","1.1848021249e+09","1.1848021249e+09","8.3163405418e+08","8.3163405418e+08"
"2020-03-26 22:55:00","1.1991200340e+09","1.1991200340e+09","1.1523289640e+09","1.1523289640e+09"
"2020-03-26 23:00:00","1.2841476277e+09","1.2841476277e+09","9.1328640002e+08","9.1328640002e+08"
"2020-03-26 23:05:00","1.9275711331e+09","1.9275711331e+09","1.1132358348e+09","1.1132358348e+09"
"2020-03-26 23:10:00","2.3138856585e+09","2.3138856585e+09","9.0967042349e+08","9.0967042349e+08"
"2020-03-26 23:15:00","2.8325287839e+09","2.8325287839e+09","1.1809500149e+09","1.1809500149e+09"
"2020-03-26 23:20:00","2.6638781269e+09","2.6638781269e+09","9.8734959514e+08","9.8734959514e+08"
"2020-03-26 23:25:00","2.1187470064e+09","2.1187470064e+09","9.4844487696e+08","9.4844487696e+08"
"2020-03-26 23:30:00","3.4814489216e+09","3.4814489216e+09","8.4893029012e+08","8.4893029012e+08"
"2020-03-26 23:35:00","3.6822889219e+09","3.6822889219e+09","9.1042014836e+08","9.1042014836e+08"
"2020-03-26 23:40:00","3.0356316120e+09","3.0356316120e+09","1.0862293068e+09","1.0862293068e+09"
"2020-03-26 23:45:00","2.1410532707e+09","2.1410532707e+09","1.2523208336e+09","1.2523208336e+09"
"2020-03-26 23:50:00","2.0960995253e+09","2.0960995253e+09","6.1095484034e+08","6.1095484034e+08"
"2020-03-26 23:55:00","3.1379451255e+09","3.1379451255e+09","8.4591464712e+08","8.4591464712e+08"
"2020-03-27 00:00:00","2.6707148840e+09","2.6707148840e+09","9.0915606840e+08","9.0915606840e+08"
"2020-03-27 00:05:00","2.5310503101e+09","2.5310503101e+09","1.1144825103e+09","1.1144825103e+09"
"2020-03-27 00:10:00","2.1741126460e+09","2.1741126460e+09","1.0079213618e+09","1.0079213618e+09"
"2020-03-27 00:15:00","1.6119685384e+09","1.6119685384e+09","8.9063569154e+08","8.9063569154e+08"
"2020-03-27 00:20:00","2.6869843342e+09","2.6869843342e+09","1.2341128009e+09","1.2341128009e+09"
"2020-03-27 00:25:00","2.8319271921e+09","2.8319271921e+09","1.1040794010e+09","1.1040794010e+09"
"2020-03-27 00:30:00","2.3528189949e+09","2.3528189949e+09","1.5005056034e+09","1.5005056034e+09"
"2020-03-27 00:35:00","1.3127985954e+09","1.3127985954e+09","1.3333445746e+09","1.3333445746e+09"
"2020-03-27 00:40:00","7.9711020326e+08","7.9711020326e+08","1.0457323144e+09","1.0457323144e+09"
"2020-03-27 00:45:00","2.3591761141e+09","2.3591761141e+09","1.0424358584e+09","1.0424358584e+09"
"2020-03-27 00:50:00","2.3445392669e+09","2.3445392669e+09","9.0494845734e+08","9.0494845734e+08"
"2020-03-27 00:55:00","1.8382333709e+09","1.8382333709e+09","1.1032133090e+09","1.1032133090e+09"
"2020-03-27 01:00:00","1.2103751358e+09","1.2103751358e+09","7.4884284384e+08","7.4884284384e+08"
"2020-03-27 01:05:00","1.6130643530e+09","1.6130643530e+09","6.9646075119e+08","6.9646075119e+08"
"2020-03-27 01:10:00","2.0449833067e+09","2.0449833067e+09","5.4000595567e+08","5.4000595567e+08"
"2020-03-27 01:15:00","2.3743845812e+09","2.3743845812e+09","9.7203569879e+08","9.7203569879e+08"
"2020-03-27 01:20:00","2.4806565848e+09","2.4806565848e+09","2.3427829254e+08","2.3427829254e+08"
"2020-03-27 01:25:00","1.6101588984e+09","1.6101588984e+09","2.9907578323e+08","2.9907578323e+08"
"2020-03-27 01:30:00","9.7678335061e+08","9.7678335061e+08","2.3030817049e+08","2.3030817049e+08"
"2020-03-27 01:35:00","1.0554454715e+09","1.0554454715e+09","3.5686995506e+08","3.5686995506e+08"
"2020-03-27 01:40:00","1.2866376479e+09","1.2866376479e+09","4.8510413452e+08","4.8510413452e+08"
