"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","14717984506.4","|95:bits:0:current:2|"
"Nth Percentile:","14371981596","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","9.1980662189e+09","9.1980662189e+09","1.4400223805e+10","1.4400223805e+10"
"2020-03-26 22:10:00","8.1154936578e+09","8.1154936578e+09","1.3656275062e+10","1.3656275062e+10"
"2020-03-26 22:15:00","9.4687182144e+09","9.4687182144e+09","1.1353565887e+10","1.1353565887e+10"
"2020-03-26 22:20:00","1.0093233757e+10","1.0093233757e+10","1.4371981596e+10","1.4371981596e+10"
"2020-03-26 22:25:00","1.0342610990e+10","1.0342610990e+10","1.6415929503e+10","1.6415929503e+10"
"2020-03-26 22:30:00","1.0192407050e+10","1.0192407050e+10","1.1748572716e+10","1.1748572716e+10"
"2020-03-26 22:35:00","1.0206413013e+10","1.0206413013e+10","1.1468869089e+10","1.1468869089e+10"
"2020-03-26 22:40:00","9.9422554402e+09","9.9422554402e+09","1.3120859356e+10","1.3120859356e+10"
"2020-03-26 22:45:00","1.2170452320e+10","1.2170452320e+10","7.6906335080e+09","7.6906335080e+09"
"2020-03-26 22:50:00","1.1681787785e+10","1.1681787785e+10","5.5028885042e+09","5.5028885042e+09"
"2020-03-26 22:55:00","1.1835947470e+10","1.1835947470e+10","6.1243055833e+09","6.1243055833e+09"
"2020-03-26 23:00:00","8.2508580580e+09","8.2508580580e+09","6.4059371500e+09","6.4059371500e+09"
"2020-03-26 23:05:00","1.4717984507e+10","1.4717984507e+10","5.5940905241e+09","5.5940905241e+09"
"2020-03-26 23:10:00","1.3379867082e+10","1.3379867082e+10","7.6859883476e+09","7.6859883476e+09"
"2020-03-26 23:15:00","1.4313333957e+10","1.4313333957e+10","8.9444639486e+09","8.9444639486e+09"
"2020-03-26 23:20:00","1.1443666207e+10","1.1443666207e+10","7.9484985981e+09","7.9484985981e+09"
"2020-03-26 23:25:00","1.1941576463e+10","1.1941576463e+10","4.8073686634e+09","4.8073686634e+09"
"2020-03-26 23:30:00","1.1881717877e+10","1.1881717877e+10","4.3120068940e+09","4.3120068940e+09"
"2020-03-26 23:35:00","1.1712466060e+10","1.1712466060e+10","4.3119551246e+09","4.3119551246e+09"
"2020-03-26 23:40:00","9.1701747103e+09","9.1701747103e+09","4.2045706231e+09","4.2045706231e+09"
"2020-03-26 23:45:00","1.2202939163e+10","1.2202939163e+10","3.7257390023e+09","3.7257390023e+09"
"2020-03-26 23:50:00","9.1366068290e+09","9.1366068290e+09","5.4650034002e+09","5.4650034002e+09"
"2020-03-26 23:55:00","7.4240435790e+09","7.4240435790e+09","3.9822106607e+09","3.9822106607e+09"
"2020-03-27 00:00:00","7.3538509607e+09","7.3538509607e+09","3.8858826316e+09","3.8858826316e+09"
"2020-03-27 00:05:00","7.6200973156e+09","7.6200973156e+09","6.0690954483e+09","6.0690954483e+09"
"2020-03-27 00:10:00","8.2842534248e+09","8.2842534248e+09","3.7351472092e+09","3.7351472092e+09"
"2020-03-27 00:15:00","9.8057891566e+09","9.8057891566e+09","4.0707958256e+09","4.0707958256e+09"
"2020-03-27 00:20:00","9.0259622064e+09","9.0259622064e+09","5.6878366956e+09","5.6878366956e+09"
"2020-03-27 00:25:00","1.0347617816e+10","1.0347617816e+10","3.5101189167e+09","3.5101189167e+09"
"2020-03-27 00:30:00","9.4895373951e+09","9.4895373951e+09","6.3582288721e+09","6.3582288721e+09"
"2020-03-27 00:35:00","8.5334559509e+09","8.5334559509e+09","4.0449935112e+09","4.0449935112e+09"
"2020-03-27 00:40:00","7.3790502802e+09","7.3790502802e+09","5.8902005920e+09","5.8902005920e+09"
"2020-03-27 00:45:00","7.6386507948e+09","7.6386507948e+09","4.8866502081e+09","4.8866502081e+09"
"2020-03-27 00:50:00","7.7056892179e+09","7.7056892179e+09","5.8397649019e+09","5.8397649019e+09"
"2020-03-27 00:55:00","7.4516160043e+09","7.4516160043e+09","4.4598636228e+09","4.4598636228e+09"
"2020-03-27 01:00:00","1.0764874247e+10","1.0764874247e+10","3.0049249154e+09","3.0049249154e+09"
"2020-03-27 01:05:00","1.0372800874e+10","1.0372800874e+10","3.9396319377e+09","3.9396319377e+09"
"2020-03-27 01:10:00","8.0571279723e+09","8.0571279723e+09","5.7432848452e+09","5.7432848452e+09"
"2020-03-27 01:15:00","8.5923053947e+09","8.5923053947e+09","4.1424055805e+09","4.1424055805e+09"
"2020-03-27 01:20:00","8.1258956972e+09","8.1258956972e+09","4.9442592732e+09","4.9442592732e+09"
"2020-03-27 01:25:00","8.2811835038e+09","8.2811835038e+09","6.0724164909e+09","6.0724164909e+09"
"2020-03-27 01:30:00","8.9270507971e+09","8.9270507971e+09","5.7992357052e+09","5.7992357052e+09"
"2020-03-27 01:35:00","8.5806689683e+09","8.5806689683e+09","6.9035431025e+09","6.9035431025e+09"
"2020-03-27 01:40:00","9.0913295009e+09","9.0913295009e+09","9.7349347549e+09","9.7349347549e+09"
"2020-03-27 01:45:00","9.0192459755e+09","9.0192459755e+09","8.2473431530e+09","8.2473431530e+09"
"2020-03-27 01:50:00","1.1281832044e+10","1.1281832044e+10","8.8383342227e+09","8.8383342227e+09"
"2020-03-27 01:55:00","1.1496321698e+10","1.1496321698e+10","6.3496324858e+09","6.3496324858e+09"
"2020-03-27 02:00:00","1.2950493941e+10","1.2950493941e+10","3.9970606938e+09","3.9970606938e+09"
"2020-03-27 02:05:00","1.2401318428e+10","1.2401318428e+10","3.6484727641e+09","3.6484727641e+09"
"2020-03-27 02:10:00","9.6515713535e+09","9.6515713535e+09","4.8156222509e+09","4.8156222509e+09"
"2020-03-27 02:15:00","6.9096241939e+09","6.9096241939e+09","4.5392655328e+09","4.5392655328e+09"
"2020-03-27 02:20:00","7.5412261369e+09","7.5412261369e+09","4.7028799677e+09","4.7028799677e+09"
"2020-03-27 02:25:00","6.4480683494e+09","6.4480683494e+09","3.3523556599e+09","3.3523556599e+09"
"2020-03-27 02:30:00","8.4074587160e+09","8.4074587160e+09","4.6373607044e+09","4.6373607044e+09"
"2020-03-27 02:35:00","7.5220358063e+09","7.5220358063e+09","6.0216080330e+09","6.0216080330e+09"
"2020-03-27 02:40:00","8.4981711923e+09","8.4981711923e+09","5.2354794022e+09","5.2354794022e+09"
"2020-03-27 02:45:00","8.3386435893e+09","8.3386435893e+09","4.3016617231e+09","4.3016617231e+09"
"2020-03-27 02:50:00","9.8580154049e+09","9.8580154049e+09","7.2717168039e+09","7.2717168039e+09"
"2020-03-27 02:55:00","1.1166577278e+10","1.1166577278e+10","5.2449340578e+09","5.2449340578e+09"
"2020-03-27 03:00:00","9.2665744452e+09","9.2665744452e+09","6.3523653637e+09","6.3523653637e+09"
"2020-03-27 03:05:00","9.3993156452e+09","9.3993156452e+09","3.8366735830e+09","3.8366735830e+09"
"2020-03-27 03:10:00","8.2328184614e+09","8.2328184614e+09","5.6044686687e+09","5.6044686687e+09"
"2020-03-27 03:15:00","1.0601190669e+10","1.0601190669e+10","6.8201866378e+09","6.8201866378e+09"
"2020-03-27 03:20:00","1.2687304412e+10","1.2687304412e+10","5.7806446803e+09","5.7806446803e+09"
"2020-03-27 03:25:00","1.1838218069e+10","1.1838218069e+10","4.8725414872e+09","4.8725414872e+09"
"2020-03-27 03:30:00","1.0531272776e+10","1.0531272776e+10","4.2635021219e+09","4.2635021219e+09"
"2020-03-27 03:35:00","9.7800831816e+09","9.7800831816e+09","4.2320203657e+09","4.2320203657e+09"
"2020-03-27 03:40:00","8.9222147357e+09","8.9222147357e+09","5.2436378001e+09","5.2436378001e+09"
"2020-03-27 03:45:00","8.6975952917e+09","8.6975952917e+09","5.8868255655e+09","5.8868255655e+09"
"2020-03-27 03:50:00","8.4300905287e+09","8.4300905287e+09","4.6607458552e+09","4.6607458552e+09"
"2020-03-27 03:55:00","8.2890952864e+09","8.2890952864e+09","3.7217244970e+09","3.7217244970e+09"
"2020-03-27 04:00:00","8.7472257032e+09","8.7472257032e+09","3.2604568600e+09","3.2604568600e+09"
"2020-03-27 04:05:00","8.7528293455e+09","8.7528293455e+09","4.3069366957e+09","4.3069366957e+09"
"2020-03-27 04:10:00","1.1181687468e+10","1.1181687468e+10","3.9473835032e+09","3.9473835032e+09"
"2020-03-27 04:15:00","1.2046577160e+10","1.2046577160e+10","4.2299026203e+09","4.2299026203e+09"
"2020-03-27 04:20:00","1.2517534600e+10","1.2517534600e+10","4.8044560501e+09","4.8044560501e+09"
"2020-03-27 04:25:00","9.8825513639e+09","9.8825513639e+09","4.5815264442e+09","4.5815264442e+09"
"2020-03-27 04:30:00","7.9739577304e+09","7.9739577304e+09","4.5175801474e+09","4.5175801474e+09"
"2020-03-27 04:35:00","8.3250311025e+09","8.3250311025e+09","4.7771617079e+09","4.7771617079e+09"
"2020-03-27 04:40:00","6.1232370332e+09","6.1232370332e+09","4.7750341991e+09","4.7750341991e+09"
"2020-03-27 04:45:00","6.7184046205e+09","6.7184046205e+09","4.4515786342e+09","4.4515786342e+09"
"2020-03-27 04:50:00","8.4348821159e+09","8.4348821159e+09","4.2645857714e+09","4.2645857714e+09"
"2020-03-27 04:55:00","9.7323939310e+09","9.7323939310e+09","3.8328698511e+09","3.8328698511e+09"
"2020-03-27 05:00:00","1.1098695674e+10","1.1098695674e+10","5.5460400183e+09","5.5460400183e+09"
