"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","47154223544","|95:bits:0:current:2|"
"Nth Percentile:","29553501454.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","3.0010513273e+10","3.0010513273e+10","1.6059699111e+10","1.6059699111e+10"
"2020-03-26 22:10:00","2.7535444274e+10","2.7535444274e+10","1.5748487494e+10","1.5748487494e+10"
"2020-03-26 22:15:00","4.6414509277e+10","4.6414509277e+10","2.3086274996e+10","2.3086274996e+10"
"2020-03-26 22:20:00","4.2648643825e+10","4.2648643825e+10","2.3170990447e+10","2.3170990447e+10"
"2020-03-26 22:25:00","4.7154223544e+10","4.7154223544e+10","1.9867032399e+10","1.9867032399e+10"
"2020-03-26 22:30:00","4.1768250808e+10","4.1768250808e+10","2.0461147908e+10","2.0461147908e+10"
"2020-03-26 22:35:00","4.6659407002e+10","4.6659407002e+10","2.1130408005e+10","2.1130408005e+10"
"2020-03-26 22:40:00","4.3561199259e+10","4.3561199259e+10","1.9103030966e+10","1.9103030966e+10"
"2020-03-26 22:45:00","4.7967642433e+10","4.7967642433e+10","2.1519683063e+10","2.1519683063e+10"
"2020-03-26 22:50:00","4.5195560446e+10","4.5195560446e+10","2.1304139407e+10","2.1304139407e+10"
"2020-03-26 22:55:00","4.3443667076e+10","4.3443667076e+10","2.5251345052e+10","2.5251345052e+10"
"2020-03-26 23:00:00","4.5617596547e+10","4.5617596547e+10","2.9553501454e+10","2.9553501454e+10"
"2020-03-26 23:05:00","4.9559246794e+10","4.9559246794e+10","2.3027091171e+10","2.3027091171e+10"
"2020-03-26 23:10:00","4.2948667788e+10","4.2948667788e+10","2.6698110886e+10","2.6698110886e+10"
"2020-03-26 23:15:00","2.3334589255e+10","2.3334589255e+10","1.2913467185e+10","1.2913467185e+10"
"2020-03-26 23:20:00","1.7309187344e+10","1.7309187344e+10","1.2565872367e+10","1.2565872367e+10"
"2020-03-26 23:25:00","2.3013347888e+10","2.3013347888e+10","1.5060868665e+10","1.5060868665e+10"
"2020-03-26 23:30:00","1.7012458570e+10","1.7012458570e+10","1.1638892259e+10","1.1638892259e+10"
"2020-03-26 23:35:00","2.2074749787e+10","2.2074749787e+10","9.6205164346e+09","9.6205164346e+09"
"2020-03-26 23:40:00","1.6884772286e+10","1.6884772286e+10","1.1697775736e+10","1.1697775736e+10"
"2020-03-26 23:45:00","1.7489868513e+10","1.7489868513e+10","1.1603904375e+10","1.1603904375e+10"
"2020-03-26 23:50:00","1.9133167064e+10","1.9133167064e+10","9.9197533892e+09","9.9197533892e+09"
"2020-03-26 23:55:00","2.2642998318e+10","2.2642998318e+10","1.3256339933e+10","1.3256339933e+10"
"2020-03-27 00:00:00","1.9678671798e+10","1.9678671798e+10","1.1604556981e+10","1.1604556981e+10"
"2020-03-27 00:05:00","2.0522274389e+10","2.0522274389e+10","1.0685096097e+10","1.0685096097e+10"
"2020-03-27 00:10:00","1.8343459954e+10","1.8343459954e+10","1.1157829131e+10","1.1157829131e+10"
"2020-03-27 00:15:00","1.6907788289e+10","1.6907788289e+10","1.5233013597e+10","1.5233013597e+10"
"2020-03-27 00:20:00","1.6937209605e+10","1.6937209605e+10","1.9929410246e+10","1.9929410246e+10"
"2020-03-27 00:25:00","1.5198271393e+10","1.5198271393e+10","1.2831607138e+10","1.2831607138e+10"
