"Title:","mx2.ath.gr - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE MIL SRF0000001 | ath-mil"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47977"
"Host ID:","188"
"Nth Percentile:","7663045007.36","|95:bits:0:current:2|"
"Nth Percentile:","8554034131.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","4.7138009320e+09","4.7138009320e+09","5.4656486201e+09","5.4656486201e+09"
"2020-03-26 22:10:00","5.0895072058e+09","5.0895072058e+09","5.6044744650e+09","5.6044744650e+09"
"2020-03-26 22:15:00","5.1607509875e+09","5.1607509875e+09","6.0951082019e+09","6.0951082019e+09"
"2020-03-26 22:20:00","5.4175478556e+09","5.4175478556e+09","6.1121737977e+09","6.1121737977e+09"
"2020-03-26 22:25:00","5.3963477604e+09","5.3963477604e+09","5.5739514822e+09","5.5739514822e+09"
"2020-03-26 22:30:00","4.8110582898e+09","4.8110582898e+09","4.7479736749e+09","4.7479736749e+09"
"2020-03-26 22:35:00","4.3872743723e+09","4.3872743723e+09","5.4232012764e+09","5.4232012764e+09"
"2020-03-26 22:40:00","4.8610011425e+09","4.8610011425e+09","5.4775382596e+09","5.4775382596e+09"
"2020-03-26 22:45:00","4.2235544101e+09","4.2235544101e+09","5.3385413190e+09","5.3385413190e+09"
"2020-03-26 22:50:00","4.0733336092e+09","4.0733336092e+09","5.5989531410e+09","5.5989531410e+09"
"2020-03-26 22:55:00","3.8858811127e+09","3.8858811127e+09","4.9859829021e+09","4.9859829021e+09"
"2020-03-26 23:00:00","3.4219129159e+09","3.4219129159e+09","4.8886920634e+09","4.8886920634e+09"
"2020-03-26 23:05:00","3.2357125230e+09","3.2357125230e+09","6.2230264696e+09","6.2230264696e+09"
"2020-03-26 23:10:00","3.9885543531e+09","3.9885543531e+09","7.5070445665e+09","7.5070445665e+09"
"2020-03-26 23:15:00","4.1100710196e+09","4.1100710196e+09","4.1879889569e+09","4.1879889569e+09"
