"Title:","mx2.lju.si - Traffic - ae4 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | LJU-MIL2  |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-26 22:05:00"
"End Date:","2020-03-28 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","54087"
"Host ID:","152"
"Nth Percentile:","13951214072","|95:bits:0:current:2|"
"Nth Percentile:","17117778583.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-26 22:05:00","7.1534107103e+09","7.1534107103e+09","2.6054745170e+09","2.6054745170e+09"
"2020-03-26 22:10:00","9.0942882406e+09","9.0942882406e+09","2.5452395608e+09","2.5452395608e+09"
"2020-03-26 22:15:00","6.0715868243e+07","6.0715868243e+07","1.6966360717e+07","1.6966360717e+07"
"2020-03-26 22:20:00","0.0000000000e+00","0.0000000000e+00","1.9712000000e+02","1.9712000000e+02"
"2020-03-26 22:25:00","0.0000000000e+00","0.0000000000e+00","1.9712000000e+02","1.9712000000e+02"
"2020-03-26 22:30:00","0.0000000000e+00","0.0000000000e+00","1.9712000000e+02","1.9712000000e+02"
"2020-03-26 22:35:00","0.0000000000e+00","0.0000000000e+00","1.9712000000e+02","1.9712000000e+02"
"2020-03-26 22:40:00","0.0000000000e+00","0.0000000000e+00","1.9712000000e+02","1.9712000000e+02"
"2020-03-26 22:45:00","0.0000000000e+00","0.0000000000e+00","1.8821973333e+02","1.8821973333e+02"
"2020-03-26 22:50:00","0.0000000000e+00","0.0000000000e+00","1.9706026667e+02","1.9706026667e+02"
"2020-03-26 22:55:00","0.0000000000e+00","0.0000000000e+00","1.8884483567e+02","1.8884483567e+02"
"2020-03-26 23:00:00","0.0000000000e+00","0.0000000000e+00","2.0533999533e+02","2.0533999533e+02"
"2020-03-26 23:05:00","0.0000000000e+00","0.0000000000e+00","1.8827490233e+02","1.8827490233e+02"
"2020-03-26 23:10:00","8.8098765999e+08","8.8098765999e+08","1.3790066030e+08","1.3790066030e+08"
