"Title:","mx1.ams.nl - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE BRU SRF0000001 | ams-bru"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47771"
"Host ID:","175"
"Nth Percentile:","1032411.03","|95:bits:0:current:2|"
"Nth Percentile:","1199576.71","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","1.0086537323e+06","1.0086537323e+06","1.0119478721e+06","1.0119478721e+06"
"2020-03-27 22:10:00","9.7737511494e+05","9.7737511494e+05","1.0918678151e+06","1.0918678151e+06"
"2020-03-27 22:15:00","9.8647074347e+05","9.8647074347e+05","1.0191716760e+06","1.0191716760e+06"
"2020-03-27 22:20:00","1.0360939896e+06","1.0360939896e+06","1.0641078305e+06","1.0641078305e+06"
"2020-03-27 22:25:00","9.8581706570e+05","9.8581706570e+05","1.0181704576e+06","1.0181704576e+06"
"2020-03-27 22:30:00","9.9444513791e+05","9.9444513791e+05","1.0314388306e+06","1.0314388306e+06"
"2020-03-27 22:35:00","1.0009898268e+06","1.0009898268e+06","1.1221247025e+06","1.1221247025e+06"
"2020-03-27 22:40:00","1.0039151298e+06","1.0039151298e+06","1.1036892117e+06","1.1036892117e+06"
"2020-03-27 22:45:00","9.8389870654e+05","9.8389870654e+05","1.1703525796e+06","1.1703525796e+06"
"2020-03-27 22:50:00","9.9971179584e+05","9.9971179584e+05","1.0875587732e+06","1.0875587732e+06"
"2020-03-27 22:55:00","9.9789732522e+05","9.9789732522e+05","1.0317852340e+06","1.0317852340e+06"
"2020-03-27 23:00:00","9.8320124466e+05","9.8320124466e+05","1.0202803008e+06","1.0202803008e+06"
"2020-03-27 23:05:00","1.0076941389e+06","1.0076941389e+06","1.0114379933e+06","1.0114379933e+06"
"2020-03-27 23:10:00","9.8986795455e+05","9.8986795455e+05","1.0977202668e+06","1.0977202668e+06"
"2020-03-27 23:15:00","1.0010279815e+06","1.0010279815e+06","1.1079967922e+06","1.1079967922e+06"
"2020-03-27 23:20:00","9.9916030106e+05","9.9916030106e+05","1.0211594623e+06","1.0211594623e+06"
"2020-03-27 23:25:00","9.8729525067e+05","9.8729525067e+05","1.0166570128e+06","1.0166570128e+06"
"2020-03-27 23:30:00","9.8779372951e+05","9.8779372951e+05","1.0287228898e+06","1.0287228898e+06"
"2020-03-27 23:35:00","9.8995998329e+05","9.8995998329e+05","1.0132454956e+06","1.0132454956e+06"
