"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","72438347643.2","|95:bits:0:current:2|"
"Nth Percentile:","69384619599.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","5.0565618238e+10","5.0565618238e+10","5.8751386923e+10","5.8751386923e+10"
"2020-03-27 22:10:00","4.1669947323e+10","4.1669947323e+10","5.8103151770e+10","5.8103151770e+10"
"2020-03-27 22:15:00","4.1476465862e+10","4.1476465862e+10","7.4485968886e+10","7.4485968886e+10"
"2020-03-27 22:20:00","4.5725443878e+10","4.5725443878e+10","8.3787694380e+10","8.3787694380e+10"
"2020-03-27 22:25:00","3.6211249600e+10","3.6211249600e+10","8.3883043176e+10","8.3883043176e+10"
"2020-03-27 22:30:00","3.1096250695e+10","3.1096250695e+10","7.9137662658e+10","7.9137662658e+10"
"2020-03-27 22:35:00","3.7933787237e+10","3.7933787237e+10","7.9704998256e+10","7.9704998256e+10"
"2020-03-27 22:40:00","4.5062276935e+10","4.5062276935e+10","6.6672250705e+10","6.6672250705e+10"
"2020-03-27 22:45:00","3.7102825687e+10","3.7102825687e+10","5.8787613248e+10","5.8787613248e+10"
"2020-03-27 22:50:00","4.1015352683e+10","4.1015352683e+10","5.9168820934e+10","5.9168820934e+10"
"2020-03-27 22:55:00","3.9933338844e+10","3.9933338844e+10","6.3140617445e+10","6.3140617445e+10"
"2020-03-27 23:00:00","3.9874310446e+10","3.9874310446e+10","6.0112861273e+10","6.0112861273e+10"
"2020-03-27 23:05:00","4.1417479725e+10","4.1417479725e+10","6.5638151738e+10","6.5638151738e+10"
"2020-03-27 23:10:00","4.6729368208e+10","4.6729368208e+10","5.6421087276e+10","5.6421087276e+10"
"2020-03-27 23:15:00","4.5918202986e+10","4.5918202986e+10","5.6577823654e+10","5.6577823654e+10"
"2020-03-27 23:20:00","4.0751522251e+10","4.0751522251e+10","5.7386494639e+10","5.7386494639e+10"
"2020-03-27 23:25:00","4.3707720671e+10","4.3707720671e+10","5.9373455064e+10","5.9373455064e+10"
"2020-03-27 23:30:00","4.6984915361e+10","4.6984915361e+10","5.6397999888e+10","5.6397999888e+10"
"2020-03-27 23:35:00","4.2878378764e+10","4.2878378764e+10","5.6872610034e+10","5.6872610034e+10"
"2020-03-27 23:40:00","4.3737091577e+10","4.3737091577e+10","5.5757113770e+10","5.5757113770e+10"
"2020-03-27 23:45:00","4.2738803077e+10","4.2738803077e+10","6.9937395283e+10","6.9937395283e+10"
"2020-03-27 23:50:00","4.3563020971e+10","4.3563020971e+10","7.0976560743e+10","7.0976560743e+10"
"2020-03-27 23:55:00","4.0666194318e+10","4.0666194318e+10","6.0931560813e+10","6.0931560813e+10"
"2020-03-28 00:00:00","4.6197546695e+10","4.6197546695e+10","5.6356128720e+10","5.6356128720e+10"
"2020-03-28 00:05:00","4.5056314056e+10","4.5056314056e+10","6.0955810335e+10","6.0955810335e+10"
"2020-03-28 00:10:00","3.9856682854e+10","3.9856682854e+10","4.7936056256e+10","4.7936056256e+10"
"2020-03-28 00:15:00","4.0213554074e+10","4.0213554074e+10","4.8889207501e+10","4.8889207501e+10"
"2020-03-28 00:20:00","5.0303532286e+10","5.0303532286e+10","4.7317677513e+10","4.7317677513e+10"
"2020-03-28 00:25:00","3.8614170177e+10","3.8614170177e+10","4.9297587752e+10","4.9297587752e+10"
"2020-03-28 00:30:00","4.0890983452e+10","4.0890983452e+10","4.9105034568e+10","4.9105034568e+10"
"2020-03-28 00:35:00","4.5496501039e+10","4.5496501039e+10","4.4192231151e+10","4.4192231151e+10"
"2020-03-28 00:40:00","3.9924630685e+10","3.9924630685e+10","5.2322511692e+10","5.2322511692e+10"
"2020-03-28 00:45:00","4.7589381694e+10","4.7589381694e+10","4.9431209356e+10","4.9431209356e+10"
"2020-03-28 00:50:00","6.0925163260e+10","6.0925163260e+10","4.1920435329e+10","4.1920435329e+10"
"2020-03-28 00:55:00","4.3217924823e+10","4.3217924823e+10","4.4860129896e+10","4.4860129896e+10"
"2020-03-28 01:00:00","4.1446804745e+10","4.1446804745e+10","5.1155653912e+10","5.1155653912e+10"
"2020-03-28 01:05:00","4.1947304830e+10","4.1947304830e+10","4.2892073497e+10","4.2892073497e+10"
"2020-03-28 01:10:00","4.4128063845e+10","4.4128063845e+10","4.6607242094e+10","4.6607242094e+10"
"2020-03-28 01:15:00","4.5093737726e+10","4.5093737726e+10","4.8336616084e+10","4.8336616084e+10"
"2020-03-28 01:20:00","5.0717231104e+10","5.0717231104e+10","4.8097432148e+10","4.8097432148e+10"
"2020-03-28 01:25:00","4.8305036445e+10","4.8305036445e+10","5.0343155292e+10","5.0343155292e+10"
"2020-03-28 01:30:00","3.9933054348e+10","3.9933054348e+10","4.8844458811e+10","4.8844458811e+10"
"2020-03-28 01:35:00","4.0895126821e+10","4.0895126821e+10","4.7618045447e+10","4.7618045447e+10"
"2020-03-28 01:40:00","4.8400707420e+10","4.8400707420e+10","4.4813355946e+10","4.4813355946e+10"
"2020-03-28 01:45:00","4.1521384806e+10","4.1521384806e+10","5.1597630713e+10","5.1597630713e+10"
"2020-03-28 01:50:00","3.8978109124e+10","3.8978109124e+10","5.7594904496e+10","5.7594904496e+10"
"2020-03-28 01:55:00","4.1310744427e+10","4.1310744427e+10","4.3583679643e+10","4.3583679643e+10"
"2020-03-28 02:00:00","4.0401775960e+10","4.0401775960e+10","4.4795471098e+10","4.4795471098e+10"
"2020-03-28 02:05:00","4.4840470633e+10","4.4840470633e+10","4.6502202489e+10","4.6502202489e+10"
