"Title:","mx1.ath2.gr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001| ath2-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36087"
"Host ID:","257"
"Nth Percentile:","2051949043.84","|95:bits:0:current:2|"
"Nth Percentile:","9760848720.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","1.6743648371e+09","1.6743648371e+09","8.2627569755e+09","8.2627569755e+09"
"2020-03-27 22:10:00","1.7010074078e+09","1.7010074078e+09","9.3946154846e+09","9.3946154846e+09"
"2020-03-27 22:15:00","1.6346504010e+09","1.6346504010e+09","9.1441661665e+09","9.1441661665e+09"
"2020-03-27 22:20:00","1.7438899641e+09","1.7438899641e+09","7.8766161355e+09","7.8766161355e+09"
"2020-03-27 22:25:00","1.7521646547e+09","1.7521646547e+09","9.3195775014e+09","9.3195775014e+09"
"2020-03-27 22:30:00","1.7427680401e+09","1.7427680401e+09","6.4985558272e+09","6.4985558272e+09"
"2020-03-27 22:35:00","1.6877651341e+09","1.6877651341e+09","7.8711988545e+09","7.8711988545e+09"
"2020-03-27 22:40:00","1.5740100955e+09","1.5740100955e+09","7.6575126149e+09","7.6575126149e+09"
"2020-03-27 22:45:00","1.5605895412e+09","1.5605895412e+09","5.8508153959e+09","5.8508153959e+09"
"2020-03-27 22:50:00","1.4619481069e+09","1.4619481069e+09","7.0913032222e+09","7.0913032222e+09"
"2020-03-27 22:55:00","1.4884904107e+09","1.4884904107e+09","7.3827231579e+09","7.3827231579e+09"
"2020-03-27 23:00:00","1.5461561302e+09","1.5461561302e+09","6.7457242911e+09","6.7457242911e+09"
"2020-03-27 23:05:00","1.4548639805e+09","1.4548639805e+09","7.4534266143e+09","7.4534266143e+09"
"2020-03-27 23:10:00","1.4788654568e+09","1.4788654568e+09","6.2919139916e+09","6.2919139916e+09"
