"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","21280109068","|95:bits:0:current:2|"
"Nth Percentile:","7437980816.48","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","1.0666694781e+10","1.0666694781e+10","5.0063336220e+09","5.0063336220e+09"
"2020-03-27 22:10:00","1.0619788256e+10","1.0619788256e+10","4.5148153205e+09","4.5148153205e+09"
"2020-03-27 22:15:00","1.1496905888e+10","1.1496905888e+10","3.5521917750e+09","3.5521917750e+09"
"2020-03-27 22:20:00","1.0885538860e+10","1.0885538860e+10","8.3540901694e+09","8.3540901694e+09"
"2020-03-27 22:25:00","1.1609570777e+10","1.1609570777e+10","1.3781233684e+10","1.3781233684e+10"
"2020-03-27 22:30:00","1.6835915859e+10","1.6835915859e+10","5.1246233419e+09","5.1246233419e+09"
"2020-03-27 22:35:00","2.0270979456e+10","2.0270979456e+10","3.6419011213e+09","3.6419011213e+09"
"2020-03-27 22:40:00","2.0395860129e+10","2.0395860129e+10","4.0121503931e+09","4.0121503931e+09"
"2020-03-27 22:45:00","2.3955694889e+10","2.3955694889e+10","3.9018364778e+09","3.9018364778e+09"
"2020-03-27 22:50:00","2.6633660558e+10","2.6633660558e+10","5.0922515875e+09","5.0922515875e+09"
"2020-03-27 22:55:00","3.0224176955e+10","3.0224176955e+10","6.6492142451e+09","6.6492142451e+09"
"2020-03-27 23:00:00","2.7622619013e+10","2.7622619013e+10","5.9442243542e+09","5.9442243542e+09"
"2020-03-27 23:05:00","2.4198524604e+10","2.4198524604e+10","3.9539451645e+09","3.9539451645e+09"
"2020-03-27 23:10:00","2.2529093328e+10","2.2529093328e+10","3.6679231567e+09","3.6679231567e+09"
"2020-03-27 23:15:00","2.1519107551e+10","2.1519107551e+10","2.9879931814e+09","2.9879931814e+09"
"2020-03-27 23:20:00","2.1116771503e+10","2.1116771503e+10","3.6713812305e+09","3.6713812305e+09"
"2020-03-27 23:25:00","2.0311047842e+10","2.0311047842e+10","3.3413643964e+09","3.3413643964e+09"
"2020-03-27 23:30:00","2.0211601756e+10","2.0211601756e+10","3.0633332230e+09","3.0633332230e+09"
"2020-03-27 23:35:00","2.0191402650e+10","2.0191402650e+10","3.3073700340e+09","3.3073700340e+09"
"2020-03-27 23:40:00","1.9474302439e+10","1.9474302439e+10","2.7910590745e+09","2.7910590745e+09"
"2020-03-27 23:45:00","1.9800778967e+10","1.9800778967e+10","2.8436145979e+09","2.8436145979e+09"
"2020-03-27 23:50:00","1.9321173436e+10","1.9321173436e+10","3.3622087080e+09","3.3622087080e+09"
"2020-03-27 23:55:00","1.9910098182e+10","1.9910098182e+10","3.6551822847e+09","3.6551822847e+09"
"2020-03-28 00:00:00","2.0117053111e+10","2.0117053111e+10","3.1343090897e+09","3.1343090897e+09"
"2020-03-28 00:05:00","1.9883557704e+10","1.9883557704e+10","2.5080203149e+09","2.5080203149e+09"
"2020-03-28 00:10:00","2.0419165526e+10","2.0419165526e+10","2.4732530924e+09","2.4732530924e+09"
"2020-03-28 00:15:00","2.0309936701e+10","2.0309936701e+10","3.5656660605e+09","3.5656660605e+09"
"2020-03-28 00:20:00","1.9916890519e+10","1.9916890519e+10","3.3167078429e+09","3.3167078429e+09"
"2020-03-28 00:25:00","1.9857970797e+10","1.9857970797e+10","2.7128480680e+09","2.7128480680e+09"
"2020-03-28 00:30:00","1.9791706492e+10","1.9791706492e+10","3.0135134926e+09","3.0135134926e+09"
"2020-03-28 00:35:00","1.9556679918e+10","1.9556679918e+10","2.9049862865e+09","2.9049862865e+09"
"2020-03-28 00:40:00","1.9933613633e+10","1.9933613633e+10","2.9641216441e+09","2.9641216441e+09"
"2020-03-28 00:45:00","2.0675745620e+10","2.0675745620e+10","2.4396033102e+09","2.4396033102e+09"
"2020-03-28 00:50:00","2.0811943218e+10","2.0811943218e+10","2.2772906260e+09","2.2772906260e+09"
"2020-03-28 00:55:00","2.0319541787e+10","2.0319541787e+10","2.3879500868e+09","2.3879500868e+09"
"2020-03-28 01:00:00","2.0255685337e+10","2.0255685337e+10","2.4088593831e+09","2.4088593831e+09"
"2020-03-28 01:05:00","2.0143556438e+10","2.0143556438e+10","2.0518342986e+09","2.0518342986e+09"
"2020-03-28 01:10:00","1.9524304582e+10","1.9524304582e+10","2.8672846957e+09","2.8672846957e+09"
"2020-03-28 01:15:00","1.7821407258e+10","1.7821407258e+10","2.4482185040e+09","2.4482185040e+09"
"2020-03-28 01:20:00","1.8100894728e+10","1.8100894728e+10","2.7929314534e+09","2.7929314534e+09"
"2020-03-28 01:25:00","1.7997733256e+10","1.7997733256e+10","2.6119148029e+09","2.6119148029e+09"
"2020-03-28 01:30:00","1.8622100361e+10","1.8622100361e+10","2.4873704671e+09","2.4873704671e+09"
"2020-03-28 01:35:00","1.9664715182e+10","1.9664715182e+10","3.7130061299e+09","3.7130061299e+09"
"2020-03-28 01:40:00","1.9715514172e+10","1.9715514172e+10","2.5311221004e+09","2.5311221004e+09"
"2020-03-28 01:45:00","1.9248841289e+10","1.9248841289e+10","3.3275985660e+09","3.3275985660e+09"
