"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","79644952349.6","|95:bits:0:current:2|"
"Nth Percentile:","88089067184","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","7.0736989579e+10","7.0736989579e+10","6.8119926346e+10","6.8119926346e+10"
"2020-03-27 22:10:00","1.1656508785e+11","1.1656508785e+11","7.3533957038e+10","7.3533957038e+10"
"2020-03-27 22:15:00","7.2215874046e+10","7.2215874046e+10","8.0905772176e+10","8.0905772176e+10"
"2020-03-27 22:20:00","8.0761748468e+10","8.0761748468e+10","9.1040725954e+10","9.1040725954e+10"
"2020-03-27 22:25:00","7.3889237169e+10","7.3889237169e+10","8.9307356910e+10","8.9307356910e+10"
"2020-03-27 22:30:00","8.1393579120e+10","8.1393579120e+10","8.5989493796e+10","8.5989493796e+10"
"2020-03-27 22:35:00","6.6277445958e+10","6.6277445958e+10","9.9108554543e+10","9.9108554543e+10"
"2020-03-27 22:40:00","6.0856216158e+10","6.0856216158e+10","9.3163479266e+10","9.3163479266e+10"
"2020-03-27 22:45:00","5.6258801616e+10","5.6258801616e+10","8.0331081725e+10","8.0331081725e+10"
"2020-03-27 22:50:00","1.1529727678e+11","1.1529727678e+11","8.2516476813e+10","8.2516476813e+10"
"2020-03-27 22:55:00","6.6349559630e+10","6.6349559630e+10","8.6201800985e+10","8.6201800985e+10"
"2020-03-27 23:00:00","6.1920485964e+10","6.1920485964e+10","8.2572035961e+10","8.2572035961e+10"
"2020-03-27 23:05:00","7.0668175869e+10","7.0668175869e+10","8.8560114715e+10","8.8560114715e+10"
"2020-03-27 23:10:00","7.6798809055e+10","7.6798809055e+10","1.0664983728e+11","1.0664983728e+11"
"2020-03-27 23:15:00","7.6633088098e+10","7.6633088098e+10","9.4943536157e+10","9.4943536157e+10"
"2020-03-27 23:20:00","7.0072229902e+10","7.0072229902e+10","9.3912088816e+10","9.3912088816e+10"
"2020-03-27 23:25:00","1.1220364335e+11","1.1220364335e+11","9.4947540065e+10","9.4947540065e+10"
