"Title:","mx2.bra.sk - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | bra-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47779"
"Host ID:","190"
"Nth Percentile:","5344971231.84","|95:bits:0:current:2|"
"Nth Percentile:","1769978901.68","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","7.7590336334e+08","7.7590336334e+08","2.3760349042e+08","2.3760349042e+08"
"2020-03-27 22:10:00","1.0129034370e+09","1.0129034370e+09","7.4372369165e+08","7.4372369165e+08"
"2020-03-27 22:15:00","8.6508546267e+09","8.6508546267e+09","1.2700083576e+09","1.2700083576e+09"
"2020-03-27 22:20:00","7.2514540447e+09","7.2514540447e+09","9.8062041247e+08","9.8062041247e+08"
"2020-03-27 22:25:00","7.5763820355e+09","7.5763820355e+09","9.3923492428e+08","9.3923492428e+08"
"2020-03-27 22:30:00","5.4638805659e+09","5.4638805659e+09","8.5487825862e+08","8.5487825862e+08"
"2020-03-27 22:35:00","6.3606538965e+09","6.3606538965e+09","6.4962721463e+08","6.4962721463e+08"
"2020-03-27 22:40:00","7.9017097001e+09","7.9017097001e+09","4.3646526147e+08","4.3646526147e+08"
"2020-03-27 22:45:00","3.2140183909e+09","3.2140183909e+09","3.1954140693e+08","3.1954140693e+08"
"2020-03-27 22:50:00","2.4555084342e+09","2.4555084342e+09","5.5899865423e+08","5.5899865423e+08"
"2020-03-27 22:55:00","1.7915279980e+09","1.7915279980e+09","4.9658466446e+08","4.9658466446e+08"
"2020-03-27 23:00:00","1.6960825680e+09","1.6960825680e+09","3.2989879092e+08","3.2989879092e+08"
"2020-03-27 23:05:00","2.4912257006e+09","2.4912257006e+09","3.5236671130e+08","3.5236671130e+08"
"2020-03-27 23:10:00","1.9522170954e+09","1.9522170954e+09","3.3995275692e+08","3.3995275692e+08"
"2020-03-27 23:15:00","1.6214492880e+09","1.6214492880e+09","3.7832431776e+08","3.7832431776e+08"
"2020-03-27 23:20:00","1.3072487687e+09","1.3072487687e+09","4.2528795186e+08","4.2528795186e+08"
"2020-03-27 23:25:00","1.2142438297e+09","1.2142438297e+09","7.4458770141e+08","7.4458770141e+08"
"2020-03-27 23:30:00","1.3582576152e+09","1.3582576152e+09","7.7866531785e+08","7.7866531785e+08"
"2020-03-27 23:35:00","1.1933228954e+09","1.1933228954e+09","5.0598855357e+08","5.0598855357e+08"
"2020-03-27 23:40:00","1.8460108067e+09","1.8460108067e+09","3.5131817215e+08","3.5131817215e+08"
"2020-03-27 23:45:00","1.7692212824e+09","1.7692212824e+09","7.3504525095e+08","7.3504525095e+08"
"2020-03-27 23:50:00","1.6749546479e+09","1.6749546479e+09","7.5595841213e+08","7.5595841213e+08"
"2020-03-27 23:55:00","1.9043443097e+09","1.9043443097e+09","6.6121362040e+08","6.6121362040e+08"
"2020-03-28 00:00:00","3.1812027622e+09","3.1812027622e+09","5.8131758993e+08","5.8131758993e+08"
"2020-03-28 00:05:00","6.9094887894e+09","6.9094887894e+09","4.7296487063e+08","4.7296487063e+08"
"2020-03-28 00:10:00","1.3908294204e+09","1.3908294204e+09","2.3223328416e+08","2.3223328416e+08"
"2020-03-28 00:15:00","2.1459869824e+09","2.1459869824e+09","3.3904800347e+08","3.3904800347e+08"
"2020-03-28 00:20:00","2.6153319400e+09","2.6153319400e+09","3.2776301284e+08","3.2776301284e+08"
"2020-03-28 00:25:00","2.4978754851e+09","2.4978754851e+09","3.3796094697e+08","3.3796094697e+08"
"2020-03-28 00:30:00","3.1391331695e+09","3.1391331695e+09","3.9933533824e+08","3.9933533824e+08"
"2020-03-28 00:35:00","2.4098014315e+09","2.4098014315e+09","7.9146004238e+08","7.9146004238e+08"
"2020-03-28 00:40:00","2.6195819357e+09","2.6195819357e+09","7.7726293529e+08","7.7726293529e+08"
"2020-03-28 00:45:00","2.0150135385e+09","2.0150135385e+09","4.2275759800e+08","4.2275759800e+08"
"2020-03-28 00:50:00","2.0038037288e+09","2.0038037288e+09","3.5075304555e+08","3.5075304555e+08"
"2020-03-28 00:55:00","1.7152003639e+09","1.7152003639e+09","5.0926996919e+08","5.0926996919e+08"
"2020-03-28 01:00:00","1.7290654500e+09","1.7290654500e+09","6.9623506318e+08","6.9623506318e+08"
