"Title:","mx2.zag.hr - Traffic - ae4.0 - SRV_GLOBAL INFRASTRUCTURE BACKBONE SRF9925411 | bud-zag"
"Vertical Label:","bits per second"
"Start Date:","2020-03-27 22:05:00"
"End Date:","2020-03-29 00:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","7134"
"Host ID:","139"
"Nth Percentile:","207603.84","|95:bits:0:current:2|"
"Nth Percentile:","2849195.17","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-27 22:05:00","2.0442715824e+05","2.0442715824e+05","3.1326456554e+05","3.1326456554e+05"
"2020-03-27 22:10:00","1.9709611201e+05","1.9709611201e+05","2.3707820524e+05","2.3707820524e+05"
"2020-03-27 22:15:00","2.0431627804e+05","2.0431627804e+05","2.3046475769e+05","2.3046475769e+05"
"2020-03-27 22:20:00","2.0252113790e+05","2.0252113790e+05","2.4362556469e+05","2.4362556469e+05"
"2020-03-27 22:25:00","1.9940212431e+05","1.9940212431e+05","2.3619847828e+05","2.3619847828e+05"
"2020-03-27 22:30:00","2.0637749031e+05","2.0637749031e+05","2.4723255967e+05","2.4723255967e+05"
"2020-03-27 22:35:00","1.9588325458e+05","1.9588325458e+05","2.4990323647e+05","2.4990323647e+05"
"2020-03-27 22:40:00","2.0375729873e+05","2.0375729873e+05","4.0245674435e+05","4.0245674435e+05"
"2020-03-27 22:45:00","1.9559698450e+05","1.9559698450e+05","2.4118817915e+05","2.4118817915e+05"
"2020-03-27 22:50:00","2.0018680412e+05","2.0018680412e+05","2.7053079806e+05","2.7053079806e+05"
"2020-03-27 22:55:00","2.0009102861e+05","2.0009102861e+05","2.7505247175e+05","2.7505247175e+05"
"2020-03-27 23:00:00","1.9320509150e+05","1.9320509150e+05","3.4148946447e+05","3.4148946447e+05"
"2020-03-27 23:05:00","2.0310400089e+05","2.0310400089e+05","3.4481149636e+05","3.4481149636e+05"
"2020-03-27 23:10:00","1.9715445778e+05","1.9715445778e+05","1.1449757132e+06","1.1449757132e+06"
"2020-03-27 23:15:00","2.0140112124e+05","2.0140112124e+05","6.0950958667e+05","6.0950958667e+05"
"2020-03-27 23:20:00","1.9783463591e+05","1.9783463591e+05","9.8751567218e+05","9.8751567218e+05"
"2020-03-27 23:25:00","1.9951021920e+05","1.9951021920e+05","3.0973011307e+05","3.0973011307e+05"
"2020-03-27 23:30:00","2.0943633459e+05","2.0943633459e+05","2.7600078332e+05","2.7600078332e+05"
"2020-03-27 23:35:00","1.9968148745e+05","1.9968148745e+05","3.7765711766e+05","3.7765711766e+05"
"2020-03-27 23:40:00","2.0196111646e+05","2.0196111646e+05","4.6349333074e+05","4.6349333074e+05"
"2020-03-27 23:45:00","1.9458563180e+05","1.9458563180e+05","4.3335732082e+05","4.3335732082e+05"
"2020-03-27 23:50:00","1.9974519947e+05","1.9974519947e+05","3.0545484889e+05","3.0545484889e+05"
"2020-03-27 23:55:00","1.9714014489e+05","1.9714014489e+05","3.0972298951e+05","3.0972298951e+05"
"2020-03-28 00:00:00","1.9818545422e+05","1.9818545422e+05","2.6781790115e+05","2.6781790115e+05"
"2020-03-28 00:05:00","1.9655889906e+05","1.9655889906e+05","2.6987057224e+05","2.6987057224e+05"
"2020-03-28 00:10:00","1.9327369170e+05","1.9327369170e+05","6.5118806738e+06","6.5118806738e+06"
"2020-03-28 00:15:00","2.0530695876e+05","2.0530695876e+05","3.0536519822e+05","3.0536519822e+05"
"2020-03-28 00:20:00","1.9699920277e+05","1.9699920277e+05","2.8023267234e+05","2.8023267234e+05"
"2020-03-28 00:25:00","1.9727900879e+05","1.9727900879e+05","3.2097174072e+05","3.2097174072e+05"
"2020-03-28 00:30:00","1.9834760906e+05","1.9834760906e+05","4.6028355992e+05","4.6028355992e+05"
"2020-03-28 00:35:00","1.9640156213e+05","1.9640156213e+05","3.7747647449e+05","3.7747647449e+05"
"2020-03-28 00:40:00","2.0085265227e+05","2.0085265227e+05","2.6043163058e+05","2.6043163058e+05"
"2020-03-28 00:45:00","1.9614226773e+05","1.9614226773e+05","2.7986186898e+05","2.7986186898e+05"
"2020-03-28 00:50:00","1.9928498773e+05","1.9928498773e+05","3.2922447111e+05","3.2922447111e+05"
"2020-03-28 00:55:00","2.0450695576e+05","2.0450695576e+05","3.0841747365e+05","3.0841747365e+05"
"2020-03-28 01:00:00","1.9701115309e+05","1.9701115309e+05","8.8340282320e+05","8.8340282320e+05"
