"Title:","mx1.ams.nl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE HAM SRF0000001 | ams-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47927"
"Host ID:","175"
"Nth Percentile:","27252999886.4","|95:bits:0:current:2|"
"Nth Percentile:","15163.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","8.7788921456e+09","8.7788921456e+09","1.4952225067e+04","1.4952225067e+04"
"2020-03-28 22:10:00","9.7231914587e+09","9.7231914587e+09","1.4872803733e+04","1.4872803733e+04"
"2020-03-28 22:15:00","8.8840625599e+09","8.8840625599e+09","1.5338910133e+04","1.5338910133e+04"
"2020-03-28 22:20:00","1.0041721191e+10","1.0041721191e+10","1.4707333867e+04","1.4707333867e+04"
"2020-03-28 22:25:00","9.6372680742e+09","9.6372680742e+09","1.4940407467e+04","1.4940407467e+04"
"2020-03-28 22:30:00","6.2298967933e+09","6.2298967933e+09","1.4852670667e+04","1.4852670667e+04"
"2020-03-28 22:35:00","1.2038204084e+10","1.2038204084e+10","1.4783621600e+04","1.4783621600e+04"
"2020-03-28 22:40:00","1.3922383940e+10","1.3922383940e+10","1.4794584651e+04","1.4794584651e+04"
"2020-03-28 22:45:00","1.4289861877e+10","1.4289861877e+10","1.4918927074e+04","1.4918927074e+04"
"2020-03-28 22:50:00","1.2378666505e+10","1.2378666505e+10","1.4584046571e+04","1.4584046571e+04"
"2020-03-28 22:55:00","1.3663988761e+10","1.3663988761e+10","1.4870242510e+04","1.4870242510e+04"
"2020-03-28 23:00:00","1.2350787670e+10","1.2350787670e+10","1.4899061860e+04","1.4899061860e+04"
"2020-03-28 23:05:00","1.6400975218e+10","1.6400975218e+10","1.4871217333e+04","1.4871217333e+04"
"2020-03-28 23:10:00","1.7937950750e+10","1.7937950750e+10","1.4809927260e+04","1.4809927260e+04"
"2020-03-28 23:15:00","1.9063719983e+10","1.9063719983e+10","1.4810780833e+04","1.4810780833e+04"
"2020-03-28 23:20:00","1.9851980173e+10","1.9851980173e+10","1.4705279107e+04","1.4705279107e+04"
