"Title:","mx1.ath2.gr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE ATH SRF0000001 | ath-ath2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36069"
"Host ID:","257"
"Nth Percentile:","4844038782","|95:bits:0:current:2|"
"Nth Percentile:","3521777677.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","2.8168896294e+09","2.8168896294e+09","2.8151983266e+09","2.8151983266e+09"
"2020-03-28 22:10:00","3.9975767364e+09","3.9975767364e+09","2.1150561185e+09","2.1150561185e+09"
"2020-03-28 22:15:00","3.4973140986e+09","3.4973140986e+09","2.4913858178e+09","2.4913858178e+09"
"2020-03-28 22:20:00","3.6659315057e+09","3.6659315057e+09","2.8834203338e+09","2.8834203338e+09"
"2020-03-28 22:25:00","4.2486732291e+09","4.2486732291e+09","2.7184285153e+09","2.7184285153e+09"
"2020-03-28 22:30:00","3.0051777102e+09","3.0051777102e+09","1.8567170783e+09","1.8567170783e+09"
"2020-03-28 22:35:00","3.7222482917e+09","3.7222482917e+09","2.3028547759e+09","2.3028547759e+09"
"2020-03-28 22:40:00","3.5767639397e+09","3.5767639397e+09","2.5506206421e+09","2.5506206421e+09"
"2020-03-28 22:45:00","3.2973427734e+09","3.2973427734e+09","2.3625662154e+09","2.3625662154e+09"
"2020-03-28 22:50:00","4.0999571735e+09","4.0999571735e+09","1.8540845972e+09","1.8540845972e+09"
"2020-03-28 22:55:00","3.0802061513e+09","3.0802061513e+09","2.3561075560e+09","2.3561075560e+09"
"2020-03-28 23:00:00","2.6504166687e+09","2.6504166687e+09","2.2558548783e+09","2.2558548783e+09"
"2020-03-28 23:05:00","2.9361564025e+09","2.9361564025e+09","2.8111596780e+09","2.8111596780e+09"
"2020-03-28 23:10:00","2.5995735979e+09","2.5995735979e+09","2.0262511934e+09","2.0262511934e+09"
"2020-03-28 23:15:00","2.4176040791e+09","2.4176040791e+09","1.9928372099e+09","1.9928372099e+09"
"2020-03-28 23:20:00","2.9021009670e+09","2.9021009670e+09","2.0956007716e+09","2.0956007716e+09"
"2020-03-28 23:25:00","2.7623664226e+09","2.7623664226e+09","2.4519522097e+09","2.4519522097e+09"
"2020-03-28 23:30:00","2.6243413722e+09","2.6243413722e+09","2.4480964577e+09","2.4480964577e+09"
"2020-03-28 23:35:00","2.9741910789e+09","2.9741910789e+09","2.4362213006e+09","2.4362213006e+09"
"2020-03-28 23:40:00","2.8852978461e+09","2.8852978461e+09","2.6873308675e+09","2.6873308675e+09"
"2020-03-28 23:45:00","2.6502979526e+09","2.6502979526e+09","1.8267946521e+09","1.8267946521e+09"
"2020-03-28 23:50:00","3.7079362123e+09","3.7079362123e+09","2.2712024490e+09","2.2712024490e+09"
"2020-03-28 23:55:00","3.5634278862e+09","3.5634278862e+09","2.6622057726e+09","2.6622057726e+09"
"2020-03-29 00:00:00","3.1517713028e+09","3.1517713028e+09","2.6395116100e+09","2.6395116100e+09"
"2020-03-29 00:05:00","2.8671456574e+09","2.8671456574e+09","2.0613449147e+09","2.0613449147e+09"
"2020-03-29 00:10:00","3.0012767074e+09","3.0012767074e+09","1.3443947966e+09","1.3443947966e+09"
"2020-03-29 00:15:00","2.7492698328e+09","2.7492698328e+09","1.2574093879e+09","1.2574093879e+09"
"2020-03-29 00:20:00","3.2869003996e+09","3.2869003996e+09","1.2095107809e+09","1.2095107809e+09"
"2020-03-29 00:25:00","3.2029646298e+09","3.2029646298e+09","1.0296265730e+09","1.0296265730e+09"
"2020-03-29 00:30:00","2.8142693616e+09","2.8142693616e+09","1.4679309822e+09","1.4679309822e+09"
"2020-03-29 00:35:00","3.2351994158e+09","3.2351994158e+09","1.7777301020e+09","1.7777301020e+09"
"2020-03-29 00:40:00","3.4235258337e+09","3.4235258337e+09","1.2525897106e+09","1.2525897106e+09"
"2020-03-29 00:45:00","2.7999768732e+09","2.7999768732e+09","1.3810364410e+09","1.3810364410e+09"
"2020-03-29 00:50:00","3.6404694309e+09","3.6404694309e+09","2.2248286480e+09","2.2248286480e+09"
"2020-03-29 00:55:00","3.2274926904e+09","3.2274926904e+09","1.5429976670e+09","1.5429976670e+09"
"2020-03-29 02:00:00","2.5704579666e+09","2.5704579666e+09","1.5315030159e+09","1.5315030159e+09"
"2020-03-29 02:05:00","3.0627844668e+09","3.0627844668e+09","1.4790211351e+09","1.4790211351e+09"
"2020-03-29 02:10:00","2.9521026794e+09","2.9521026794e+09","1.8025634698e+09","1.8025634698e+09"
"2020-03-29 02:15:00","3.3144261163e+09","3.3144261163e+09","1.3981499797e+09","1.3981499797e+09"
"2020-03-29 02:20:00","3.0942827196e+09","3.0942827196e+09","2.0999074578e+09","2.0999074578e+09"
"2020-03-29 02:25:00","3.1791973018e+09","3.1791973018e+09","2.2151654034e+09","2.2151654034e+09"
"2020-03-29 02:30:00","3.0825546387e+09","3.0825546387e+09","2.7805736448e+09","2.7805736448e+09"
"2020-03-29 02:35:00","3.7557740859e+09","3.7557740859e+09","2.7240278624e+09","2.7240278624e+09"
"2020-03-29 02:40:00","3.0142357570e+09","3.0142357570e+09","3.0439236957e+09","3.0439236957e+09"
"2020-03-29 02:45:00","2.5241899697e+09","2.5241899697e+09","2.2802492639e+09","2.2802492639e+09"
"2020-03-29 02:50:00","3.0787812630e+09","3.0787812630e+09","2.9342478689e+09","2.9342478689e+09"
"2020-03-29 02:55:00","2.9969249960e+09","2.9969249960e+09","2.4160192229e+09","2.4160192229e+09"
"2020-03-29 03:00:00","2.6153393968e+09","2.6153393968e+09","2.4650876417e+09","2.4650876417e+09"
"2020-03-29 03:05:00","3.0600482839e+09","3.0600482839e+09","2.4506105304e+09","2.4506105304e+09"
"2020-03-29 03:10:00","2.9500744129e+09","2.9500744129e+09","2.5507705590e+09","2.5507705590e+09"
"2020-03-29 03:15:00","3.4618868824e+09","3.4618868824e+09","2.7577857767e+09","2.7577857767e+09"
"2020-03-29 03:20:00","3.8797996506e+09","3.8797996506e+09","2.9701116233e+09","2.9701116233e+09"
"2020-03-29 03:25:00","3.2496255306e+09","3.2496255306e+09","3.2907503927e+09","3.2907503927e+09"
"2020-03-29 03:30:00","2.2938300131e+09","2.2938300131e+09","2.5507957854e+09","2.5507957854e+09"
"2020-03-29 03:35:00","3.4002298655e+09","3.4002298655e+09","2.0635547285e+09","2.0635547285e+09"
"2020-03-29 03:40:00","3.2887498015e+09","3.2887498015e+09","2.3506417706e+09","2.3506417706e+09"
"2020-03-29 03:45:00","2.7619165755e+09","2.7619165755e+09","3.1210660705e+09","3.1210660705e+09"
"2020-03-29 03:50:00","4.3502805718e+09","4.3502805718e+09","3.5838784887e+09","3.5838784887e+09"
"2020-03-29 03:55:00","2.8465711594e+09","2.8465711594e+09","3.7816120803e+09","3.7816120803e+09"
"2020-03-29 04:00:00","3.1925903366e+09","3.1925903366e+09","3.3707009094e+09","3.3707009094e+09"
"2020-03-29 04:05:00","3.7492534713e+09","3.7492534713e+09","2.8393718878e+09","2.8393718878e+09"
"2020-03-29 04:10:00","3.9193791942e+09","3.9193791942e+09","3.0310929669e+09","3.0310929669e+09"
"2020-03-29 04:15:00","3.2368335651e+09","3.2368335651e+09","2.9404745639e+09","2.9404745639e+09"
"2020-03-29 04:20:00","2.9343006311e+09","2.9343006311e+09","2.9877842544e+09","2.9877842544e+09"
"2020-03-29 04:25:00","2.4868931763e+09","2.4868931763e+09","3.7229351966e+09","3.7229351966e+09"
"2020-03-29 04:30:00","2.3531742229e+09","2.3531742229e+09","2.9851381795e+09","2.9851381795e+09"
"2020-03-29 04:35:00","2.9343961951e+09","2.9343961951e+09","2.6042302982e+09","2.6042302982e+09"
"2020-03-29 04:40:00","3.6178185525e+09","3.6178185525e+09","2.3563709497e+09","2.3563709497e+09"
"2020-03-29 04:45:00","2.8102324728e+09","2.8102324728e+09","3.2900550996e+09","3.2900550996e+09"
"2020-03-29 04:50:00","3.2318114067e+09","3.2318114067e+09","3.5663722652e+09","3.5663722652e+09"
"2020-03-29 04:55:00","3.6307851624e+09","3.6307851624e+09","2.8636398876e+09","2.8636398876e+09"
"2020-03-29 05:00:00","2.5915242849e+09","2.5915242849e+09","2.3414974078e+09","2.3414974078e+09"
"2020-03-29 05:05:00","3.0375036109e+09","3.0375036109e+09","2.3787201830e+09","2.3787201830e+09"
"2020-03-29 05:10:00","2.7792643227e+09","2.7792643227e+09","2.5308498451e+09","2.5308498451e+09"
"2020-03-29 05:15:00","2.8673849020e+09","2.8673849020e+09","2.8021062200e+09","2.8021062200e+09"
"2020-03-29 05:20:00","3.2708348840e+09","3.2708348840e+09","2.3407278952e+09","2.3407278952e+09"
"2020-03-29 05:25:00","3.0928903026e+09","3.0928903026e+09","2.3419003134e+09","2.3419003134e+09"
"2020-03-29 05:30:00","2.7901174839e+09","2.7901174839e+09","1.8138272270e+09","1.8138272270e+09"
"2020-03-29 05:35:00","4.5889206582e+09","4.5889206582e+09","2.3282713049e+09","2.3282713049e+09"
"2020-03-29 05:40:00","3.4555509766e+09","3.4555509766e+09","2.0528602568e+09","2.0528602568e+09"
"2020-03-29 05:45:00","2.3454112653e+09","2.3454112653e+09","2.7890564919e+09","2.7890564919e+09"
"2020-03-29 05:50:00","4.9479584554e+09","4.9479584554e+09","2.3223730014e+09","2.3223730014e+09"
"2020-03-29 05:55:00","3.6296218648e+09","3.6296218648e+09","3.5431197581e+09","3.5431197581e+09"
"2020-03-29 06:00:00","2.4807800699e+09","2.4807800699e+09","2.5837923866e+09","2.5837923866e+09"
"2020-03-29 06:05:00","3.0917570281e+09","3.0917570281e+09","2.3882451933e+09","2.3882451933e+09"
"2020-03-29 06:10:00","2.2189926813e+09","2.2189926813e+09","2.8719321541e+09","2.8719321541e+09"
"2020-03-29 06:15:00","2.2940034008e+09","2.2940034008e+09","2.8878988160e+09","2.8878988160e+09"
"2020-03-29 06:20:00","4.0812868493e+09","4.0812868493e+09","2.5655991405e+09","2.5655991405e+09"
"2020-03-29 06:25:00","2.9834654284e+09","2.9834654284e+09","2.5492392736e+09","2.5492392736e+09"
"2020-03-29 06:30:00","3.1864545163e+09","3.1864545163e+09","2.1545164940e+09","2.1545164940e+09"
"2020-03-29 06:35:00","4.4793215962e+09","4.4793215962e+09","2.5447763702e+09","2.5447763702e+09"
"2020-03-29 06:40:00","4.1720453119e+09","4.1720453119e+09","2.2207479228e+09","2.2207479228e+09"
"2020-03-29 06:45:00","3.6761119669e+09","3.6761119669e+09","3.2478766655e+09","3.2478766655e+09"
"2020-03-29 06:50:00","4.2297344387e+09","4.2297344387e+09","2.5548800973e+09","2.5548800973e+09"
"2020-03-29 06:55:00","3.4947840544e+09","3.4947840544e+09","3.1401732741e+09","3.1401732741e+09"
"2020-03-29 07:00:00","2.6288573045e+09","2.6288573045e+09","2.4139593432e+09","2.4139593432e+09"
"2020-03-29 07:05:00","3.1394536373e+09","3.1394536373e+09","2.6772685346e+09","2.6772685346e+09"
"2020-03-29 07:10:00","3.8075527764e+09","3.8075527764e+09","2.7176280429e+09","2.7176280429e+09"
"2020-03-29 07:15:00","2.6132962397e+09","2.6132962397e+09","2.5753238627e+09","2.5753238627e+09"
"2020-03-29 07:20:00","3.6664935674e+09","3.6664935674e+09","2.7228177818e+09","2.7228177818e+09"
"2020-03-29 07:25:00","3.0011476363e+09","3.0011476363e+09","2.6312367825e+09","2.6312367825e+09"
"2020-03-29 07:30:00","2.7491418869e+09","2.7491418869e+09","2.3036544971e+09","2.3036544971e+09"
"2020-03-29 07:35:00","3.5905078169e+09","3.5905078169e+09","2.2602737725e+09","2.2602737725e+09"
"2020-03-29 07:40:00","3.3815901279e+09","3.3815901279e+09","2.3840669675e+09","2.3840669675e+09"
"2020-03-29 07:45:00","2.7197384561e+09","2.7197384561e+09","3.3110150181e+09","3.3110150181e+09"
"2020-03-29 07:50:00","3.2349643068e+09","3.2349643068e+09","3.6363952784e+09","3.6363952784e+09"
"2020-03-29 07:55:00","3.7545296756e+09","3.7545296756e+09","3.6025718272e+09","3.6025718272e+09"
"2020-03-29 08:00:00","3.0390660654e+09","3.0390660654e+09","3.3979627053e+09","3.3979627053e+09"
"2020-03-29 08:05:00","3.2849238988e+09","3.2849238988e+09","2.9894347234e+09","2.9894347234e+09"
"2020-03-29 08:10:00","3.8309387521e+09","3.8309387521e+09","2.6855136348e+09","2.6855136348e+09"
"2020-03-29 08:15:00","3.1776624194e+09","3.1776624194e+09","2.5167770250e+09","2.5167770250e+09"
"2020-03-29 08:20:00","3.6427352783e+09","3.6427352783e+09","2.7236529868e+09","2.7236529868e+09"
"2020-03-29 08:25:00","4.6425472372e+09","4.6425472372e+09","2.8658261621e+09","2.8658261621e+09"
