"Title:","mx1.bud.hu - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE LJU SRF0000001 | bud-lju"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47789"
"Host ID:","146"
"Nth Percentile:","996213262","|95:bits:0:current:2|"
"Nth Percentile:","395119220.87","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","7.2001880496e+08","7.2001880496e+08","1.9153706031e+08","1.9153706031e+08"
"2020-03-28 22:10:00","5.2470314605e+08","5.2470314605e+08","1.5362452560e+08","1.5362452560e+08"
"2020-03-28 22:15:00","4.9394336143e+08","4.9394336143e+08","1.7870715133e+08","1.7870715133e+08"
"2020-03-28 22:20:00","2.9791606136e+08","2.9791606136e+08","1.4754977454e+08","1.4754977454e+08"
"2020-03-28 22:25:00","4.9160996434e+08","4.9160996434e+08","1.8366309903e+08","1.8366309903e+08"
"2020-03-28 22:30:00","8.8669762922e+08","8.8669762922e+08","1.7063513169e+08","1.7063513169e+08"
"2020-03-28 22:35:00","9.0551910386e+08","9.0551910386e+08","1.4457939169e+08","1.4457939169e+08"
"2020-03-28 22:40:00","6.8768129683e+08","6.8768129683e+08","1.1154356263e+08","1.1154356263e+08"
"2020-03-28 22:45:00","5.3206732072e+08","5.3206732072e+08","2.0203095796e+08","2.0203095796e+08"
"2020-03-28 22:50:00","3.7439829994e+08","3.7439829994e+08","1.6806363875e+08","1.6806363875e+08"
"2020-03-28 22:55:00","5.2147567812e+08","5.2147567812e+08","1.0630629885e+08","1.0630629885e+08"
"2020-03-28 23:00:00","3.7913260889e+08","3.7913260889e+08","1.4650391374e+08","1.4650391374e+08"
"2020-03-28 23:05:00","5.6376748055e+08","5.6376748055e+08","2.9582768014e+08","2.9582768014e+08"
"2020-03-28 23:10:00","2.4573736676e+08","2.4573736676e+08","2.8220771288e+08","2.8220771288e+08"
"2020-03-28 23:15:00","2.9519843964e+08","2.9519843964e+08","2.6187662730e+08","2.6187662730e+08"
"2020-03-28 23:20:00","3.1922853618e+08","3.1922853618e+08","3.4245730807e+08","3.4245730807e+08"
"2020-03-28 23:25:00","7.2148910427e+08","7.2148910427e+08","1.6729123267e+08","1.6729123267e+08"
"2020-03-28 23:30:00","6.1423242906e+08","6.1423242906e+08","2.0715260807e+08","2.0715260807e+08"
"2020-03-28 23:35:00","5.3233922765e+08","5.3233922765e+08","1.9429840461e+08","1.9429840461e+08"
"2020-03-28 23:40:00","2.5954721072e+08","2.5954721072e+08","1.5275704628e+08","1.5275704628e+08"
"2020-03-28 23:45:00","5.2474140069e+08","5.2474140069e+08","1.3134416837e+08","1.3134416837e+08"
"2020-03-28 23:50:00","6.4240647895e+08","6.4240647895e+08","1.2670439660e+08","1.2670439660e+08"
"2020-03-28 23:55:00","7.7908403656e+08","7.7908403656e+08","1.5242591480e+08","1.5242591480e+08"
"2020-03-29 00:00:00","3.2534741322e+09","3.2534741322e+09","1.8893009082e+08","1.8893009082e+08"
"2020-03-29 00:05:00","1.7960850374e+09","1.7960850374e+09","1.3144935064e+08","1.3144935064e+08"
"2020-03-29 00:10:00","4.5250497486e+08","4.5250497486e+08","1.6155945454e+08","1.6155945454e+08"
"2020-03-29 00:15:00","5.5480722147e+08","5.5480722147e+08","1.6516724364e+08","1.6516724364e+08"
"2020-03-29 00:20:00","4.0648048970e+08","4.0648048970e+08","1.7974558679e+08","1.7974558679e+08"
