"Title:","mx1.bud.hu - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001 | bud-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47937"
"Host ID:","146"
"Nth Percentile:","7940026133.04","|95:bits:0:current:2|"
"Nth Percentile:","9362693144","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","5.6775096110e+09","5.6775096110e+09","3.7583743121e+09","3.7583743121e+09"
"2020-03-28 22:10:00","5.3632960135e+09","5.3632960135e+09","3.4178299159e+09","3.4178299159e+09"
"2020-03-28 22:15:00","6.4065330957e+09","6.4065330957e+09","3.6181875847e+09","3.6181875847e+09"
"2020-03-28 22:20:00","6.2073520833e+09","6.2073520833e+09","3.2555423705e+09","3.2555423705e+09"
"2020-03-28 22:25:00","6.3693438665e+09","6.3693438665e+09","2.8353824457e+09","2.8353824457e+09"
"2020-03-28 22:30:00","5.9219308042e+09","5.9219308042e+09","3.6552151694e+09","3.6552151694e+09"
"2020-03-28 22:35:00","6.0339187731e+09","6.0339187731e+09","3.6385599992e+09","3.6385599992e+09"
"2020-03-28 22:40:00","5.8874860604e+09","5.8874860604e+09","4.3908094261e+09","4.3908094261e+09"
"2020-03-28 22:45:00","6.6595260984e+09","6.6595260984e+09","2.6444963281e+09","2.6444963281e+09"
"2020-03-28 22:50:00","6.8257132287e+09","6.8257132287e+09","2.3936352954e+09","2.3936352954e+09"
"2020-03-28 22:55:00","6.9678024749e+09","6.9678024749e+09","2.5670019942e+09","2.5670019942e+09"
"2020-03-28 23:00:00","7.8151383101e+09","7.8151383101e+09","3.1245155815e+09","3.1245155815e+09"
"2020-03-28 23:05:00","6.9103593727e+09","6.9103593727e+09","2.6562813353e+09","2.6562813353e+09"
"2020-03-28 23:10:00","6.7523694892e+09","6.7523694892e+09","2.2179615533e+09","2.2179615533e+09"
"2020-03-28 23:15:00","6.6918101299e+09","6.6918101299e+09","3.3489240302e+09","3.3489240302e+09"
"2020-03-28 23:20:00","7.8480764517e+09","7.8480764517e+09","2.1878692179e+09","2.1878692179e+09"
"2020-03-28 23:25:00","8.4320423333e+09","8.4320423333e+09","2.4665071408e+09","2.4665071408e+09"
"2020-03-28 23:30:00","7.4717954775e+09","7.4717954775e+09","2.1446353274e+09","2.1446353274e+09"
"2020-03-28 23:35:00","6.6843039850e+09","6.6843039850e+09","2.2161477303e+09","2.2161477303e+09"
"2020-03-28 23:40:00","5.9707511875e+09","5.9707511875e+09","2.0155348158e+09","2.0155348158e+09"
"2020-03-28 23:45:00","5.8792033592e+09","5.8792033592e+09","3.2421677181e+09","3.2421677181e+09"
"2020-03-28 23:50:00","6.0305621111e+09","6.0305621111e+09","2.5072437100e+09","2.5072437100e+09"
"2020-03-28 23:55:00","5.3005484981e+09","5.3005484981e+09","2.8243598498e+09","2.8243598498e+09"
"2020-03-29 00:00:00","5.4467053878e+09","5.4467053878e+09","4.8751843655e+09","4.8751843655e+09"
"2020-03-29 00:05:00","5.6913545963e+09","5.6913545963e+09","4.2423636001e+09","4.2423636001e+09"
"2020-03-29 00:10:00","5.2602284798e+09","5.2602284798e+09","2.4524501344e+09","2.4524501344e+09"
"2020-03-29 00:15:00","5.0170359887e+09","5.0170359887e+09","2.8146164547e+09","2.8146164547e+09"
"2020-03-29 00:20:00","5.3166546083e+09","5.3166546083e+09","3.3014444566e+09","3.3014444566e+09"
"2020-03-29 00:25:00","4.9428284520e+09","4.9428284520e+09","2.8250139067e+09","2.8250139067e+09"
"2020-03-29 00:30:00","5.1885613276e+09","5.1885613276e+09","3.3502463873e+09","3.3502463873e+09"
