"Title:","mx1.fra.de - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE POZ SRF0000001 | fra-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47803"
"Host ID:","167"
"Nth Percentile:","5195543835.52","|95:bits:0:current:2|"
"Nth Percentile:","5389752119.52","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","2.1315675627e+09","2.1315675627e+09","4.8269136381e+09","4.8269136381e+09"
"2020-03-28 22:10:00","3.2018610452e+09","3.2018610452e+09","5.0769837523e+09","5.0769837523e+09"
"2020-03-28 22:15:00","2.3749666863e+09","2.3749666863e+09","4.0834132769e+09","4.0834132769e+09"
"2020-03-28 22:20:00","2.5297496476e+09","2.5297496476e+09","4.6111285987e+09","4.6111285987e+09"
"2020-03-28 22:25:00","2.4630488257e+09","2.4630488257e+09","4.2732504312e+09","4.2732504312e+09"
"2020-03-28 22:30:00","3.0762032410e+09","3.0762032410e+09","4.1936830465e+09","4.1936830465e+09"
"2020-03-28 22:35:00","2.3680041018e+09","2.3680041018e+09","4.3856192049e+09","4.3856192049e+09"
"2020-03-28 22:40:00","3.3313922320e+09","3.3313922320e+09","3.9659357823e+09","3.9659357823e+09"
"2020-03-28 22:45:00","3.1572439947e+09","3.1572439947e+09","4.4227075500e+09","4.4227075500e+09"
"2020-03-28 22:50:00","4.0158432161e+09","4.0158432161e+09","4.0733296843e+09","4.0733296843e+09"
"2020-03-28 22:55:00","2.3820197685e+09","2.3820197685e+09","4.7525964428e+09","4.7525964428e+09"
"2020-03-28 23:00:00","3.9731504969e+09","3.9731504969e+09","3.5997811937e+09","3.5997811937e+09"
"2020-03-28 23:05:00","3.6762996711e+09","3.6762996711e+09","3.1408572105e+09","3.1408572105e+09"
"2020-03-28 23:10:00","3.5898279156e+09","3.5898279156e+09","3.2858675972e+09","3.2858675972e+09"
"2020-03-28 23:15:00","3.0396927467e+09","3.0396927467e+09","3.5074785497e+09","3.5074785497e+09"
"2020-03-28 23:20:00","2.5315751226e+09","2.5315751226e+09","3.1935331611e+09","3.1935331611e+09"
"2020-03-28 23:25:00","2.6111027157e+09","2.6111027157e+09","3.2739283340e+09","3.2739283340e+09"
"2020-03-28 23:30:00","2.9405725482e+09","2.9405725482e+09","3.2920829395e+09","3.2920829395e+09"
"2020-03-28 23:35:00","2.5049496115e+09","2.5049496115e+09","3.9636630320e+09","3.9636630320e+09"
"2020-03-28 23:40:00","2.7615872823e+09","2.7615872823e+09","5.4666922107e+09","5.4666922107e+09"
"2020-03-28 23:45:00","3.3795274384e+09","3.3795274384e+09","4.5377097350e+09","4.5377097350e+09"
"2020-03-28 23:50:00","2.9441093408e+09","2.9441093408e+09","3.1533909827e+09","3.1533909827e+09"
"2020-03-28 23:55:00","3.2122159318e+09","3.2122159318e+09","4.0476141310e+09","4.0476141310e+09"
"2020-03-29 00:00:00","2.4987471474e+09","2.4987471474e+09","4.4276254806e+09","4.4276254806e+09"
"2020-03-29 00:05:00","2.7810065578e+09","2.7810065578e+09","3.4582806342e+09","3.4582806342e+09"
"2020-03-29 00:10:00","3.0696916199e+09","3.0696916199e+09","2.6583320983e+09","2.6583320983e+09"
"2020-03-29 00:15:00","2.7838804338e+09","2.7838804338e+09","3.1007101057e+09","3.1007101057e+09"
"2020-03-29 00:20:00","3.2420170521e+09","3.2420170521e+09","3.0973796351e+09","3.0973796351e+09"
"2020-03-29 00:25:00","3.1058893414e+09","3.1058893414e+09","3.1718375138e+09","3.1718375138e+09"
"2020-03-29 00:30:00","2.7299356513e+09","2.7299356513e+09","2.8064893599e+09","2.8064893599e+09"
"2020-03-29 00:35:00","2.2352118046e+09","2.2352118046e+09","2.7856121834e+09","2.7856121834e+09"
"2020-03-29 00:40:00","2.4515998265e+09","2.4515998265e+09","3.1571702146e+09","3.1571702146e+09"
"2020-03-29 00:45:00","2.4903292181e+09","2.4903292181e+09","3.1908227595e+09","3.1908227595e+09"
"2020-03-29 00:50:00","2.4561891613e+09","2.4561891613e+09","2.8203301859e+09","2.8203301859e+09"
"2020-03-29 00:55:00","2.8214556657e+09","2.8214556657e+09","3.3470000529e+09","3.3470000529e+09"
"2020-03-29 02:00:00","3.0080286751e+09","3.0080286751e+09","2.9906551282e+09","2.9906551282e+09"
"2020-03-29 02:05:00","2.6769956395e+09","2.6769956395e+09","2.8599800358e+09","2.8599800358e+09"
"2020-03-29 02:10:00","2.5799238590e+09","2.5799238590e+09","2.9270248036e+09","2.9270248036e+09"
"2020-03-29 02:15:00","2.4702175534e+09","2.4702175534e+09","3.4184784367e+09","3.4184784367e+09"
"2020-03-29 02:20:00","2.3114998012e+09","2.3114998012e+09","3.0982351236e+09","3.0982351236e+09"
"2020-03-29 02:25:00","3.0449738231e+09","3.0449738231e+09","3.5869185580e+09","3.5869185580e+09"
"2020-03-29 02:30:00","2.8434953792e+09","2.8434953792e+09","4.0795478132e+09","4.0795478132e+09"
"2020-03-29 02:35:00","2.8469266343e+09","2.8469266343e+09","3.5302445224e+09","3.5302445224e+09"
"2020-03-29 02:40:00","2.4192138453e+09","2.4192138453e+09","3.4646943782e+09","3.4646943782e+09"
"2020-03-29 02:45:00","2.8486574268e+09","2.8486574268e+09","2.5974725849e+09","2.5974725849e+09"
"2020-03-29 02:50:00","2.3777537388e+09","2.3777537388e+09","2.7679374373e+09","2.7679374373e+09"
"2020-03-29 02:55:00","2.4117945947e+09","2.4117945947e+09","3.2686265412e+09","3.2686265412e+09"
"2020-03-29 03:00:00","2.1834127348e+09","2.1834127348e+09","3.4272623464e+09","3.4272623464e+09"
"2020-03-29 03:05:00","2.9328075329e+09","2.9328075329e+09","3.3443768705e+09","3.3443768705e+09"
"2020-03-29 03:10:00","2.9873388782e+09","2.9873388782e+09","3.2847236289e+09","3.2847236289e+09"
"2020-03-29 03:15:00","3.5257562059e+09","3.5257562059e+09","2.4849059285e+09","2.4849059285e+09"
"2020-03-29 03:20:00","2.5838237968e+09","2.5838237968e+09","3.0874367771e+09","3.0874367771e+09"
"2020-03-29 03:25:00","2.3302865307e+09","2.3302865307e+09","3.4524295861e+09","3.4524295861e+09"
"2020-03-29 03:30:00","2.4421211571e+09","2.4421211571e+09","2.0887402285e+09","2.0887402285e+09"
"2020-03-29 03:35:00","2.3130035035e+09","2.3130035035e+09","1.7426507454e+09","1.7426507454e+09"
"2020-03-29 03:40:00","2.3655094490e+09","2.3655094490e+09","1.7761668959e+09","1.7761668959e+09"
"2020-03-29 03:45:00","2.1474968246e+09","2.1474968246e+09","1.7101677112e+09","1.7101677112e+09"
"2020-03-29 03:50:00","2.6356787108e+09","2.6356787108e+09","1.5796076605e+09","1.5796076605e+09"
"2020-03-29 03:55:00","2.2851195156e+09","2.2851195156e+09","1.4410546238e+09","1.4410546238e+09"
"2020-03-29 04:00:00","2.1184457690e+09","2.1184457690e+09","1.2626148168e+09","1.2626148168e+09"
"2020-03-29 04:05:00","2.0291741820e+09","2.0291741820e+09","2.0124151641e+09","2.0124151641e+09"
"2020-03-29 04:10:00","2.4775015876e+09","2.4775015876e+09","2.1981918677e+09","2.1981918677e+09"
"2020-03-29 04:15:00","4.2493384229e+09","4.2493384229e+09","2.7996214108e+09","2.7996214108e+09"
"2020-03-29 04:20:00","2.7750824085e+09","2.7750824085e+09","2.5857785661e+09","2.5857785661e+09"
"2020-03-29 04:25:00","2.3490180391e+09","2.3490180391e+09","2.7598974902e+09","2.7598974902e+09"
"2020-03-29 04:30:00","1.9236877388e+09","1.9236877388e+09","3.3412120285e+09","3.3412120285e+09"
"2020-03-29 04:35:00","1.7274585856e+09","1.7274585856e+09","1.8386888852e+09","1.8386888852e+09"
"2020-03-29 04:40:00","1.7827055930e+09","1.7827055930e+09","3.1864723187e+09","3.1864723187e+09"
"2020-03-29 04:45:00","1.9436273117e+09","1.9436273117e+09","2.6631010576e+09","2.6631010576e+09"
"2020-03-29 04:50:00","2.8844579355e+09","2.8844579355e+09","3.1290430629e+09","3.1290430629e+09"
"2020-03-29 04:55:00","4.7715076865e+09","4.7715076865e+09","3.2429526172e+09","3.2429526172e+09"
"2020-03-29 05:00:00","5.3853943427e+09","5.3853943427e+09","3.5814156179e+09","3.5814156179e+09"
"2020-03-29 05:05:00","6.9671193372e+09","6.9671193372e+09","3.8959416037e+09","3.8959416037e+09"
"2020-03-29 05:10:00","7.0886976974e+09","7.0886976974e+09","3.3956964228e+09","3.3956964228e+09"
"2020-03-29 05:15:00","6.5051499157e+09","6.5051499157e+09","2.3971985476e+09","2.3971985476e+09"
"2020-03-29 05:20:00","3.4395603256e+09","3.4395603256e+09","1.3587839210e+09","1.3587839210e+09"
"2020-03-29 05:25:00","2.8593852215e+09","2.8593852215e+09","1.4452314092e+09","1.4452314092e+09"
"2020-03-29 05:30:00","2.9179682625e+09","2.9179682625e+09","1.9627745375e+09","1.9627745375e+09"
"2020-03-29 05:35:00","2.5295301528e+09","2.5295301528e+09","2.3833772198e+09","2.3833772198e+09"
"2020-03-29 05:40:00","3.5512075020e+09","3.5512075020e+09","2.7531566510e+09","2.7531566510e+09"
