"Title:","mx1.gen.ch - Traffic - ae6 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-MIL2 | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52853"
"Host ID:","164"
"Nth Percentile:","44569428112","|95:bits:0:current:2|"
"Nth Percentile:","51663403517.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","3.3734546791e+10","3.3734546791e+10","4.3058427267e+10","4.3058427267e+10"
"2020-03-28 22:10:00","3.5127928709e+10","3.5127928709e+10","4.3616264089e+10","4.3616264089e+10"
"2020-03-28 22:15:00","3.9839037304e+10","3.9839037304e+10","3.9063644845e+10","3.9063644845e+10"
"2020-03-28 22:20:00","4.2719683775e+10","4.2719683775e+10","3.5887604883e+10","3.5887604883e+10"
"2020-03-28 22:25:00","3.7286157269e+10","3.7286157269e+10","3.9215365894e+10","3.9215365894e+10"
"2020-03-28 22:30:00","2.9106530657e+10","2.9106530657e+10","4.1175403561e+10","4.1175403561e+10"
"2020-03-28 22:35:00","3.1268313309e+10","3.1268313309e+10","4.1703310405e+10","4.1703310405e+10"
"2020-03-28 22:40:00","3.1235390786e+10","3.1235390786e+10","3.1309057900e+10","3.1309057900e+10"
"2020-03-28 22:45:00","3.1591948507e+10","3.1591948507e+10","3.5546821153e+10","3.5546821153e+10"
"2020-03-28 22:50:00","3.1650295892e+10","3.1650295892e+10","4.4733893043e+10","4.4733893043e+10"
"2020-03-28 22:55:00","3.3801024907e+10","3.3801024907e+10","4.2761745671e+10","4.2761745671e+10"
"2020-03-28 23:00:00","3.3704717551e+10","3.3704717551e+10","4.3644555831e+10","4.3644555831e+10"
"2020-03-28 23:05:00","3.8456470722e+10","3.8456470722e+10","3.4804358740e+10","3.4804358740e+10"
"2020-03-28 23:10:00","3.7738766264e+10","3.7738766264e+10","3.4371890642e+10","3.4371890642e+10"
"2020-03-28 23:15:00","3.5064811082e+10","3.5064811082e+10","3.8925904659e+10","3.8925904659e+10"
"2020-03-28 23:20:00","3.2109512924e+10","3.2109512924e+10","3.5085872131e+10","3.5085872131e+10"
"2020-03-28 23:25:00","3.2993110474e+10","3.2993110474e+10","3.8872011266e+10","3.8872011266e+10"
"2020-03-28 23:30:00","3.1079837854e+10","3.1079837854e+10","4.5845765706e+10","4.5845765706e+10"
"2020-03-28 23:35:00","3.3290319471e+10","3.3290319471e+10","4.3580893974e+10","4.3580893974e+10"
"2020-03-28 23:40:00","3.5263708906e+10","3.5263708906e+10","4.6325781319e+10","4.6325781319e+10"
"2020-03-28 23:45:00","3.0709954041e+10","3.0709954041e+10","4.2834864295e+10","4.2834864295e+10"
"2020-03-28 23:50:00","3.8562837249e+10","3.8562837249e+10","4.7009747258e+10","4.7009747258e+10"
"2020-03-28 23:55:00","3.7949057770e+10","3.7949057770e+10","4.1046421795e+10","4.1046421795e+10"
"2020-03-29 00:00:00","3.5486459539e+10","3.5486459539e+10","3.7238418500e+10","3.7238418500e+10"
"2020-03-29 00:05:00","3.6354056777e+10","3.6354056777e+10","4.0230823494e+10","4.0230823494e+10"
"2020-03-29 00:10:00","3.5420908683e+10","3.5420908683e+10","4.5875747127e+10","4.5875747127e+10"
"2020-03-29 00:15:00","2.7882779443e+10","2.7882779443e+10","3.9043125498e+10","3.9043125498e+10"
"2020-03-29 00:20:00","3.1605927559e+10","3.1605927559e+10","3.6750794828e+10","3.6750794828e+10"
"2020-03-29 00:25:00","3.3060411550e+10","3.3060411550e+10","3.5967021667e+10","3.5967021667e+10"
"2020-03-29 00:30:00","3.1172466929e+10","3.1172466929e+10","4.3809514514e+10","4.3809514514e+10"
"2020-03-29 00:35:00","2.7260679518e+10","2.7260679518e+10","5.4656242967e+10","5.4656242967e+10"
"2020-03-29 00:40:00","2.5658955627e+10","2.5658955627e+10","5.4757479883e+10","5.4757479883e+10"
"2020-03-29 00:45:00","2.6729023775e+10","2.6729023775e+10","5.1473083480e+10","5.1473083480e+10"
"2020-03-29 00:50:00","3.1210318319e+10","3.1210318319e+10","4.1036947407e+10","4.1036947407e+10"
"2020-03-29 00:55:00","2.9416530962e+10","2.9416530962e+10","5.0533782205e+10","5.0533782205e+10"
"2020-03-29 02:00:00","3.0137681351e+10","3.0137681351e+10","4.6811195714e+10","4.6811195714e+10"
"2020-03-29 02:05:00","3.5505557788e+10","3.5505557788e+10","4.0909509355e+10","4.0909509355e+10"
"2020-03-29 02:10:00","3.5605389464e+10","3.5605389464e+10","4.1951833911e+10","4.1951833911e+10"
"2020-03-29 02:15:00","3.8293633751e+10","3.8293633751e+10","4.6009750835e+10","4.6009750835e+10"
"2020-03-29 02:20:00","3.1659696796e+10","3.1659696796e+10","4.7168453738e+10","4.7168453738e+10"
"2020-03-29 02:25:00","2.9044154375e+10","2.9044154375e+10","4.6593241169e+10","4.6593241169e+10"
"2020-03-29 02:30:00","3.0904829648e+10","3.0904829648e+10","4.5474258878e+10","4.5474258878e+10"
"2020-03-29 02:35:00","3.1484857010e+10","3.1484857010e+10","4.0029489174e+10","4.0029489174e+10"
"2020-03-29 02:40:00","3.0072777416e+10","3.0072777416e+10","3.8643914298e+10","3.8643914298e+10"
"2020-03-29 02:45:00","2.9527011510e+10","2.9527011510e+10","4.2100664247e+10","4.2100664247e+10"
"2020-03-29 02:50:00","3.4091746154e+10","3.4091746154e+10","4.5102398444e+10","4.5102398444e+10"
"2020-03-29 02:55:00","3.0361497072e+10","3.0361497072e+10","3.9994662744e+10","3.9994662744e+10"
"2020-03-29 03:00:00","2.8911433963e+10","2.8911433963e+10","4.2291357518e+10","4.2291357518e+10"
"2020-03-29 03:05:00","2.3334612972e+10","2.3334612972e+10","3.8724204831e+10","3.8724204831e+10"
"2020-03-29 03:10:00","2.5228604716e+10","2.5228604716e+10","2.9529412404e+10","2.9529412404e+10"
"2020-03-29 03:15:00","2.7652193353e+10","2.7652193353e+10","2.4587476077e+10","2.4587476077e+10"
"2020-03-29 03:20:00","2.9858997984e+10","2.9858997984e+10","2.3513769720e+10","2.3513769720e+10"
"2020-03-29 03:25:00","3.0923294133e+10","3.0923294133e+10","2.2076809808e+10","2.2076809808e+10"
"2020-03-29 03:30:00","2.7801520944e+10","2.7801520944e+10","2.1100416317e+10","2.1100416317e+10"
"2020-03-29 03:35:00","2.5574928417e+10","2.5574928417e+10","1.9784109234e+10","1.9784109234e+10"
"2020-03-29 03:40:00","2.7570769809e+10","2.7570769809e+10","1.9876398330e+10","1.9876398330e+10"
"2020-03-29 03:45:00","2.8298759965e+10","2.8298759965e+10","2.0886575739e+10","2.0886575739e+10"
"2020-03-29 03:50:00","2.6996350094e+10","2.6996350094e+10","2.0473734125e+10","2.0473734125e+10"
"2020-03-29 03:55:00","2.5420716902e+10","2.5420716902e+10","1.9126319510e+10","1.9126319510e+10"
"2020-03-29 04:00:00","2.0356857929e+10","2.0356857929e+10","1.9614968274e+10","1.9614968274e+10"
"2020-03-29 04:05:00","2.6622384329e+10","2.6622384329e+10","2.6123833899e+10","2.6123833899e+10"
"2020-03-29 04:10:00","3.1116301289e+10","3.1116301289e+10","3.5655786202e+10","3.5655786202e+10"
"2020-03-29 04:15:00","2.7710692284e+10","2.7710692284e+10","3.5743667133e+10","3.5743667133e+10"
"2020-03-29 04:20:00","2.7342622920e+10","2.7342622920e+10","4.1999056592e+10","4.1999056592e+10"
"2020-03-29 04:25:00","3.1784079848e+10","3.1784079848e+10","4.0492184996e+10","4.0492184996e+10"
"2020-03-29 04:30:00","2.7729181962e+10","2.7729181962e+10","3.7952437913e+10","3.7952437913e+10"
"2020-03-29 04:35:00","2.4653335066e+10","2.4653335066e+10","3.5481700970e+10","3.5481700970e+10"
"2020-03-29 04:40:00","2.3589142674e+10","2.3589142674e+10","4.0265465433e+10","4.0265465433e+10"
"2020-03-29 04:45:00","2.3043251153e+10","2.3043251153e+10","3.6951565028e+10","3.6951565028e+10"
"2020-03-29 04:50:00","2.1990382179e+10","2.1990382179e+10","3.7708211816e+10","3.7708211816e+10"
"2020-03-29 04:55:00","2.3979671135e+10","2.3979671135e+10","3.8433624190e+10","3.8433624190e+10"
"2020-03-29 05:00:00","2.4519123003e+10","2.4519123003e+10","3.8589364125e+10","3.8589364125e+10"
"2020-03-29 05:05:00","2.8906550496e+10","2.8906550496e+10","4.3076722471e+10","4.3076722471e+10"
"2020-03-29 05:10:00","2.9907768219e+10","2.9907768219e+10","3.6917306746e+10","3.6917306746e+10"
