"Title:","mx1.ham.de - Traffic - LAG INFRASTRUCTURE BACKBONE TAL SRF9930557 | ham-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20497"
"Host ID:","231"
"Nth Percentile:","12619483820","|95:bits:0:current:2|"
"Nth Percentile:","11708305382.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","5.1840894884e+09","5.1840894884e+09","2.9712688384e+09","2.9712688384e+09"
"2020-03-28 22:10:00","5.4164599838e+09","5.4164599838e+09","2.2403658913e+09","2.2403658913e+09"
"2020-03-28 22:15:00","4.5509315052e+09","4.5509315052e+09","2.1681066516e+09","2.1681066516e+09"
"2020-03-28 22:20:00","5.8781772688e+09","5.8781772688e+09","3.7429767693e+09","3.7429767693e+09"
"2020-03-28 22:25:00","5.4404723719e+09","5.4404723719e+09","2.7754596513e+09","2.7754596513e+09"
"2020-03-28 22:30:00","3.8636546575e+09","3.8636546575e+09","2.3826259652e+09","2.3826259652e+09"
"2020-03-28 22:35:00","3.4280810382e+09","3.4280810382e+09","2.0721527516e+09","2.0721527516e+09"
"2020-03-28 22:40:00","2.8958298101e+09","2.8958298101e+09","2.8630693128e+09","2.8630693128e+09"
"2020-03-28 22:45:00","6.3735124681e+09","6.3735124681e+09","2.2924264003e+09","2.2924264003e+09"
"2020-03-28 22:50:00","3.6105145569e+09","3.6105145569e+09","2.1146478251e+09","2.1146478251e+09"
"2020-03-28 22:55:00","3.2462166208e+09","3.2462166208e+09","2.2484973272e+09","2.2484973272e+09"
"2020-03-28 23:00:00","4.1971500147e+09","4.1971500147e+09","2.3193857888e+09","2.3193857888e+09"
"2020-03-28 23:05:00","5.5730611878e+09","5.5730611878e+09","2.0020463839e+09","2.0020463839e+09"
"2020-03-28 23:10:00","2.9036898825e+09","2.9036898825e+09","1.7872976662e+09","1.7872976662e+09"
"2020-03-28 23:15:00","3.5588524255e+09","3.5588524255e+09","1.8357737802e+09","1.8357737802e+09"
"2020-03-28 23:20:00","5.9699461664e+09","5.9699461664e+09","1.7822455117e+09","1.7822455117e+09"
"2020-03-28 23:25:00","2.8087638628e+09","2.8087638628e+09","1.9704479135e+09","1.9704479135e+09"
"2020-03-28 23:30:00","2.2139352280e+09","2.2139352280e+09","1.7032889710e+09","1.7032889710e+09"
"2020-03-28 23:35:00","4.0148994869e+09","4.0148994869e+09","1.5566561658e+09","1.5566561658e+09"
"2020-03-28 23:40:00","2.8997427046e+09","2.8997427046e+09","2.3738177347e+09","2.3738177347e+09"
"2020-03-28 23:45:00","6.7555645708e+09","6.7555645708e+09","1.8512382426e+09","1.8512382426e+09"
"2020-03-28 23:50:00","7.4807035069e+09","7.4807035069e+09","1.6632401702e+09","1.6632401702e+09"
"2020-03-28 23:55:00","2.4797919173e+09","2.4797919173e+09","1.8079253681e+09","1.8079253681e+09"
"2020-03-29 00:00:00","3.5961135484e+09","3.5961135484e+09","1.7901144924e+09","1.7901144924e+09"
"2020-03-29 00:05:00","3.1731855324e+09","3.1731855324e+09","1.4528293673e+09","1.4528293673e+09"
"2020-03-29 00:10:00","9.1094657215e+09","9.1094657215e+09","1.4707346951e+09","1.4707346951e+09"
"2020-03-29 00:15:00","8.9282283481e+09","8.9282283481e+09","1.5125267971e+09","1.5125267971e+09"
"2020-03-29 00:20:00","1.3405877158e+10","1.3405877158e+10","1.3900492693e+09","1.3900492693e+09"
"2020-03-29 00:25:00","4.7722752746e+09","4.7722752746e+09","1.2569733403e+09","1.2569733403e+09"
"2020-03-29 00:30:00","2.8259916108e+09","2.8259916108e+09","1.5401521751e+09","1.5401521751e+09"
"2020-03-29 00:35:00","2.8221800774e+09","2.8221800774e+09","1.1547161644e+09","1.1547161644e+09"
"2020-03-29 00:40:00","5.0734738770e+09","5.0734738770e+09","1.1814790880e+09","1.1814790880e+09"
"2020-03-29 00:45:00","2.6610089745e+09","2.6610089745e+09","1.1296881045e+09","1.1296881045e+09"
"2020-03-29 00:50:00","2.2728475197e+09","2.2728475197e+09","1.2492568549e+09","1.2492568549e+09"
"2020-03-29 00:55:00","2.3109009156e+09","2.3109009156e+09","1.2971448141e+09","1.2971448141e+09"
"2020-03-29 02:00:00","4.3045812125e+09","4.3045812125e+09","1.2619617421e+09","1.2619617421e+09"
"2020-03-29 02:05:00","6.6542617685e+09","6.6542617685e+09","1.2844156584e+09","1.2844156584e+09"
"2020-03-29 02:10:00","9.7140898500e+09","9.7140898500e+09","1.1773097928e+09","1.1773097928e+09"
