"Title:","mx1.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE LIS SRF0000001 | lis-lis"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47857"
"Host ID:","161"
"Nth Percentile:","1141645276","|95:bits:0:current:2|"
"Nth Percentile:","1722615157.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","4.2451193160e+08","4.2451193160e+08","1.5229324296e+09","1.5229324296e+09"
"2020-03-28 22:10:00","3.1798451169e+08","3.1798451169e+08","1.3288400634e+09","1.3288400634e+09"
"2020-03-28 22:15:00","6.5322388190e+08","6.5322388190e+08","9.2759230785e+08","9.2759230785e+08"
"2020-03-28 22:20:00","1.3415639160e+09","1.3415639160e+09","1.7079853563e+09","1.7079853563e+09"
"2020-03-28 22:25:00","1.1948292086e+09","1.1948292086e+09","2.1301495993e+09","2.1301495993e+09"
"2020-03-28 22:30:00","8.9990008719e+08","8.9990008719e+08","9.4622151548e+08","9.4622151548e+08"
"2020-03-28 22:35:00","1.0490748797e+09","1.0490748797e+09","2.4740858554e+09","2.4740858554e+09"
"2020-03-28 22:40:00","9.4090887964e+08","9.4090887964e+08","2.8882475809e+09","2.8882475809e+09"
"2020-03-28 22:45:00","1.0458546566e+09","1.0458546566e+09","1.7045804208e+09","1.7045804208e+09"
"2020-03-28 22:50:00","9.9775980943e+08","9.9775980943e+08","1.3371751024e+09","1.3371751024e+09"
"2020-03-28 22:55:00","9.0340989887e+08","9.0340989887e+08","9.9595173480e+08","9.9595173480e+08"
"2020-03-28 23:00:00","1.0008755275e+09","1.0008755275e+09","8.7895907423e+08","8.7895907423e+08"
"2020-03-28 23:05:00","1.0962169586e+09","1.0962169586e+09","6.8726580146e+08","6.8726580146e+08"
"2020-03-28 23:10:00","1.0489729908e+09","1.0489729908e+09","7.7125338735e+08","7.7125338735e+08"
