"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","34171860001.6","|95:bits:0:current:2|"
"Nth Percentile:","18100995352","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","2.4736815037e+10","2.4736815037e+10","8.1075951788e+09","8.1075951788e+09"
"2020-03-28 22:10:00","2.2884813613e+10","2.2884813613e+10","1.0760577229e+10","1.0760577229e+10"
"2020-03-28 22:15:00","2.2581864610e+10","2.2581864610e+10","9.1242527369e+09","9.1242527369e+09"
"2020-03-28 22:20:00","2.1868483367e+10","2.1868483367e+10","1.0865306761e+10","1.0865306761e+10"
"2020-03-28 22:25:00","1.9043602902e+10","1.9043602902e+10","9.5547062235e+09","9.5547062235e+09"
"2020-03-28 22:30:00","2.0015492724e+10","2.0015492724e+10","6.7401820921e+09","6.7401820921e+09"
"2020-03-28 22:35:00","2.4609125302e+10","2.4609125302e+10","1.0533014688e+10","1.0533014688e+10"
"2020-03-28 22:40:00","2.5904208182e+10","2.5904208182e+10","1.0339251662e+10","1.0339251662e+10"
"2020-03-28 22:45:00","3.1842439183e+10","3.1842439183e+10","1.0363256276e+10","1.0363256276e+10"
"2020-03-28 22:50:00","3.2578024601e+10","3.2578024601e+10","1.2694889783e+10","1.2694889783e+10"
"2020-03-28 22:55:00","2.8301384235e+10","2.8301384235e+10","1.0992386339e+10","1.0992386339e+10"
"2020-03-28 23:00:00","3.3226284775e+10","3.3226284775e+10","8.5373935812e+09","8.5373935812e+09"
"2020-03-28 23:05:00","2.9724037272e+10","2.9724037272e+10","7.2401645947e+09","7.2401645947e+09"
"2020-03-28 23:10:00","2.7928092221e+10","2.7928092221e+10","7.9412299445e+09","7.9412299445e+09"
"2020-03-28 23:15:00","2.8698305731e+10","2.8698305731e+10","7.1631796459e+09","7.1631796459e+09"
"2020-03-28 23:20:00","3.0237421131e+10","3.0237421131e+10","6.2598175284e+09","6.2598175284e+09"
"2020-03-28 23:25:00","3.2632295428e+10","3.2632295428e+10","6.3436644920e+09","6.3436644920e+09"
"2020-03-28 23:30:00","3.0750267439e+10","3.0750267439e+10","5.8707078435e+09","5.8707078435e+09"
"2020-03-28 23:35:00","2.9981841607e+10","2.9981841607e+10","5.7486987970e+09","5.7486987970e+09"
"2020-03-28 23:40:00","2.8371321690e+10","2.8371321690e+10","6.9920344565e+09","6.9920344565e+09"
"2020-03-28 23:45:00","2.6165007698e+10","2.6165007698e+10","6.5801558753e+09","6.5801558753e+09"
"2020-03-28 23:50:00","2.7055107173e+10","2.7055107173e+10","5.2055544127e+09","5.2055544127e+09"
"2020-03-28 23:55:00","2.3425825274e+10","2.3425825274e+10","9.3854768638e+09","9.3854768638e+09"
"2020-03-29 00:00:00","3.8656961235e+10","3.8656961235e+10","8.4746634995e+09","8.4746634995e+09"
"2020-03-29 00:05:00","3.0003735231e+10","3.0003735231e+10","7.3785014256e+09","7.3785014256e+09"
"2020-03-29 00:10:00","2.4415307720e+10","2.4415307720e+10","8.1200332945e+09","8.1200332945e+09"
"2020-03-29 00:15:00","2.3098783956e+10","2.3098783956e+10","9.2372620315e+09","9.2372620315e+09"
"2020-03-29 00:20:00","2.2781547335e+10","2.2781547335e+10","8.2344989878e+09","8.2344989878e+09"
"2020-03-29 00:25:00","2.1975063141e+10","2.1975063141e+10","6.8237033143e+09","6.8237033143e+09"
"2020-03-29 00:30:00","2.3194949781e+10","2.3194949781e+10","7.7168179537e+09","7.7168179537e+09"
"2020-03-29 00:35:00","3.0372394191e+10","3.0372394191e+10","9.6123187285e+09","9.6123187285e+09"
"2020-03-29 00:40:00","2.2434571357e+10","2.2434571357e+10","7.9900035682e+09","7.9900035682e+09"
"2020-03-29 00:45:00","2.1024966778e+10","2.1024966778e+10","7.1951146298e+09","7.1951146298e+09"
"2020-03-29 00:50:00","2.0698537812e+10","2.0698537812e+10","7.0664449772e+09","7.0664449772e+09"
"2020-03-29 00:55:00","2.5678896420e+10","2.5678896420e+10","8.1695766565e+09","8.1695766565e+09"
"2020-03-29 02:00:00","2.4654341198e+10","2.4654341198e+10","8.3643010527e+09","8.3643010527e+09"
"2020-03-29 02:05:00","2.2831866529e+10","2.2831866529e+10","6.8193028476e+09","6.8193028476e+09"
"2020-03-29 02:10:00","2.3684445638e+10","2.3684445638e+10","7.0849690928e+09","7.0849690928e+09"
"2020-03-29 02:15:00","2.3241532633e+10","2.3241532633e+10","8.6490090144e+09","8.6490090144e+09"
"2020-03-29 02:20:00","2.0925171160e+10","2.0925171160e+10","1.0819985008e+10","1.0819985008e+10"
"2020-03-29 02:25:00","2.1852707200e+10","2.1852707200e+10","8.9453229518e+09","8.9453229518e+09"
"2020-03-29 02:30:00","2.5009763823e+10","2.5009763823e+10","8.8469115615e+09","8.8469115615e+09"
"2020-03-29 02:35:00","2.1684553269e+10","2.1684553269e+10","3.9350453814e+10","3.9350453814e+10"
"2020-03-29 02:40:00","1.7624336797e+10","1.7624336797e+10","4.1705344908e+10","4.1705344908e+10"
"2020-03-29 02:45:00","1.8418619815e+10","1.8418619815e+10","3.9918346878e+10","3.9918346878e+10"
"2020-03-29 02:50:00","1.9111522963e+10","1.9111522963e+10","3.7718588113e+10","3.7718588113e+10"
"2020-03-29 02:55:00","1.9432486000e+10","1.9432486000e+10","3.7633733762e+10","3.7633733762e+10"
"2020-03-29 03:00:00","1.8953245698e+10","1.8953245698e+10","4.1395466405e+10","4.1395466405e+10"
"2020-03-29 03:05:00","2.0795706816e+10","2.0795706816e+10","3.9655455108e+10","3.9655455108e+10"
"2020-03-29 03:10:00","1.9711852528e+10","1.9711852528e+10","4.2279518544e+10","4.2279518544e+10"
"2020-03-29 03:15:00","2.0838483879e+10","2.0838483879e+10","4.0432175564e+10","4.0432175564e+10"
"2020-03-29 03:20:00","2.1312036267e+10","2.1312036267e+10","4.0496579425e+10","4.0496579425e+10"
"2020-03-29 03:25:00","2.1047513689e+10","2.1047513689e+10","3.0837301245e+10","3.0837301245e+10"
"2020-03-29 03:30:00","2.0318972767e+10","2.0318972767e+10","3.7587170979e+10","3.7587170979e+10"
