"Title:","mx1.tal.ee - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | tal-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-28 22:05:00"
"End Date:","2020-03-30 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47859"
"Host ID:","121"
"Nth Percentile:","3871369260.88","|95:bits:0:current:2|"
"Nth Percentile:","411379774.78","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-28 22:05:00","6.9652680498e+08","6.9652680498e+08","8.7752263806e+07","8.7752263806e+07"
"2020-03-28 22:10:00","6.9556412409e+08","6.9556412409e+08","8.4826623690e+07","8.4826623690e+07"
"2020-03-28 22:15:00","7.6642223523e+08","7.6642223523e+08","1.8833200441e+08","1.8833200441e+08"
"2020-03-28 22:20:00","6.8390211558e+08","6.8390211558e+08","1.2132126136e+08","1.2132126136e+08"
"2020-03-28 22:25:00","6.8426147742e+08","6.8426147742e+08","8.3578994952e+07","8.3578994952e+07"
"2020-03-28 22:30:00","7.7409791606e+08","7.7409791606e+08","7.3507405831e+07","7.3507405831e+07"
"2020-03-28 22:35:00","7.2003859168e+08","7.2003859168e+08","7.1795756245e+07","7.1795756245e+07"
"2020-03-28 22:40:00","7.3060054746e+08","7.3060054746e+08","7.7968453514e+07","7.7968453514e+07"
"2020-03-28 22:45:00","6.8326699199e+08","6.8326699199e+08","7.5769087789e+07","7.5769087789e+07"
"2020-03-28 22:50:00","6.7682911795e+08","6.7682911795e+08","7.1353109999e+07","7.1353109999e+07"
"2020-03-28 22:55:00","7.5568006998e+08","7.5568006998e+08","6.0633781040e+07","6.0633781040e+07"
"2020-03-28 23:00:00","8.1242401201e+08","8.1242401201e+08","5.9973290876e+07","5.9973290876e+07"
"2020-03-28 23:05:00","6.8812410593e+08","6.8812410593e+08","6.7149968752e+07","6.7149968752e+07"
"2020-03-28 23:10:00","6.9707639060e+08","6.9707639060e+08","6.1779971281e+07","6.1779971281e+07"
"2020-03-28 23:15:00","6.9318188598e+08","6.9318188598e+08","6.5985656892e+07","6.5985656892e+07"
"2020-03-28 23:20:00","7.6672135723e+08","7.6672135723e+08","6.2107905558e+07","6.2107905558e+07"
"2020-03-28 23:25:00","7.7801452050e+08","7.7801452050e+08","4.6973346053e+07","4.6973346053e+07"
"2020-03-28 23:30:00","6.7923763014e+08","6.7923763014e+08","5.1407441682e+07","5.1407441682e+07"
"2020-03-28 23:35:00","6.7216928724e+08","6.7216928724e+08","5.2746975549e+07","5.2746975549e+07"
"2020-03-28 23:40:00","7.5053873008e+08","7.5053873008e+08","4.8253144848e+07","4.8253144848e+07"
"2020-03-28 23:45:00","6.1492116018e+08","6.1492116018e+08","4.5038752471e+07","4.5038752471e+07"
"2020-03-28 23:50:00","6.7357645980e+08","6.7357645980e+08","4.9042998234e+07","4.9042998234e+07"
"2020-03-28 23:55:00","6.8116956212e+08","6.8116956212e+08","5.0033949401e+07","5.0033949401e+07"
"2020-03-29 00:00:00","7.5349788606e+08","7.5349788606e+08","5.4580847847e+07","5.4580847847e+07"
"2020-03-29 00:05:00","6.9699275954e+08","6.9699275954e+08","5.2332034728e+07","5.2332034728e+07"
"2020-03-29 00:10:00","5.9462991146e+08","5.9462991146e+08","5.5657857656e+07","5.5657857656e+07"
"2020-03-29 00:15:00","6.7158635740e+08","6.7158635740e+08","5.8190102214e+07","5.8190102214e+07"
"2020-03-29 00:20:00","8.2680067891e+08","8.2680067891e+08","5.9132183692e+07","5.9132183692e+07"
"2020-03-29 00:25:00","6.7644766248e+08","6.7644766248e+08","5.1143097821e+07","5.1143097821e+07"
"2020-03-29 00:30:00","6.7391018220e+08","6.7391018220e+08","5.1520720079e+07","5.1520720079e+07"
