"Title:","mx1.ams.nl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE HAM SRF0000001 | ams-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47927"
"Host ID:","175"
"Nth Percentile:","25106778440","|95:bits:0:current:2|"
"Nth Percentile:","15236.37","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","1.2378642668e+10","1.2378642668e+10","1.4911379785e+04","1.4911379785e+04"
"2020-03-29 23:10:00","1.1939135549e+10","1.1939135549e+10","1.4668385031e+04","1.4668385031e+04"
"2020-03-29 23:15:00","1.2840454973e+10","1.2840454973e+10","1.4683031865e+04","1.4683031865e+04"
"2020-03-29 23:20:00","1.3141274395e+10","1.3141274395e+10","1.5104929244e+04","1.5104929244e+04"
"2020-03-29 23:25:00","1.2933997228e+10","1.2933997228e+10","1.4769814756e+04","1.4769814756e+04"
"2020-03-29 23:30:00","1.7798775937e+10","1.7798775937e+10","1.4791625771e+04","1.4791625771e+04"
"2020-03-29 23:35:00","1.6907932285e+10","1.6907932285e+10","1.5068668108e+04","1.5068668108e+04"
"2020-03-29 23:40:00","1.1778173104e+10","1.1778173104e+10","1.4746130121e+04","1.4746130121e+04"
"2020-03-29 23:45:00","8.6141909495e+09","8.6141909495e+09","1.4704345778e+04","1.4704345778e+04"
"2020-03-29 23:50:00","7.1059645074e+09","7.1059645074e+09","1.4708488684e+04","1.4708488684e+04"
"2020-03-29 23:55:00","7.4593724976e+09","7.4593724976e+09","1.4976968383e+04","1.4976968383e+04"
"2020-03-30 00:00:00","5.7147124720e+09","5.7147124720e+09","1.4869553857e+04","1.4869553857e+04"
"2020-03-30 00:05:00","5.7124909091e+09","5.7124909091e+09","1.4771853539e+04","1.4771853539e+04"
"2020-03-30 00:10:00","6.9669498362e+09","6.9669498362e+09","1.4714663741e+04","1.4714663741e+04"
"2020-03-30 00:15:00","3.8529413477e+09","3.8529413477e+09","1.4752228227e+04","1.4752228227e+04"
"2020-03-30 00:20:00","7.1994704385e+09","7.1994704385e+09","1.4777804280e+04","1.4777804280e+04"
"2020-03-30 00:25:00","1.0276254469e+10","1.0276254469e+10","1.4805608549e+04","1.4805608549e+04"
"2020-03-30 00:30:00","5.7794342039e+09","5.7794342039e+09","1.4784297140e+04","1.4784297140e+04"
"2020-03-30 00:35:00","7.4523582834e+09","7.4523582834e+09","1.5609766400e+04","1.5609766400e+04"
"2020-03-30 00:40:00","1.2503570405e+10","1.2503570405e+10","1.4940781468e+04","1.4940781468e+04"
"2020-03-30 00:45:00","1.4251889014e+10","1.4251889014e+10","1.4725902888e+04","1.4725902888e+04"
"2020-03-30 00:50:00","1.0766013582e+10","1.0766013582e+10","1.4902697422e+04","1.4902697422e+04"
"2020-03-30 00:55:00","1.1883558473e+10","1.1883558473e+10","1.4791209600e+04","1.4791209600e+04"
"2020-03-30 01:00:00","1.5118050820e+10","1.5118050820e+10","1.4988676289e+04","1.4988676289e+04"
"2020-03-30 01:05:00","1.2537774108e+10","1.2537774108e+10","1.5079390466e+04","1.5079390466e+04"
"2020-03-30 01:10:00","1.0533481898e+10","1.0533481898e+10","1.4577584533e+04","1.4577584533e+04"
"2020-03-30 01:15:00","8.9944137332e+09","8.9944137332e+09","1.4773647207e+04","1.4773647207e+04"
"2020-03-30 01:20:00","1.0981797775e+10","1.0981797775e+10","1.4937553593e+04","1.4937553593e+04"
"2020-03-30 01:25:00","1.1830108677e+10","1.1830108677e+10","1.4458211022e+04","1.4458211022e+04"
"2020-03-30 01:30:00","9.8528669143e+09","9.8528669143e+09","1.4932634311e+04","1.4932634311e+04"
"2020-03-30 01:35:00","8.3048559966e+09","8.3048559966e+09","1.4903103429e+04","1.4903103429e+04"
"2020-03-30 01:40:00","1.1282632451e+10","1.1282632451e+10","1.4708681637e+04","1.4708681637e+04"
"2020-03-30 01:45:00","1.1862482283e+10","1.1862482283e+10","1.4947936800e+04","1.4947936800e+04"
"2020-03-30 01:50:00","1.0442789498e+10","1.0442789498e+10","1.4885445138e+04","1.4885445138e+04"
"2020-03-30 01:55:00","8.9490007849e+09","8.9490007849e+09","1.4771418684e+04","1.4771418684e+04"
"2020-03-30 02:00:00","9.6147389407e+09","9.6147389407e+09","1.4716652178e+04","1.4716652178e+04"
"2020-03-30 02:05:00","1.0574335143e+10","1.0574335143e+10","1.4628379467e+04","1.4628379467e+04"
"2020-03-30 02:10:00","1.0452577312e+10","1.0452577312e+10","1.4845055733e+04","1.4845055733e+04"
"2020-03-30 02:15:00","7.3281103860e+09","7.3281103860e+09","1.4689671998e+04","1.4689671998e+04"
"2020-03-30 02:20:00","6.8498582707e+09","6.8498582707e+09","1.5124855995e+04","1.5124855995e+04"
"2020-03-30 02:25:00","3.9351482689e+09","3.9351482689e+09","1.4680981419e+04","1.4680981419e+04"
"2020-03-30 02:30:00","8.9625894608e+09","8.9625894608e+09","1.5460386643e+04","1.5460386643e+04"
"2020-03-30 02:35:00","1.1437131830e+10","1.1437131830e+10","1.4894726878e+04","1.4894726878e+04"
"2020-03-30 02:40:00","1.4947648772e+10","1.4947648772e+10","1.4781341239e+04","1.4781341239e+04"
"2020-03-30 02:45:00","2.5106778440e+10","2.5106778440e+10","1.4983908937e+04","1.4983908937e+04"
"2020-03-30 02:50:00","2.7358151041e+10","2.7358151041e+10","1.4996790357e+04","1.4996790357e+04"
"2020-03-30 02:55:00","2.6199762245e+10","2.6199762245e+10","1.4363201067e+04","1.4363201067e+04"
"2020-03-30 03:00:00","3.0862944503e+10","3.0862944503e+10","1.4867907532e+04","1.4867907532e+04"
"2020-03-30 03:05:00","3.6887376084e+10","3.6887376084e+10","1.5118115402e+04","1.5118115402e+04"
"2020-03-30 03:10:00","3.2088865366e+10","3.2088865366e+10","1.4877136650e+04","1.4877136650e+04"
"2020-03-30 03:15:00","3.3389793409e+10","3.3389793409e+10","1.4597580683e+04","1.4597580683e+04"
"2020-03-30 03:20:00","2.9248761592e+10","2.9248761592e+10","1.4550070275e+04","1.4550070275e+04"
"2020-03-30 03:25:00","2.5724950395e+10","2.5724950395e+10","1.5127455236e+04","1.5127455236e+04"
"2020-03-30 03:30:00","3.2106559936e+10","3.2106559936e+10","1.4729390933e+04","1.4729390933e+04"
"2020-03-30 03:35:00","2.4444853049e+10","2.4444853049e+10","1.4621029156e+04","1.4621029156e+04"
"2020-03-30 03:40:00","3.0742556984e+10","3.0742556984e+10","1.4821185244e+04","1.4821185244e+04"
"2020-03-30 03:45:00","2.8050118622e+10","2.8050118622e+10","1.4916815737e+04","1.4916815737e+04"
"2020-03-30 03:50:00","1.3101459778e+10","1.3101459778e+10","1.4906889268e+04","1.4906889268e+04"
"2020-03-30 03:55:00","9.4773899642e+09","9.4773899642e+09","1.4741098684e+04","1.4741098684e+04"
"2020-03-30 04:00:00","5.3430955997e+09","5.3430955997e+09","1.5191267693e+04","1.5191267693e+04"
"2020-03-30 04:05:00","8.9617678943e+09","8.9617678943e+09","1.4639270158e+04","1.4639270158e+04"
"2020-03-30 04:10:00","1.2135371787e+10","1.2135371787e+10","1.4920376149e+04","1.4920376149e+04"
"2020-03-30 04:15:00","1.1178838883e+10","1.1178838883e+10","1.4702431196e+04","1.4702431196e+04"
"2020-03-30 04:20:00","1.2631830570e+10","1.2631830570e+10","1.4911327229e+04","1.4911327229e+04"
"2020-03-30 04:25:00","9.7157913340e+09","9.7157913340e+09","1.5522850642e+04","1.5522850642e+04"
"2020-03-30 04:30:00","1.0303931328e+10","1.0303931328e+10","1.4914236533e+04","1.4914236533e+04"
"2020-03-30 04:35:00","8.0366006011e+09","8.0366006011e+09","1.4671931467e+04","1.4671931467e+04"
"2020-03-30 04:40:00","1.0161636873e+10","1.0161636873e+10","1.4846400267e+04","1.4846400267e+04"
"2020-03-30 04:45:00","9.2595336326e+09","9.2595336326e+09","1.4768219124e+04","1.4768219124e+04"
"2020-03-30 04:50:00","7.5767687114e+09","7.5767687114e+09","1.4789143185e+04","1.4789143185e+04"
"2020-03-30 04:55:00","1.0221299648e+10","1.0221299648e+10","1.4851478490e+04","1.4851478490e+04"
"2020-03-30 05:00:00","1.1150709918e+10","1.1150709918e+10","1.4655769867e+04","1.4655769867e+04"
"2020-03-30 05:05:00","8.4581251507e+09","8.4581251507e+09","1.5241529867e+04","1.5241529867e+04"
"2020-03-30 05:10:00","1.3109292564e+10","1.3109292564e+10","1.4629416267e+04","1.4629416267e+04"
"2020-03-30 05:15:00","1.7014561492e+10","1.7014561492e+10","1.4617661031e+04","1.4617661031e+04"
"2020-03-30 05:20:00","1.5023732402e+10","1.5023732402e+10","1.4747448569e+04","1.4747448569e+04"
"2020-03-30 05:25:00","1.1625014701e+10","1.1625014701e+10","1.4781570860e+04","1.4781570860e+04"
"2020-03-30 05:30:00","1.5023024621e+10","1.5023024621e+10","1.5113439345e+04","1.5113439345e+04"
"2020-03-30 05:35:00","1.6301049424e+10","1.6301049424e+10","1.4482370799e+04","1.4482370799e+04"
"2020-03-30 05:40:00","1.4412212715e+10","1.4412212715e+10","1.4743036380e+04","1.4743036380e+04"
"2020-03-30 05:45:00","1.6339009953e+10","1.6339009953e+10","1.4883131060e+04","1.4883131060e+04"
"2020-03-30 05:50:00","1.3476216295e+10","1.3476216295e+10","1.4788666844e+04","1.4788666844e+04"
"2020-03-30 05:55:00","1.5772826381e+10","1.5772826381e+10","1.4851349104e+04","1.4851349104e+04"
"2020-03-30 06:00:00","1.8190802711e+10","1.8190802711e+10","1.4898206570e+04","1.4898206570e+04"
"2020-03-30 06:05:00","1.9786271444e+10","1.9786271444e+10","1.4929282954e+04","1.4929282954e+04"
"2020-03-30 06:10:00","1.6989884635e+10","1.6989884635e+10","1.4747179298e+04","1.4747179298e+04"
"2020-03-30 06:15:00","2.1510288843e+10","2.1510288843e+10","1.4719692119e+04","1.4719692119e+04"
"2020-03-30 06:20:00","2.4727471825e+10","2.4727471825e+10","1.4942212089e+04","1.4942212089e+04"
"2020-03-30 06:25:00","2.5848710187e+10","2.5848710187e+10","1.5607147378e+04","1.5607147378e+04"
"2020-03-30 06:30:00","3.2117496418e+10","3.2117496418e+10","1.4639245867e+04","1.4639245867e+04"
"2020-03-30 06:35:00","2.9791377713e+10","2.9791377713e+10","1.4803705778e+04","1.4803705778e+04"
"2020-03-30 06:40:00","2.4602978560e+10","2.4602978560e+10","1.4943019554e+04","1.4943019554e+04"
"2020-03-30 06:45:00","2.5676198130e+10","2.5676198130e+10","1.4867421810e+04","1.4867421810e+04"
