"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","36340099076","|95:bits:0:current:2|"
"Nth Percentile:","39497284639.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","2.5825195321e+10","2.5825195321e+10","2.5305380517e+10","2.5305380517e+10"
"2020-03-29 23:10:00","2.0990927068e+10","2.0990927068e+10","2.2003251804e+10","2.2003251804e+10"
"2020-03-29 23:15:00","1.8386203240e+10","1.8386203240e+10","2.4058465388e+10","2.4058465388e+10"
"2020-03-29 23:20:00","2.0179809327e+10","2.0179809327e+10","3.5761570428e+10","3.5761570428e+10"
"2020-03-29 23:25:00","2.2698709992e+10","2.2698709992e+10","3.8943320534e+10","3.8943320534e+10"
"2020-03-29 23:30:00","1.9609060663e+10","1.9609060663e+10","3.9840928977e+10","3.9840928977e+10"
"2020-03-29 23:35:00","2.3956949454e+10","2.3956949454e+10","3.7151918355e+10","3.7151918355e+10"
"2020-03-29 23:40:00","2.1132007694e+10","2.1132007694e+10","3.5444735564e+10","3.5444735564e+10"
"2020-03-29 23:45:00","1.8892448100e+10","1.8892448100e+10","3.3239115842e+10","3.3239115842e+10"
"2020-03-29 23:50:00","2.0381051597e+10","2.0381051597e+10","3.1246498502e+10","3.1246498502e+10"
"2020-03-29 23:55:00","2.0811529866e+10","2.0811529866e+10","3.8883947673e+10","3.8883947673e+10"
"2020-03-30 00:00:00","2.2498762827e+10","2.2498762827e+10","3.8467131042e+10","3.8467131042e+10"
"2020-03-30 00:05:00","2.0171072439e+10","2.0171072439e+10","2.8107255247e+10","2.8107255247e+10"
"2020-03-30 00:10:00","2.1219213860e+10","2.1219213860e+10","2.8308870083e+10","2.8308870083e+10"
"2020-03-30 00:15:00","2.0129157831e+10","2.0129157831e+10","2.2044109998e+10","2.2044109998e+10"
"2020-03-30 00:20:00","2.0973706362e+10","2.0973706362e+10","2.1802008940e+10","2.1802008940e+10"
"2020-03-30 00:25:00","2.0007966799e+10","2.0007966799e+10","2.1218749897e+10","2.1218749897e+10"
"2020-03-30 00:30:00","2.1777515208e+10","2.1777515208e+10","1.9245884077e+10","1.9245884077e+10"
