"Title:","mx1.ath2.gr - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE ATH SRF0000001 | ath-ath2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36069"
"Host ID:","257"
"Nth Percentile:","4915148417.6","|95:bits:0:current:2|"
"Nth Percentile:","3712573241.92","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","3.7458747507e+09","3.7458747507e+09","2.3725124040e+09","2.3725124040e+09"
"2020-03-29 23:10:00","3.5164864629e+09","3.5164864629e+09","2.8331435847e+09","2.8331435847e+09"
"2020-03-29 23:15:00","4.7101396537e+09","4.7101396537e+09","2.5922507999e+09","2.5922507999e+09"
"2020-03-29 23:20:00","4.4707123473e+09","4.4707123473e+09","2.6640491103e+09","2.6640491103e+09"
"2020-03-29 23:25:00","4.1418253557e+09","4.1418253557e+09","2.1529282519e+09","2.1529282519e+09"
"2020-03-29 23:30:00","3.5824371340e+09","3.5824371340e+09","1.3592862838e+09","1.3592862838e+09"
"2020-03-29 23:35:00","4.0501585292e+09","4.0501585292e+09","1.4753166489e+09","1.4753166489e+09"
"2020-03-29 23:40:00","3.3981273205e+09","3.3981273205e+09","2.4680088711e+09","2.4680088711e+09"
"2020-03-29 23:45:00","3.4798048537e+09","3.4798048537e+09","1.4026327331e+09","1.4026327331e+09"
"2020-03-29 23:50:00","3.6635992741e+09","3.6635992741e+09","1.7082615686e+09","1.7082615686e+09"
"2020-03-29 23:55:00","3.4143077306e+09","3.4143077306e+09","1.8266966637e+09","1.8266966637e+09"
"2020-03-30 00:00:00","3.5337513049e+09","3.5337513049e+09","2.1023587590e+09","2.1023587590e+09"
"2020-03-30 00:05:00","4.4710012278e+09","4.4710012278e+09","2.2475317139e+09","2.2475317139e+09"
"2020-03-30 00:10:00","3.6572446212e+09","3.6572446212e+09","1.9653547503e+09","1.9653547503e+09"
"2020-03-30 00:15:00","4.0942018852e+09","4.0942018852e+09","2.3229727213e+09","2.3229727213e+09"
"2020-03-30 00:20:00","3.7598818403e+09","3.7598818403e+09","1.9170872784e+09","1.9170872784e+09"
"2020-03-30 00:25:00","3.4669910140e+09","3.4669910140e+09","1.9758064627e+09","1.9758064627e+09"
"2020-03-30 00:30:00","2.9996484317e+09","2.9996484317e+09","1.5745637493e+09","1.5745637493e+09"
"2020-03-30 00:35:00","3.4760350135e+09","3.4760350135e+09","1.8407018464e+09","1.8407018464e+09"
"2020-03-30 00:40:00","3.6421337680e+09","3.6421337680e+09","2.0653961200e+09","2.0653961200e+09"
"2020-03-30 00:45:00","2.8634061534e+09","2.8634061534e+09","2.0975273214e+09","2.0975273214e+09"
"2020-03-30 00:50:00","3.2554296319e+09","3.2554296319e+09","1.7043995838e+09","1.7043995838e+09"
"2020-03-30 00:55:00","2.8229547952e+09","2.8229547952e+09","7.8983701924e+08","7.8983701924e+08"
"2020-03-30 01:00:00","2.7957567159e+09","2.7957567159e+09","1.5343152507e+09","1.5343152507e+09"
"2020-03-30 01:05:00","3.2757646669e+09","3.2757646669e+09","1.9988273619e+09","1.9988273619e+09"
"2020-03-30 01:10:00","2.6203622341e+09","2.6203622341e+09","2.1874041119e+09","2.1874041119e+09"
"2020-03-30 01:15:00","1.9271769583e+09","1.9271769583e+09","9.3347027103e+08","9.3347027103e+08"
"2020-03-30 01:20:00","3.0288089541e+09","3.0288089541e+09","1.3706202495e+09","1.3706202495e+09"
"2020-03-30 01:25:00","2.2569317742e+09","2.2569317742e+09","9.6215262974e+08","9.6215262974e+08"
"2020-03-30 01:30:00","2.1910695409e+09","2.1910695409e+09","8.2402441912e+08","8.2402441912e+08"
"2020-03-30 01:35:00","2.9382220531e+09","2.9382220531e+09","1.0771457684e+09","1.0771457684e+09"
"2020-03-30 01:40:00","2.7969927066e+09","2.7969927066e+09","1.3729375388e+09","1.3729375388e+09"
"2020-03-30 01:45:00","3.0535533752e+09","3.0535533752e+09","1.1702060798e+09","1.1702060798e+09"
"2020-03-30 01:50:00","3.8189146405e+09","3.8189146405e+09","1.7034833235e+09","1.7034833235e+09"
"2020-03-30 01:55:00","2.4267815580e+09","2.4267815580e+09","1.1870371965e+09","1.1870371965e+09"
"2020-03-30 02:00:00","2.7319998411e+09","2.7319998411e+09","1.0366990235e+09","1.0366990235e+09"
"2020-03-30 02:05:00","3.2245424371e+09","3.2245424371e+09","1.0002298185e+09","1.0002298185e+09"
"2020-03-30 02:10:00","2.6593785635e+09","2.6593785635e+09","1.3310776834e+09","1.3310776834e+09"
"2020-03-30 02:15:00","2.7842612586e+09","2.7842612586e+09","1.3514438370e+09","1.3514438370e+09"
"2020-03-30 02:20:00","3.1371448241e+09","3.1371448241e+09","1.5682972378e+09","1.5682972378e+09"
"2020-03-30 02:25:00","2.8833298848e+09","2.8833298848e+09","1.2991763053e+09","1.2991763053e+09"
"2020-03-30 02:30:00","2.4494185691e+09","2.4494185691e+09","1.9506287580e+09","1.9506287580e+09"
"2020-03-30 02:35:00","3.8174650926e+09","3.8174650926e+09","1.8552809164e+09","1.8552809164e+09"
"2020-03-30 02:40:00","3.1955554376e+09","3.1955554376e+09","2.8332918902e+09","2.8332918902e+09"
"2020-03-30 02:45:00","2.8113658590e+09","2.8113658590e+09","2.0582940374e+09","2.0582940374e+09"
"2020-03-30 02:50:00","3.3259441358e+09","3.3259441358e+09","2.4356998702e+09","2.4356998702e+09"
"2020-03-30 02:55:00","2.9000216873e+09","2.9000216873e+09","2.3175268019e+09","2.3175268019e+09"
"2020-03-30 03:00:00","2.8890722250e+09","2.8890722250e+09","2.4996044150e+09","2.4996044150e+09"
"2020-03-30 03:05:00","3.4331313331e+09","3.4331313331e+09","2.3542759090e+09","2.3542759090e+09"
"2020-03-30 03:10:00","3.3765762669e+09","3.3765762669e+09","2.6957035171e+09","2.6957035171e+09"
