"Title:","mx1.bud.hu - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001 | bud-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47937"
"Host ID:","146"
"Nth Percentile:","17080316724","|95:bits:0:current:2|"
"Nth Percentile:","5500582467.28","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","5.9291131496e+09","5.9291131496e+09","3.5430766221e+09","3.5430766221e+09"
"2020-03-29 23:10:00","5.9143576727e+09","5.9143576727e+09","5.2354190300e+09","5.2354190300e+09"
"2020-03-29 23:15:00","5.8124996254e+09","5.8124996254e+09","2.4579438087e+09","2.4579438087e+09"
"2020-03-29 23:20:00","5.7155758023e+09","5.7155758023e+09","6.2469026042e+09","6.2469026042e+09"
"2020-03-29 23:25:00","5.1865801423e+09","5.1865801423e+09","6.9686567450e+09","6.9686567450e+09"
"2020-03-29 23:30:00","4.9961811914e+09","4.9961811914e+09","5.5005824673e+09","5.5005824673e+09"
"2020-03-29 23:35:00","5.2794849387e+09","5.2794849387e+09","4.0553611704e+09","4.0553611704e+09"
"2020-03-29 23:40:00","5.1058607039e+09","5.1058607039e+09","1.7595789636e+09","1.7595789636e+09"
"2020-03-29 23:45:00","4.7058869773e+09","4.7058869773e+09","1.6370717699e+09","1.6370717699e+09"
"2020-03-29 23:50:00","4.9016955509e+09","4.9016955509e+09","2.9999779510e+09","2.9999779510e+09"
"2020-03-29 23:55:00","4.9843492241e+09","4.9843492241e+09","2.7405568257e+09","2.7405568257e+09"
"2020-03-30 00:00:00","5.1041388132e+09","5.1041388132e+09","3.2882373193e+09","3.2882373193e+09"
"2020-03-30 00:05:00","5.5761030344e+09","5.5761030344e+09","1.8632464687e+09","1.8632464687e+09"
"2020-03-30 00:10:00","5.1540411494e+09","5.1540411494e+09","2.7177310575e+09","2.7177310575e+09"
"2020-03-30 00:15:00","4.9954583765e+09","4.9954583765e+09","2.3810719658e+09","2.3810719658e+09"
"2020-03-30 00:20:00","5.0733367382e+09","5.0733367382e+09","1.7909957571e+09","1.7909957571e+09"
"2020-03-30 00:25:00","4.8943880952e+09","4.8943880952e+09","1.6026020761e+09","1.6026020761e+09"
"2020-03-30 00:30:00","5.5314191166e+09","5.5314191166e+09","1.6687515827e+09","1.6687515827e+09"
"2020-03-30 00:35:00","5.6003771542e+09","5.6003771542e+09","2.9629024342e+09","2.9629024342e+09"
"2020-03-30 00:40:00","5.1545933674e+09","5.1545933674e+09","2.5920128855e+09","2.5920128855e+09"
"2020-03-30 00:45:00","4.5960916679e+09","4.5960916679e+09","2.9703545843e+09","2.9703545843e+09"
"2020-03-30 00:50:00","4.5207158260e+09","4.5207158260e+09","3.7866046491e+09","3.7866046491e+09"
"2020-03-30 00:55:00","4.3289464189e+09","4.3289464189e+09","3.1809945210e+09","3.1809945210e+09"
"2020-03-30 01:00:00","5.3901366739e+09","5.3901366739e+09","3.5418180973e+09","3.5418180973e+09"
"2020-03-30 01:05:00","5.4214076844e+09","5.4214076844e+09","2.4499376968e+09","2.4499376968e+09"
"2020-03-30 01:10:00","5.9334140790e+09","5.9334140790e+09","1.3208478201e+09","1.3208478201e+09"
"2020-03-30 01:15:00","5.2906240641e+09","5.2906240641e+09","1.5222625017e+09","1.5222625017e+09"
"2020-03-30 01:20:00","5.0585405989e+09","5.0585405989e+09","1.3264000976e+09","1.3264000976e+09"
"2020-03-30 01:25:00","4.6330200267e+09","4.6330200267e+09","1.3517623466e+09","1.3517623466e+09"
"2020-03-30 01:30:00","4.4963676493e+09","4.4963676493e+09","1.2585568085e+09","1.2585568085e+09"
"2020-03-30 01:35:00","4.7715437509e+09","4.7715437509e+09","1.3141825527e+09","1.3141825527e+09"
"2020-03-30 01:40:00","4.0941336883e+09","4.0941336883e+09","1.4434251611e+09","1.4434251611e+09"
"2020-03-30 01:45:00","3.6017410253e+09","3.6017410253e+09","1.4592680288e+09","1.4592680288e+09"
"2020-03-30 01:50:00","3.9355012068e+09","3.9355012068e+09","1.1679683061e+09","1.1679683061e+09"
"2020-03-30 01:55:00","3.7857836952e+09","3.7857836952e+09","1.1711503711e+09","1.1711503711e+09"
"2020-03-30 02:00:00","3.9241503820e+09","3.9241503820e+09","1.2859277902e+09","1.2859277902e+09"
"2020-03-30 02:05:00","3.8185499775e+09","3.8185499775e+09","1.3139867750e+09","1.3139867750e+09"
"2020-03-30 02:10:00","3.8390794830e+09","3.8390794830e+09","1.5380437254e+09","1.5380437254e+09"
"2020-03-30 02:15:00","3.6623072513e+09","3.6623072513e+09","1.8641657735e+09","1.8641657735e+09"
"2020-03-30 02:20:00","3.3179491269e+09","3.3179491269e+09","2.2462612994e+09","2.2462612994e+09"
"2020-03-30 02:25:00","3.3978556805e+09","3.3978556805e+09","3.9121049319e+09","3.9121049319e+09"
"2020-03-30 02:30:00","3.8507871631e+09","3.8507871631e+09","3.8530235127e+09","3.8530235127e+09"
"2020-03-30 02:35:00","3.4807738028e+09","3.4807738028e+09","2.5549356287e+09","2.5549356287e+09"
"2020-03-30 02:40:00","3.3316851683e+09","3.3316851683e+09","1.4594045145e+09","1.4594045145e+09"
"2020-03-30 02:45:00","3.0170366462e+09","3.0170366462e+09","1.3429262789e+09","1.3429262789e+09"
"2020-03-30 02:50:00","2.4869210926e+09","2.4869210926e+09","2.6117428981e+09","2.6117428981e+09"
"2020-03-30 02:55:00","2.2421629786e+09","2.2421629786e+09","2.7059793144e+09","2.7059793144e+09"
"2020-03-30 03:00:00","2.3920229992e+09","2.3920229992e+09","2.8490271253e+09","2.8490271253e+09"
"2020-03-30 03:05:00","2.4949775449e+09","2.4949775449e+09","2.0571227603e+09","2.0571227603e+09"
"2020-03-30 03:10:00","2.6334723323e+09","2.6334723323e+09","2.6098420546e+09","2.6098420546e+09"
"2020-03-30 03:15:00","2.5011150865e+09","2.5011150865e+09","2.5311389500e+09","2.5311389500e+09"
"2020-03-30 03:20:00","2.6529877637e+09","2.6529877637e+09","1.7176360319e+09","1.7176360319e+09"
"2020-03-30 03:25:00","2.7283804808e+09","2.7283804808e+09","1.4002020950e+09","1.4002020950e+09"
"2020-03-30 03:30:00","2.3369687438e+09","2.3369687438e+09","1.3733491088e+09","1.3733491088e+09"
"2020-03-30 03:35:00","2.4925915334e+09","2.4925915334e+09","1.8097208180e+09","1.8097208180e+09"
"2020-03-30 03:40:00","2.9506957004e+09","2.9506957004e+09","1.5729974370e+09","1.5729974370e+09"
"2020-03-30 03:45:00","2.5446284978e+09","2.5446284978e+09","1.5406293086e+09","1.5406293086e+09"
"2020-03-30 03:50:00","2.2058508104e+09","2.2058508104e+09","1.3864312327e+09","1.3864312327e+09"
"2020-03-30 03:55:00","2.3350340826e+09","2.3350340826e+09","1.4967497628e+09","1.4967497628e+09"
"2020-03-30 04:00:00","2.4368624822e+09","2.4368624822e+09","1.1424965762e+09","1.1424965762e+09"
"2020-03-30 04:05:00","2.1541028170e+09","2.1541028170e+09","1.7343076404e+09","1.7343076404e+09"
"2020-03-30 04:10:00","2.2935160358e+09","2.2935160358e+09","1.4902575557e+09","1.4902575557e+09"
"2020-03-30 04:15:00","2.3417879721e+09","2.3417879721e+09","1.2791942085e+09","1.2791942085e+09"
"2020-03-30 04:20:00","2.4478874266e+09","2.4478874266e+09","1.6145039486e+09","1.6145039486e+09"
"2020-03-30 04:25:00","2.5711637886e+09","2.5711637886e+09","1.7146526959e+09","1.7146526959e+09"
"2020-03-30 04:30:00","2.8747301393e+09","2.8747301393e+09","1.5194811379e+09","1.5194811379e+09"
"2020-03-30 04:35:00","2.5193033076e+09","2.5193033076e+09","1.1605335475e+09","1.1605335475e+09"
"2020-03-30 04:40:00","2.2456697195e+09","2.2456697195e+09","1.4643832388e+09","1.4643832388e+09"
"2020-03-30 04:45:00","2.2469079428e+09","2.2469079428e+09","1.5471421136e+09","1.5471421136e+09"
"2020-03-30 04:50:00","2.7611888240e+09","2.7611888240e+09","1.6069090979e+09","1.6069090979e+09"
"2020-03-30 04:55:00","2.3029005409e+09","2.3029005409e+09","5.1357235273e+09","5.1357235273e+09"
"2020-03-30 05:00:00","2.7141509745e+09","2.7141509745e+09","8.4045007093e+09","8.4045007093e+09"
"2020-03-30 05:05:00","2.7747426190e+09","2.7747426190e+09","5.9045731989e+09","5.9045731989e+09"
