"Title:","mx1.dub2.ie - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE DUB SRF9929995 | dub-dub"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47799"
"Host ID:","225"
"Nth Percentile:","282220358.99","|95:bits:0:current:2|"
"Nth Percentile:","387024248.59","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","1.3654037595e+08","1.3654037595e+08","3.5469885344e+07","3.5469885344e+07"
"2020-03-29 23:10:00","1.0810961892e+08","1.0810961892e+08","2.9983852891e+07","2.9983852891e+07"
"2020-03-29 23:15:00","8.3116709085e+07","8.3116709085e+07","3.4067852374e+07","3.4067852374e+07"
"2020-03-29 23:20:00","8.6164336389e+07","8.6164336389e+07","3.3508347728e+07","3.3508347728e+07"
"2020-03-29 23:25:00","8.6078129339e+07","8.6078129339e+07","3.5455121268e+07","3.5455121268e+07"
"2020-03-29 23:30:00","9.2125740312e+07","9.2125740312e+07","3.3339167714e+07","3.3339167714e+07"
"2020-03-29 23:35:00","9.6889397048e+07","9.6889397048e+07","3.6360998093e+07","3.6360998093e+07"
"2020-03-29 23:40:00","9.4190328122e+07","9.4190328122e+07","3.1098149891e+07","3.1098149891e+07"
"2020-03-29 23:45:00","7.4568996868e+07","7.4568996868e+07","1.9741905920e+07","1.9741905920e+07"
"2020-03-29 23:50:00","8.8516120363e+07","8.8516120363e+07","1.9342010282e+07","1.9342010282e+07"
"2020-03-29 23:55:00","8.0711243882e+07","8.0711243882e+07","3.0999793161e+07","3.0999793161e+07"
"2020-03-30 00:00:00","1.0320476306e+08","1.0320476306e+08","2.0070513069e+07","2.0070513069e+07"
"2020-03-30 00:05:00","8.1011519292e+07","8.1011519292e+07","3.7989802682e+07","3.7989802682e+07"
"2020-03-30 00:10:00","9.4410609066e+07","9.4410609066e+07","3.7629555789e+07","3.7629555789e+07"
"2020-03-30 00:15:00","1.1459156319e+08","1.1459156319e+08","1.9802248970e+07","1.9802248970e+07"
"2020-03-30 00:20:00","9.6704542087e+07","9.6704542087e+07","1.9003686926e+07","1.9003686926e+07"
"2020-03-30 00:25:00","1.0980999295e+08","1.0980999295e+08","1.7690051885e+07","1.7690051885e+07"
"2020-03-30 00:30:00","1.0186931128e+08","1.0186931128e+08","1.8990993778e+07","1.8990993778e+07"
"2020-03-30 00:35:00","8.3005490767e+07","8.3005490767e+07","3.2156098769e+07","3.2156098769e+07"
"2020-03-30 00:40:00","1.0700027605e+08","1.0700027605e+08","3.1721188169e+07","3.1721188169e+07"
"2020-03-30 00:45:00","9.0420335385e+07","9.0420335385e+07","4.9601466187e+07","4.9601466187e+07"
"2020-03-30 00:50:00","9.1159325711e+07","9.1159325711e+07","3.5803195933e+07","3.5803195933e+07"
"2020-03-30 00:55:00","7.9004501085e+07","7.9004501085e+07","6.0561351648e+07","6.0561351648e+07"
"2020-03-30 01:00:00","7.0457201329e+07","7.0457201329e+07","6.4111080798e+07","6.4111080798e+07"
"2020-03-30 01:05:00","7.6540528458e+07","7.6540528458e+07","3.5533109850e+07","3.5533109850e+07"
"2020-03-30 01:10:00","8.3524419063e+07","8.3524419063e+07","3.7807627778e+07","3.7807627778e+07"
"2020-03-30 01:15:00","1.2089391009e+08","1.2089391009e+08","3.7389039231e+07","3.7389039231e+07"
"2020-03-30 01:20:00","9.2160575628e+07","9.2160575628e+07","3.7848477984e+07","3.7848477984e+07"
"2020-03-30 01:25:00","1.1282520621e+08","1.1282520621e+08","3.3569478493e+07","3.3569478493e+07"
"2020-03-30 01:30:00","1.2517460138e+08","1.2517460138e+08","3.5399876002e+07","3.5399876002e+07"
"2020-03-30 01:35:00","9.7044238884e+07","9.7044238884e+07","3.1893342200e+07","3.1893342200e+07"
"2020-03-30 01:40:00","1.3615508128e+08","1.3615508128e+08","4.6511511077e+07","4.6511511077e+07"
"2020-03-30 01:45:00","9.2296820091e+07","9.2296820091e+07","4.4430242793e+07","4.4430242793e+07"
"2020-03-30 01:50:00","8.3738450241e+07","8.3738450241e+07","3.5478274150e+07","3.5478274150e+07"
"2020-03-30 01:55:00","1.1904741765e+08","1.1904741765e+08","2.9508537228e+07","2.9508537228e+07"
"2020-03-30 02:00:00","1.2351597887e+08","1.2351597887e+08","2.0239900365e+07","2.0239900365e+07"
"2020-03-30 02:05:00","1.0413052936e+08","1.0413052936e+08","3.5593859676e+07","3.5593859676e+07"
"2020-03-30 02:10:00","1.1460125889e+08","1.1460125889e+08","4.2004694262e+07","4.2004694262e+07"
"2020-03-30 02:15:00","1.0030395054e+08","1.0030395054e+08","3.9214093343e+07","3.9214093343e+07"
"2020-03-30 02:20:00","8.0971981973e+07","8.0971981973e+07","3.5697586176e+07","3.5697586176e+07"
"2020-03-30 02:25:00","8.2576761538e+07","8.2576761538e+07","4.1863268773e+07","4.1863268773e+07"
"2020-03-30 02:30:00","9.0162489832e+07","9.0162489832e+07","6.4226705265e+07","6.4226705265e+07"
"2020-03-30 02:35:00","7.4713935789e+07","7.4713935789e+07","6.8423503341e+07","6.8423503341e+07"
"2020-03-30 02:40:00","9.2158028536e+07","9.2158028536e+07","6.9448379342e+07","6.9448379342e+07"
"2020-03-30 02:45:00","8.6725575644e+07","8.6725575644e+07","9.3738363143e+07","9.3738363143e+07"
"2020-03-30 02:50:00","6.8867459501e+07","6.8867459501e+07","8.0372637105e+07","8.0372637105e+07"
"2020-03-30 02:55:00","7.9660906362e+07","7.9660906362e+07","6.5268674129e+07","6.5268674129e+07"
"2020-03-30 03:00:00","8.8613267563e+07","8.8613267563e+07","8.3796129251e+07","8.3796129251e+07"
"2020-03-30 03:05:00","1.0241072414e+08","1.0241072414e+08","7.6143641880e+07","7.6143641880e+07"
"2020-03-30 03:10:00","1.2466624260e+08","1.2466624260e+08","9.7826838826e+07","9.7826838826e+07"
"2020-03-30 03:15:00","2.1648473136e+08","2.1648473136e+08","8.7997688979e+07","8.7997688979e+07"
"2020-03-30 03:20:00","1.4947952705e+08","1.4947952705e+08","8.4456963479e+07","8.4456963479e+07"
"2020-03-30 03:25:00","1.6447139928e+08","1.6447139928e+08","8.3378038855e+07","8.3378038855e+07"
"2020-03-30 03:30:00","1.9833384029e+08","1.9833384029e+08","5.0421167467e+07","5.0421167467e+07"
"2020-03-30 03:35:00","9.9858295632e+07","9.9858295632e+07","4.0078164412e+07","4.0078164412e+07"
"2020-03-30 03:40:00","6.7641370257e+07","6.7641370257e+07","4.4892554139e+07","4.4892554139e+07"
"2020-03-30 03:45:00","6.0472522471e+07","6.0472522471e+07","4.2896064421e+07","4.2896064421e+07"
"2020-03-30 03:50:00","6.6214666756e+07","6.6214666756e+07","3.0461608583e+07","3.0461608583e+07"
"2020-03-30 03:55:00","1.1505424732e+08","1.1505424732e+08","3.9235799862e+07","3.9235799862e+07"
"2020-03-30 04:00:00","9.0295869124e+07","9.0295869124e+07","3.5257227620e+07","3.5257227620e+07"
"2020-03-30 04:05:00","8.6187665487e+07","8.6187665487e+07","7.7276270890e+07","7.7276270890e+07"
"2020-03-30 04:10:00","7.6591287594e+07","7.6591287594e+07","9.3410773574e+07","9.3410773574e+07"
"2020-03-30 04:15:00","5.8011703064e+07","5.8011703064e+07","8.0645195065e+07","8.0645195065e+07"
"2020-03-30 04:20:00","5.2852287708e+07","5.2852287708e+07","5.7384736974e+07","5.7384736974e+07"
"2020-03-30 04:25:00","5.5065110298e+07","5.5065110298e+07","6.5494749963e+07","6.5494749963e+07"
"2020-03-30 04:30:00","6.0273459450e+07","6.0273459450e+07","7.1501807176e+07","7.1501807176e+07"
"2020-03-30 04:35:00","5.4286751099e+07","5.4286751099e+07","7.0536259595e+07","7.0536259595e+07"
"2020-03-30 04:40:00","7.4517159337e+07","7.4517159337e+07","1.0144390827e+08","1.0144390827e+08"
"2020-03-30 04:45:00","5.3169771573e+07","5.3169771573e+07","1.0518847874e+08","1.0518847874e+08"
"2020-03-30 04:50:00","8.9002213030e+07","8.9002213030e+07","2.7232423851e+08","2.7232423851e+08"
"2020-03-30 04:55:00","6.9383834300e+07","6.9383834300e+07","5.7621686785e+08","5.7621686785e+08"
"2020-03-30 05:00:00","6.0590159875e+07","6.0590159875e+07","3.8702424859e+08","3.8702424859e+08"
"2020-03-30 05:05:00","9.7240542403e+07","9.7240542403e+07","6.5301327954e+08","6.5301327954e+08"
"2020-03-30 05:10:00","6.6168583951e+07","6.6168583951e+07","3.6441022041e+08","3.6441022041e+08"
"2020-03-30 05:15:00","5.8545390414e+07","5.8545390414e+07","6.2151511671e+08","6.2151511671e+08"
"2020-03-30 05:20:00","5.8185061248e+07","5.8185061248e+07","4.9866818571e+08","4.9866818571e+08"
"2020-03-30 05:25:00","5.1807766669e+07","5.1807766669e+07","4.8682887947e+08","4.8682887947e+08"
"2020-03-30 05:30:00","5.4726984887e+07","5.4726984887e+07","5.8103953498e+08","5.8103953498e+08"
"2020-03-30 05:35:00","5.7654371615e+07","5.7654371615e+07","3.1688635980e+08","3.1688635980e+08"
"2020-03-30 05:40:00","6.4544438093e+07","6.4544438093e+07","3.7551302955e+08","3.7551302955e+08"
"2020-03-30 05:45:00","7.5933834480e+07","7.5933834480e+07","4.7597498403e+08","4.7597498403e+08"
"2020-03-30 05:50:00","7.7133544555e+07","7.7133544555e+07","6.2998489274e+08","6.2998489274e+08"
"2020-03-30 05:55:00","9.6424816199e+07","9.6424816199e+07","6.6779547584e+08","6.6779547584e+08"
"2020-03-30 06:00:00","6.8336263331e+07","6.8336263331e+07","4.6416057372e+08","4.6416057372e+08"
"2020-03-30 06:05:00","6.5296502243e+07","6.5296502243e+07","4.3125679338e+08","4.3125679338e+08"
"2020-03-30 06:10:00","6.2852854575e+07","6.2852854575e+07","4.8782897262e+08","4.8782897262e+08"
"2020-03-30 06:15:00","7.7888478807e+07","7.7888478807e+07","5.9371024144e+08","5.9371024144e+08"
"2020-03-30 06:20:00","8.6227472776e+07","8.6227472776e+07","5.9439396930e+08","5.9439396930e+08"
"2020-03-30 06:25:00","1.0180127158e+08","1.0180127158e+08","7.3875641663e+08","7.3875641663e+08"
"2020-03-30 06:30:00","7.2417757179e+07","7.2417757179e+07","3.3178794189e+08","3.3178794189e+08"
"2020-03-30 06:35:00","6.3667192684e+07","6.3667192684e+07","2.4763422900e+08","2.4763422900e+08"
"2020-03-30 06:40:00","7.4284793655e+07","7.4284793655e+07","4.8494239410e+07","4.8494239410e+07"
"2020-03-30 06:45:00","7.9378674292e+07","7.9378674292e+07","3.9266428419e+07","3.9266428419e+07"
"2020-03-30 06:50:00","8.7465723272e+07","8.7465723272e+07","4.0409084179e+07","4.0409084179e+07"
"2020-03-30 06:55:00","7.9830740618e+07","7.9830740618e+07","2.7987132921e+07","2.7987132921e+07"
"2020-03-30 07:00:00","7.9716458483e+07","7.9716458483e+07","2.4142984957e+07","2.4142984957e+07"
"2020-03-30 07:05:00","8.8514875057e+07","8.8514875057e+07","2.4398551936e+07","2.4398551936e+07"
"2020-03-30 07:10:00","8.5042486253e+07","8.5042486253e+07","2.5332619332e+07","2.5332619332e+07"
"2020-03-30 07:15:00","9.8045366709e+07","9.8045366709e+07","3.3833110337e+07","3.3833110337e+07"
"2020-03-30 07:20:00","8.6493160728e+07","8.6493160728e+07","3.0696485301e+07","3.0696485301e+07"
"2020-03-30 07:25:00","8.6760598920e+07","8.6760598920e+07","3.6297173133e+07","3.6297173133e+07"
"2020-03-30 07:30:00","9.8060944309e+07","9.8060944309e+07","3.0764680802e+07","3.0764680802e+07"
"2020-03-30 07:35:00","9.7207217664e+07","9.7207217664e+07","3.6516334285e+07","3.6516334285e+07"
"2020-03-30 07:40:00","1.1099419142e+08","1.1099419142e+08","3.7961447731e+07","3.7961447731e+07"
"2020-03-30 07:45:00","1.0309372829e+08","1.0309372829e+08","5.6673376203e+07","5.6673376203e+07"
"2020-03-30 07:50:00","1.0334644925e+08","1.0334644925e+08","4.4431874156e+07","4.4431874156e+07"
"2020-03-30 07:55:00","1.0684897554e+08","1.0684897554e+08","5.3639943759e+07","5.3639943759e+07"
