"Title:","mx1.fra.de - Traffic - ae2 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | FRA-GEN | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48189"
"Host ID:","167"
"Nth Percentile:","55073674095.2","|95:bits:0:current:2|"
"Nth Percentile:","57885064133.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","2.7265200943e+10","2.7265200943e+10","3.0722975481e+10","3.0722975481e+10"
"2020-03-29 23:10:00","3.5328946886e+10","3.5328946886e+10","3.3245692811e+10","3.3245692811e+10"
"2020-03-29 23:15:00","2.9833348825e+10","2.9833348825e+10","4.1814481489e+10","4.1814481489e+10"
"2020-03-29 23:20:00","3.0690646050e+10","3.0690646050e+10","3.7995793875e+10","3.7995793875e+10"
"2020-03-29 23:25:00","2.6266540712e+10","2.6266540712e+10","3.3661994455e+10","3.3661994455e+10"
"2020-03-29 23:30:00","3.6930063146e+10","3.6930063146e+10","3.8210383811e+10","3.8210383811e+10"
"2020-03-29 23:35:00","3.2138963156e+10","3.2138963156e+10","4.0088132208e+10","4.0088132208e+10"
"2020-03-29 23:40:00","3.0256693948e+10","3.0256693948e+10","3.8851366427e+10","3.8851366427e+10"
"2020-03-29 23:45:00","3.3177221591e+10","3.3177221591e+10","4.2205593659e+10","4.2205593659e+10"
"2020-03-29 23:50:00","2.9497611208e+10","2.9497611208e+10","4.3397230854e+10","4.3397230854e+10"
"2020-03-29 23:55:00","3.0762367892e+10","3.0762367892e+10","4.3596337271e+10","4.3596337271e+10"
"2020-03-30 00:00:00","3.4429990891e+10","3.4429990891e+10","4.7185181534e+10","4.7185181534e+10"
"2020-03-30 00:05:00","3.2330577229e+10","3.2330577229e+10","3.7425571040e+10","3.7425571040e+10"
"2020-03-30 00:10:00","2.8765106333e+10","2.8765106333e+10","3.6162442759e+10","3.6162442759e+10"
"2020-03-30 00:15:00","2.7686629562e+10","2.7686629562e+10","3.7658214427e+10","3.7658214427e+10"
"2020-03-30 00:20:00","2.5306234809e+10","2.5306234809e+10","4.1844414071e+10","4.1844414071e+10"
"2020-03-30 00:25:00","3.1321250754e+10","3.1321250754e+10","3.9990882397e+10","3.9990882397e+10"
"2020-03-30 00:30:00","2.9536754942e+10","2.9536754942e+10","3.7053017477e+10","3.7053017477e+10"
"2020-03-30 00:35:00","3.5303616686e+10","3.5303616686e+10","3.7437958333e+10","3.7437958333e+10"
"2020-03-30 00:40:00","3.1009671855e+10","3.1009671855e+10","3.9211253737e+10","3.9211253737e+10"
"2020-03-30 00:45:00","3.0692533529e+10","3.0692533529e+10","4.3028103911e+10","4.3028103911e+10"
"2020-03-30 00:50:00","2.5464179239e+10","2.5464179239e+10","4.2539657385e+10","4.2539657385e+10"
"2020-03-30 00:55:00","2.4287309527e+10","2.4287309527e+10","4.1350554779e+10","4.1350554779e+10"
"2020-03-30 01:00:00","2.5439613998e+10","2.5439613998e+10","3.5662837767e+10","3.5662837767e+10"
"2020-03-30 01:05:00","3.2185627502e+10","3.2185627502e+10","3.3223611897e+10","3.3223611897e+10"
"2020-03-30 01:10:00","3.1487432652e+10","3.1487432652e+10","3.5152843701e+10","3.5152843701e+10"
"2020-03-30 01:15:00","2.2967845272e+10","2.2967845272e+10","3.2035724849e+10","3.2035724849e+10"
"2020-03-30 01:20:00","2.6843498696e+10","2.6843498696e+10","3.0761315485e+10","3.0761315485e+10"
"2020-03-30 01:25:00","2.7691609377e+10","2.7691609377e+10","2.9040052838e+10","2.9040052838e+10"
"2020-03-30 01:30:00","2.3717991403e+10","2.3717991403e+10","3.1158091579e+10","3.1158091579e+10"
"2020-03-30 01:35:00","2.8153120811e+10","2.8153120811e+10","2.8681281035e+10","2.8681281035e+10"
"2020-03-30 01:40:00","2.5348343685e+10","2.5348343685e+10","2.8111673563e+10","2.8111673563e+10"
"2020-03-30 01:45:00","2.4445214367e+10","2.4445214367e+10","3.1499745184e+10","3.1499745184e+10"
"2020-03-30 01:50:00","2.3946411661e+10","2.3946411661e+10","3.0139335886e+10","3.0139335886e+10"
"2020-03-30 01:55:00","2.4218734276e+10","2.4218734276e+10","3.2103965424e+10","3.2103965424e+10"
"2020-03-30 02:00:00","2.4137216252e+10","2.4137216252e+10","3.5036025046e+10","3.5036025046e+10"
"2020-03-30 02:05:00","2.2861791269e+10","2.2861791269e+10","3.2727738267e+10","3.2727738267e+10"
"2020-03-30 02:10:00","2.4979119642e+10","2.4979119642e+10","3.5944618350e+10","3.5944618350e+10"
"2020-03-30 02:15:00","2.3567469663e+10","2.3567469663e+10","3.5464741226e+10","3.5464741226e+10"
"2020-03-30 02:20:00","2.7088188673e+10","2.7088188673e+10","3.3012944682e+10","3.3012944682e+10"
"2020-03-30 02:25:00","2.4270714380e+10","2.4270714380e+10","2.6156993894e+10","2.6156993894e+10"
"2020-03-30 02:30:00","2.6287765872e+10","2.6287765872e+10","2.8994995905e+10","2.8994995905e+10"
"2020-03-30 02:35:00","2.5262398937e+10","2.5262398937e+10","4.6991122505e+10","4.6991122505e+10"
