"Title:","mx1.gen.ch - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE MAD SRF0000001 | gen-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47831"
"Host ID:","164"
"Nth Percentile:","9316921281.6","|95:bits:0:current:2|"
"Nth Percentile:","12217919348","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","2.2525579726e+09","2.2525579726e+09","1.3787652924e+10","1.3787652924e+10"
"2020-03-29 23:10:00","5.0227312980e+09","5.0227312980e+09","1.5517142758e+10","1.5517142758e+10"
"2020-03-29 23:15:00","4.8530134139e+09","4.8530134139e+09","1.2130114902e+10","1.2130114902e+10"
"2020-03-29 23:20:00","5.1355306549e+09","5.1355306549e+09","1.1150909030e+10","1.1150909030e+10"
"2020-03-29 23:25:00","2.8510709130e+09","2.8510709130e+09","9.7225856595e+09","9.7225856595e+09"
"2020-03-29 23:30:00","2.2764622887e+09","2.2764622887e+09","1.0047867040e+10","1.0047867040e+10"
"2020-03-29 23:35:00","2.4599591879e+09","2.4599591879e+09","1.0596001361e+10","1.0596001361e+10"
"2020-03-29 23:40:00","2.2350438701e+09","2.2350438701e+09","1.1368445440e+10","1.1368445440e+10"
"2020-03-29 23:45:00","5.3638070604e+09","5.3638070604e+09","1.0475161477e+10","1.0475161477e+10"
"2020-03-29 23:50:00","6.1459655195e+09","6.1459655195e+09","1.0593166433e+10","1.0593166433e+10"
"2020-03-29 23:55:00","8.0201187607e+09","8.0201187607e+09","1.0306355281e+10","1.0306355281e+10"
"2020-03-30 00:00:00","6.2117328568e+09","6.2117328568e+09","1.5257921605e+10","1.5257921605e+10"
"2020-03-30 00:05:00","4.8237553839e+09","4.8237553839e+09","1.5557436788e+10","1.5557436788e+10"
"2020-03-30 00:10:00","4.5467170078e+09","4.5467170078e+09","1.2217919348e+10","1.2217919348e+10"
"2020-03-30 00:15:00","4.4568052903e+09","4.4568052903e+09","1.0947626124e+10","1.0947626124e+10"
"2020-03-30 00:20:00","6.0889878123e+09","6.0889878123e+09","1.1646658904e+10","1.1646658904e+10"
"2020-03-30 00:25:00","6.2216539918e+09","6.2216539918e+09","1.2627084936e+10","1.2627084936e+10"
"2020-03-30 00:30:00","4.8736610669e+09","4.8736610669e+09","1.0694294710e+10","1.0694294710e+10"
"2020-03-30 00:35:00","6.9373122411e+09","6.9373122411e+09","8.8706663495e+09","8.8706663495e+09"
"2020-03-30 00:40:00","5.4427334554e+09","5.4427334554e+09","7.7148440529e+09","7.7148440529e+09"
"2020-03-30 00:45:00","6.0207267024e+09","6.0207267024e+09","8.0715364800e+09","8.0715364800e+09"
