"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","41018198350.4","|95:bits:0:current:2|"
"Nth Percentile:","12762279144","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","1.6836745652e+10","1.6836745652e+10","2.2275022726e+09","2.2275022726e+09"
"2020-03-29 23:10:00","2.0012008329e+10","2.0012008329e+10","3.4749580194e+09","3.4749580194e+09"
"2020-03-29 23:15:00","2.0765790215e+10","2.0765790215e+10","8.6261408286e+09","8.6261408286e+09"
"2020-03-29 23:20:00","1.6883553406e+10","1.6883553406e+10","5.8858826289e+09","5.8858826289e+09"
"2020-03-29 23:25:00","2.0259820160e+10","2.0259820160e+10","4.0413095967e+09","4.0413095967e+09"
"2020-03-29 23:30:00","2.0109286216e+10","2.0109286216e+10","5.7979973366e+09","5.7979973366e+09"
"2020-03-29 23:35:00","2.0498500893e+10","2.0498500893e+10","6.8109039015e+09","6.8109039015e+09"
"2020-03-29 23:40:00","2.0046734390e+10","2.0046734390e+10","6.4079896649e+09","6.4079896649e+09"
"2020-03-29 23:45:00","1.9285195769e+10","1.9285195769e+10","4.0334734430e+09","4.0334734430e+09"
"2020-03-29 23:50:00","1.8427148546e+10","1.8427148546e+10","5.2505108799e+09","5.2505108799e+09"
"2020-03-29 23:55:00","1.5591223849e+10","1.5591223849e+10","4.2915540797e+09","4.2915540797e+09"
"2020-03-30 00:00:00","2.1706297145e+10","2.1706297145e+10","5.8888064786e+09","5.8888064786e+09"
"2020-03-30 00:05:00","1.9728331827e+10","1.9728331827e+10","3.1553685692e+09","3.1553685692e+09"
"2020-03-30 00:10:00","2.0094665972e+10","2.0094665972e+10","2.0533306577e+09","2.0533306577e+09"
"2020-03-30 00:15:00","1.6898911905e+10","1.6898911905e+10","1.6853334149e+09","1.6853334149e+09"
"2020-03-30 00:20:00","1.6532544278e+10","1.6532544278e+10","1.4018300018e+09","1.4018300018e+09"
"2020-03-30 00:25:00","2.0024796444e+10","2.0024796444e+10","2.2832699119e+09","2.2832699119e+09"
"2020-03-30 00:30:00","1.9538225465e+10","1.9538225465e+10","1.6229935002e+09","1.6229935002e+09"
"2020-03-30 00:35:00","1.6985935844e+10","1.6985935844e+10","1.1274654008e+09","1.1274654008e+09"
"2020-03-30 00:40:00","1.4609083317e+10","1.4609083317e+10","1.0669694480e+09","1.0669694480e+09"
"2020-03-30 00:45:00","1.3235718346e+10","1.3235718346e+10","3.3744435675e+09","3.3744435675e+09"
"2020-03-30 00:50:00","1.2156289453e+10","1.2156289453e+10","2.2743836718e+09","2.2743836718e+09"
"2020-03-30 00:55:00","1.4810777828e+10","1.4810777828e+10","2.1304236103e+09","2.1304236103e+09"
"2020-03-30 01:00:00","1.4609030443e+10","1.4609030443e+10","1.2758320054e+09","1.2758320054e+09"
"2020-03-30 01:05:00","1.3179997913e+10","1.3179997913e+10","1.6860254467e+09","1.6860254467e+09"
"2020-03-30 01:10:00","1.5199735086e+10","1.5199735086e+10","1.6379944043e+09","1.6379944043e+09"
"2020-03-30 01:15:00","1.6962238163e+10","1.6962238163e+10","2.0324760324e+09","2.0324760324e+09"
"2020-03-30 01:20:00","1.5903588530e+10","1.5903588530e+10","3.5069251011e+09","3.5069251011e+09"
"2020-03-30 01:25:00","1.6218611109e+10","1.6218611109e+10","1.2884588109e+09","1.2884588109e+09"
"2020-03-30 01:30:00","1.7815338643e+10","1.7815338643e+10","1.7313366839e+09","1.7313366839e+09"
"2020-03-30 01:35:00","1.6369080438e+10","1.6369080438e+10","2.1704333912e+09","2.1704333912e+09"
"2020-03-30 01:40:00","1.4463148953e+10","1.4463148953e+10","1.6712324713e+09","1.6712324713e+09"
"2020-03-30 01:45:00","1.5120280605e+10","1.5120280605e+10","2.5095191772e+09","2.5095191772e+09"
"2020-03-30 01:50:00","1.2858112234e+10","1.2858112234e+10","2.5090952760e+09","2.5090952760e+09"
"2020-03-30 01:55:00","1.1798225449e+10","1.1798225449e+10","2.7471783931e+09","2.7471783931e+09"
"2020-03-30 02:00:00","1.3581679136e+10","1.3581679136e+10","3.4880574003e+09","3.4880574003e+09"
"2020-03-30 02:05:00","1.1380123244e+10","1.1380123244e+10","3.2521863224e+09","3.2521863224e+09"
"2020-03-30 02:10:00","1.4513006783e+10","1.4513006783e+10","7.9017007147e+09","7.9017007147e+09"
"2020-03-30 02:15:00","1.3744214833e+10","1.3744214833e+10","3.7905797918e+09","3.7905797918e+09"
"2020-03-30 02:20:00","1.3609846474e+10","1.3609846474e+10","6.2896804653e+09","6.2896804653e+09"
"2020-03-30 02:25:00","1.6085839039e+10","1.6085839039e+10","3.8056033312e+09","3.8056033312e+09"
"2020-03-30 02:30:00","1.3023931161e+10","1.3023931161e+10","4.5064715545e+09","4.5064715545e+09"
"2020-03-30 02:35:00","1.4213322644e+10","1.4213322644e+10","4.0600597642e+09","4.0600597642e+09"
"2020-03-30 02:40:00","1.4445339008e+10","1.4445339008e+10","4.5449547814e+09","4.5449547814e+09"
"2020-03-30 02:45:00","1.5770382424e+10","1.5770382424e+10","3.2054185388e+09","3.2054185388e+09"
"2020-03-30 02:50:00","1.5217431188e+10","1.5217431188e+10","3.1325487794e+09","3.1325487794e+09"
"2020-03-30 02:55:00","1.7100440449e+10","1.7100440449e+10","3.9487113738e+09","3.9487113738e+09"
"2020-03-30 03:00:00","1.4849156025e+10","1.4849156025e+10","4.8524486527e+09","4.8524486527e+09"
"2020-03-30 03:05:00","1.6283131016e+10","1.6283131016e+10","3.3995222194e+09","3.3995222194e+09"
"2020-03-30 03:10:00","1.5155375043e+10","1.5155375043e+10","3.9044408693e+09","3.9044408693e+09"
"2020-03-30 03:15:00","1.6367333789e+10","1.6367333789e+10","3.6160218900e+09","3.6160218900e+09"
"2020-03-30 03:20:00","1.6548467424e+10","1.6548467424e+10","3.1070866493e+09","3.1070866493e+09"
"2020-03-30 03:25:00","1.5567374302e+10","1.5567374302e+10","2.5175494238e+09","2.5175494238e+09"
"2020-03-30 03:30:00","1.7332673392e+10","1.7332673392e+10","6.4606476405e+09","6.4606476405e+09"
"2020-03-30 03:35:00","1.6920107343e+10","1.6920107343e+10","2.9170828368e+09","2.9170828368e+09"
"2020-03-30 03:40:00","1.7108869547e+10","1.7108869547e+10","3.0271872763e+09","3.0271872763e+09"
"2020-03-30 03:45:00","1.4649183405e+10","1.4649183405e+10","4.0726786707e+09","4.0726786707e+09"
"2020-03-30 03:50:00","1.7994752180e+10","1.7994752180e+10","2.2582296354e+09","2.2582296354e+09"
"2020-03-30 03:55:00","1.8917753825e+10","1.8917753825e+10","3.0587654427e+09","3.0587654427e+09"
"2020-03-30 04:00:00","1.6853293437e+10","1.6853293437e+10","2.9409309022e+09","2.9409309022e+09"
"2020-03-30 04:05:00","1.4275178794e+10","1.4275178794e+10","2.8618933901e+09","2.8618933901e+09"
"2020-03-30 04:10:00","1.7994919506e+10","1.7994919506e+10","2.3770307656e+09","2.3770307656e+09"
"2020-03-30 04:15:00","1.5386425019e+10","1.5386425019e+10","4.6512001283e+09","4.6512001283e+09"
"2020-03-30 04:20:00","1.5626720845e+10","1.5626720845e+10","2.5867885380e+09","2.5867885380e+09"
"2020-03-30 04:25:00","1.3723459630e+10","1.3723459630e+10","2.8119449096e+09","2.8119449096e+09"
"2020-03-30 04:30:00","1.2683373007e+10","1.2683373007e+10","3.3629378871e+09","3.3629378871e+09"
"2020-03-30 04:35:00","1.4552348034e+10","1.4552348034e+10","4.1922584431e+09","4.1922584431e+09"
"2020-03-30 04:40:00","1.5359845153e+10","1.5359845153e+10","3.4144698721e+09","3.4144698721e+09"
"2020-03-30 04:45:00","1.6124133766e+10","1.6124133766e+10","3.1734747376e+09","3.1734747376e+09"
"2020-03-30 04:50:00","1.7252846633e+10","1.7252846633e+10","3.4428681070e+09","3.4428681070e+09"
"2020-03-30 04:55:00","2.4105860280e+10","2.4105860280e+10","4.0771792965e+09","4.0771792965e+09"
"2020-03-30 05:00:00","3.4884699489e+10","3.4884699489e+10","4.0532502920e+09","4.0532502920e+09"
"2020-03-30 05:05:00","2.8990787924e+10","2.8990787924e+10","3.6495375543e+09","3.6495375543e+09"
"2020-03-30 05:10:00","1.7577076707e+10","1.7577076707e+10","4.6301703409e+09","4.6301703409e+09"
"2020-03-30 05:15:00","1.6129160793e+10","1.6129160793e+10","5.1342281224e+09","5.1342281224e+09"
"2020-03-30 05:20:00","1.4748091515e+10","1.4748091515e+10","5.8624454883e+09","5.8624454883e+09"
"2020-03-30 05:25:00","2.3789026390e+10","2.3789026390e+10","3.8896557742e+09","3.8896557742e+09"
"2020-03-30 05:30:00","2.1885033152e+10","2.1885033152e+10","3.0149400522e+09","3.0149400522e+09"
"2020-03-30 05:35:00","2.7013601130e+10","2.7013601130e+10","2.5509439686e+10","2.5509439686e+10"
"2020-03-30 05:40:00","2.6633852913e+10","2.6633852913e+10","1.2120733643e+10","1.2120733643e+10"
"2020-03-30 05:45:00","2.6539243285e+10","2.6539243285e+10","2.7205794553e+09","2.7205794553e+09"
"2020-03-30 05:50:00","2.8368789629e+10","2.8368789629e+10","3.9666355426e+09","3.9666355426e+09"
"2020-03-30 05:55:00","2.8997739947e+10","2.8997739947e+10","3.3756835440e+09","3.3756835440e+09"
"2020-03-30 06:00:00","4.2903468138e+10","4.2903468138e+10","3.4164831170e+09","3.4164831170e+09"
"2020-03-30 06:05:00","3.6918022868e+10","3.6918022868e+10","2.9403010435e+09","2.9403010435e+09"
"2020-03-30 06:10:00","2.9814435531e+10","2.9814435531e+10","3.4277556427e+09","3.4277556427e+09"
"2020-03-30 06:15:00","2.6223328235e+10","2.6223328235e+10","4.0443363874e+09","4.0443363874e+09"
"2020-03-30 06:20:00","2.8372278955e+10","2.8372278955e+10","4.7440319137e+09","4.7440319137e+09"
"2020-03-30 06:25:00","5.8282277255e+10","5.8282277255e+10","4.3736860844e+09","4.3736860844e+09"
"2020-03-30 06:30:00","4.7422765711e+10","4.7422765711e+10","5.1052370668e+09","5.1052370668e+09"
"2020-03-30 06:35:00","3.2590569815e+10","3.2590569815e+10","5.2143522743e+09","5.2143522743e+09"
"2020-03-30 06:40:00","3.2939488298e+10","3.2939488298e+10","5.5526558024e+09","5.5526558024e+09"
"2020-03-30 06:45:00","3.4942373952e+10","3.4942373952e+10","5.6433279331e+09","5.6433279331e+09"
"2020-03-30 06:50:00","3.5369484417e+10","3.5369484417e+10","5.4017232135e+09","5.4017232135e+09"
"2020-03-30 06:55:00","3.5576817183e+10","3.5576817183e+10","6.6941422939e+09","6.6941422939e+09"
"2020-03-30 07:00:00","3.7180572538e+10","3.7180572538e+10","6.2896790417e+09","6.2896790417e+09"
"2020-03-30 07:05:00","2.6102773287e+10","2.6102773287e+10","5.8050347883e+09","5.8050347883e+09"
"2020-03-30 07:10:00","3.7642952202e+10","3.7642952202e+10","5.3562063495e+09","5.3562063495e+09"
"2020-03-30 07:15:00","4.1229546087e+10","4.1229546087e+10","5.2072683588e+09","5.2072683588e+09"
"2020-03-30 07:20:00","4.8834786544e+10","4.8834786544e+10","5.4089297112e+09","5.4089297112e+09"
"2020-03-30 07:25:00","4.4296963812e+10","4.4296963812e+10","3.9889581575e+09","3.9889581575e+09"
"2020-03-30 07:30:00","3.9479261019e+10","3.9479261019e+10","3.3781473337e+09","3.3781473337e+09"
"2020-03-30 07:35:00","3.4980313453e+10","3.4980313453e+10","3.5057382898e+09","3.5057382898e+09"
"2020-03-30 07:40:00","3.0358755516e+10","3.0358755516e+10","3.3855128200e+09","3.3855128200e+09"
"2020-03-30 07:45:00","3.2605475090e+10","3.2605475090e+10","3.5235948697e+09","3.5235948697e+09"
"2020-03-30 07:50:00","4.0149931407e+10","4.0149931407e+10","3.2186169001e+09","3.2186169001e+09"
"2020-03-30 07:55:00","3.5328431191e+10","3.5328431191e+10","3.4534439142e+09","3.4534439142e+09"
"2020-03-30 08:00:00","2.8858901560e+10","2.8858901560e+10","3.5827915099e+09","3.5827915099e+09"
"2020-03-30 08:05:00","2.7946984242e+10","2.7946984242e+10","2.9122379092e+09","2.9122379092e+09"
"2020-03-30 08:10:00","3.8004154297e+10","3.8004154297e+10","3.4038672573e+09","3.4038672573e+09"
"2020-03-30 08:15:00","4.1201022830e+10","4.1201022830e+10","3.0000345642e+09","3.0000345642e+09"
"2020-03-30 08:20:00","4.1707270620e+10","4.1707270620e+10","2.6185377656e+09","2.6185377656e+09"
"2020-03-30 08:25:00","4.0993590580e+10","4.0993590580e+10","2.8822063913e+09","2.8822063913e+09"
"2020-03-30 08:30:00","3.7584659565e+10","3.7584659565e+10","3.5026920462e+09","3.5026920462e+09"
"2020-03-30 08:35:00","2.7774797178e+10","2.7774797178e+10","3.2423397232e+09","3.2423397232e+09"
"2020-03-30 08:40:00","2.1831385448e+10","2.1831385448e+10","3.8291019779e+09","3.8291019779e+09"
"2020-03-30 08:45:00","2.4266991535e+10","2.4266991535e+10","3.8896379592e+09","3.8896379592e+09"
"2020-03-30 08:50:00","2.8079616066e+10","2.8079616066e+10","3.5111942539e+09","3.5111942539e+09"
"2020-03-30 08:55:00","3.3201886818e+10","3.3201886818e+10","2.8138854113e+09","2.8138854113e+09"
"2020-03-30 09:00:00","2.8724065698e+10","2.8724065698e+10","5.2011948921e+09","5.2011948921e+09"
"2020-03-30 09:05:00","3.0267744394e+10","3.0267744394e+10","4.0412732819e+09","4.0412732819e+09"
"2020-03-30 09:10:00","2.1485626858e+10","2.1485626858e+10","3.5184864435e+09","3.5184864435e+09"
"2020-03-30 09:15:00","2.0486173763e+10","2.0486173763e+10","3.2509859493e+09","3.2509859493e+09"
"2020-03-30 09:20:00","2.1807842214e+10","2.1807842214e+10","3.5785196692e+09","3.5785196692e+09"
"2020-03-30 09:25:00","2.9310317933e+10","2.9310317933e+10","3.4163324582e+09","3.4163324582e+09"
"2020-03-30 09:30:00","3.4728504132e+10","3.4728504132e+10","3.2583185310e+09","3.2583185310e+09"
"2020-03-30 09:35:00","3.0085395243e+10","3.0085395243e+10","4.0673437963e+09","4.0673437963e+09"
"2020-03-30 09:40:00","3.8614443675e+10","3.8614443675e+10","4.2369955391e+09","4.2369955391e+09"
"2020-03-30 09:45:00","4.8094809220e+10","4.8094809220e+10","3.7056304607e+09","3.7056304607e+09"
"2020-03-30 09:50:00","4.2927493803e+10","4.2927493803e+10","4.4293507351e+09","4.4293507351e+09"
"2020-03-30 09:55:00","3.8750078911e+10","3.8750078911e+10","4.1625046595e+09","4.1625046595e+09"
