"Title:","mx1.kau.lt - Traffic - ae5.0 - SRV_GLOBAL INFRASTRUCTURE BACKBONE POZ SRF0000001 | kau-poz"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","526"
"Host ID:","131"
"Nth Percentile:","1352554135.52","|95:bits:0:current:2|"
"Nth Percentile:","519449750.15","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","7.8574678729e+08","7.8574678729e+08","2.1134555207e+08","2.1134555207e+08"
"2020-03-29 23:10:00","7.2987833123e+08","7.2987833123e+08","2.1229937177e+08","2.1229937177e+08"
"2020-03-29 23:15:00","7.4078357107e+08","7.4078357107e+08","1.9407543613e+08","1.9407543613e+08"
"2020-03-29 23:20:00","7.0550940140e+08","7.0550940140e+08","2.8089231935e+08","2.8089231935e+08"
"2020-03-29 23:25:00","7.4489444044e+08","7.4489444044e+08","1.9952834944e+08","1.9952834944e+08"
"2020-03-29 23:30:00","7.6177799019e+08","7.6177799019e+08","1.8632653152e+08","1.8632653152e+08"
"2020-03-29 23:35:00","6.9186436268e+08","6.9186436268e+08","1.4663552915e+08","1.4663552915e+08"
"2020-03-29 23:40:00","7.0068031006e+08","7.0068031006e+08","1.8794392056e+08","1.8794392056e+08"
"2020-03-29 23:45:00","6.2512509548e+08","6.2512509548e+08","1.7696392402e+08","1.7696392402e+08"
"2020-03-29 23:50:00","5.7587788211e+08","5.7587788211e+08","1.5126913338e+08","1.5126913338e+08"
"2020-03-29 23:55:00","6.0470137324e+08","6.0470137324e+08","2.2828114164e+08","2.2828114164e+08"
"2020-03-30 00:00:00","5.3050237447e+08","5.3050237447e+08","2.5300949605e+08","2.5300949605e+08"
"2020-03-30 00:05:00","5.2762210622e+08","5.2762210622e+08","3.2651942654e+08","3.2651942654e+08"
"2020-03-30 00:10:00","5.3358771253e+08","5.3358771253e+08","1.9162964815e+08","1.9162964815e+08"
"2020-03-30 00:15:00","5.9971960257e+08","5.9971960257e+08","1.9121015172e+08","1.9121015172e+08"
"2020-03-30 00:20:00","5.6195663580e+08","5.6195663580e+08","1.7630663136e+08","1.7630663136e+08"
"2020-03-30 00:25:00","5.8188590439e+08","5.8188590439e+08","2.8337926889e+08","2.8337926889e+08"
"2020-03-30 00:30:00","5.5905807524e+08","5.5905807524e+08","1.6900404846e+08","1.6900404846e+08"
