"Title:","mx1.lon2.uk - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE AMS SRF0000001 | lon2-par | Coriant G30 100G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47463"
"Host ID:","235"
"Nth Percentile:","52702189535.2","|95:bits:0:current:2|"
"Nth Percentile:","43429015111.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","3.2044017988e+10","3.2044017988e+10","4.7790837583e+10","4.7790837583e+10"
"2020-03-29 23:10:00","3.7728180120e+10","3.7728180120e+10","4.2430168873e+10","4.2430168873e+10"
"2020-03-29 23:15:00","3.8678663210e+10","3.8678663210e+10","4.0118021969e+10","4.0118021969e+10"
"2020-03-29 23:20:00","4.3653022030e+10","4.3653022030e+10","4.1868106659e+10","4.1868106659e+10"
"2020-03-29 23:25:00","4.1794567302e+10","4.1794567302e+10","4.3734184810e+10","4.3734184810e+10"
"2020-03-29 23:30:00","4.0540003583e+10","4.0540003583e+10","4.9597225641e+10","4.9597225641e+10"
"2020-03-29 23:35:00","3.8556173175e+10","3.8556173175e+10","4.1230425270e+10","4.1230425270e+10"
"2020-03-29 23:40:00","4.1365335693e+10","4.1365335693e+10","3.8801711015e+10","3.8801711015e+10"
"2020-03-29 23:45:00","4.6253065471e+10","4.6253065471e+10","4.1705003984e+10","4.1705003984e+10"
"2020-03-29 23:50:00","4.1694514870e+10","4.1694514870e+10","4.6994263751e+10","4.6994263751e+10"
"2020-03-29 23:55:00","4.1847507251e+10","4.1847507251e+10","4.6736618538e+10","4.6736618538e+10"
"2020-03-30 00:00:00","5.1365770635e+10","5.1365770635e+10","4.6687898707e+10","4.6687898707e+10"
"2020-03-30 00:05:00","4.6682882278e+10","4.6682882278e+10","3.7390199132e+10","3.7390199132e+10"
"2020-03-30 00:10:00","4.3470626858e+10","4.3470626858e+10","3.3330136186e+10","3.3330136186e+10"
"2020-03-30 00:15:00","3.9197510648e+10","3.9197510648e+10","4.0954009330e+10","4.0954009330e+10"
"2020-03-30 00:20:00","3.7795528457e+10","3.7795528457e+10","4.0154359371e+10","4.0154359371e+10"
"2020-03-30 00:25:00","4.0924909039e+10","4.0924909039e+10","4.2228437354e+10","4.2228437354e+10"
"2020-03-30 00:30:00","4.1006514072e+10","4.1006514072e+10","4.2015214895e+10","4.2015214895e+10"
"2020-03-30 00:35:00","3.5368091955e+10","3.5368091955e+10","4.8457906954e+10","4.8457906954e+10"
"2020-03-30 00:40:00","3.8229661386e+10","3.8229661386e+10","4.1841914149e+10","4.1841914149e+10"
"2020-03-30 00:45:00","4.1291629941e+10","4.1291629941e+10","4.1236074567e+10","4.1236074567e+10"
"2020-03-30 00:50:00","3.6559994566e+10","3.6559994566e+10","4.8852430303e+10","4.8852430303e+10"
