"Title:","mx1.mar.fr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | gen-mar"
"Vertical Label:","bits per second"
"Start Date:","2020-03-29 23:05:00"
"End Date:","2020-03-31 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20747"
"Host ID:","233"
"Nth Percentile:","12044931868","|95:bits:0:current:2|"
"Nth Percentile:","11397903218.4","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-29 23:05:00","5.8297482229e+09","5.8297482229e+09","4.2203541779e+09","4.2203541779e+09"
"2020-03-29 23:10:00","4.6607356428e+09","4.6607356428e+09","9.2693287818e+09","9.2693287818e+09"
"2020-03-29 23:15:00","5.4523326984e+09","5.4523326984e+09","7.5031439617e+09","7.5031439617e+09"
"2020-03-29 23:20:00","5.4592486640e+09","5.4592486640e+09","6.6547788988e+09","6.6547788988e+09"
"2020-03-29 23:25:00","7.5028722945e+09","7.5028722945e+09","3.6456301454e+09","3.6456301454e+09"
"2020-03-29 23:30:00","6.4014902258e+09","6.4014902258e+09","2.6682660961e+09","2.6682660961e+09"
"2020-03-29 23:35:00","6.5315008354e+09","6.5315008354e+09","3.6870878083e+09","3.6870878083e+09"
"2020-03-29 23:40:00","6.0102647225e+09","6.0102647225e+09","4.9151392728e+09","4.9151392728e+09"
"2020-03-29 23:45:00","5.9895273640e+09","5.9895273640e+09","3.7396128860e+09","3.7396128860e+09"
"2020-03-29 23:50:00","5.0742847307e+09","5.0742847307e+09","3.0652568595e+09","3.0652568595e+09"
"2020-03-29 23:55:00","6.2936914412e+09","6.2936914412e+09","3.8850905209e+09","3.8850905209e+09"
"2020-03-30 00:00:00","5.3473645167e+09","5.3473645167e+09","4.5547313177e+09","4.5547313177e+09"
"2020-03-30 00:05:00","5.0992223783e+09","5.0992223783e+09","6.7321611862e+09","6.7321611862e+09"
"2020-03-30 00:10:00","5.7884770049e+09","5.7884770049e+09","5.1071176786e+09","5.1071176786e+09"
"2020-03-30 00:15:00","6.5333801640e+09","6.5333801640e+09","2.9362790414e+09","2.9362790414e+09"
"2020-03-30 00:20:00","6.8182536010e+09","6.8182536010e+09","4.0587692665e+09","4.0587692665e+09"
"2020-03-30 00:25:00","6.9630170758e+09","6.9630170758e+09","4.3242485606e+09","4.3242485606e+09"
"2020-03-30 00:30:00","4.5863872691e+09","4.5863872691e+09","4.3219150988e+09","4.3219150988e+09"
"2020-03-30 00:35:00","4.5757270076e+09","4.5757270076e+09","4.6454315001e+09","4.6454315001e+09"
"2020-03-30 00:40:00","4.6092095688e+09","4.6092095688e+09","6.1663619958e+09","6.1663619958e+09"
"2020-03-30 00:45:00","4.5690339935e+09","4.5690339935e+09","4.9233012421e+09","4.9233012421e+09"
"2020-03-30 00:50:00","4.3134819307e+09","4.3134819307e+09","7.9625426685e+09","7.9625426685e+09"
"2020-03-30 00:55:00","4.4134161076e+09","4.4134161076e+09","8.1294551697e+09","8.1294551697e+09"
"2020-03-30 01:00:00","5.2400363579e+09","5.2400363579e+09","6.5727711898e+09","6.5727711898e+09"
"2020-03-30 01:05:00","5.3301773141e+09","5.3301773141e+09","6.1673434011e+09","6.1673434011e+09"
"2020-03-30 01:10:00","4.6634475976e+09","4.6634475976e+09","6.2430232972e+09","6.2430232972e+09"
"2020-03-30 01:15:00","5.2086009754e+09","5.2086009754e+09","5.0966566074e+09","5.0966566074e+09"
"2020-03-30 01:20:00","5.0561736112e+09","5.0561736112e+09","4.9549228114e+09","4.9549228114e+09"
"2020-03-30 01:25:00","5.1853273390e+09","5.1853273390e+09","5.6904074864e+09","5.6904074864e+09"
"2020-03-30 01:30:00","5.7481666055e+09","5.7481666055e+09","4.6242379635e+09","4.6242379635e+09"
"2020-03-30 01:35:00","4.5628438722e+09","4.5628438722e+09","6.0584506620e+09","6.0584506620e+09"
"2020-03-30 01:40:00","4.2373270728e+09","4.2373270728e+09","7.1240505253e+09","7.1240505253e+09"
"2020-03-30 01:45:00","4.9256664311e+09","4.9256664311e+09","5.4181569602e+09","5.4181569602e+09"
"2020-03-30 01:50:00","4.1850894680e+09","4.1850894680e+09","4.2992225244e+09","4.2992225244e+09"
"2020-03-30 01:55:00","3.9657454419e+09","3.9657454419e+09","4.9503694135e+09","4.9503694135e+09"
"2020-03-30 02:00:00","5.3246487337e+09","5.3246487337e+09","5.9314713578e+09","5.9314713578e+09"
"2020-03-30 02:05:00","5.1127333565e+09","5.1127333565e+09","5.6972591746e+09","5.6972591746e+09"
"2020-03-30 02:10:00","4.7298425163e+09","4.7298425163e+09","5.8025633196e+09","5.8025633196e+09"
"2020-03-30 02:15:00","4.8758055940e+09","4.8758055940e+09","5.1347293667e+09","5.1347293667e+09"
"2020-03-30 02:20:00","5.3152179852e+09","5.3152179852e+09","3.5732436380e+09","3.5732436380e+09"
"2020-03-30 02:25:00","5.0333002962e+09","5.0333002962e+09","3.0965452682e+09","3.0965452682e+09"
"2020-03-30 02:30:00","6.7270709252e+09","6.7270709252e+09","4.4988789406e+09","4.4988789406e+09"
"2020-03-30 02:35:00","6.8916622811e+09","6.8916622811e+09","5.2094978121e+09","5.2094978121e+09"
"2020-03-30 02:40:00","5.8942760188e+09","5.8942760188e+09","9.4897540357e+09","9.4897540357e+09"
"2020-03-30 02:45:00","6.7341050454e+09","6.7341050454e+09","6.6412530559e+09","6.6412530559e+09"
"2020-03-30 02:50:00","5.4827254651e+09","5.4827254651e+09","7.3108898487e+09","7.3108898487e+09"
"2020-03-30 02:55:00","6.0215925781e+09","6.0215925781e+09","5.2371025790e+09","5.2371025790e+09"
"2020-03-30 03:00:00","7.0018758670e+09","7.0018758670e+09","8.7338819067e+09","8.7338819067e+09"
"2020-03-30 03:05:00","7.5960432892e+09","7.5960432892e+09","1.3974064826e+10","1.3974064826e+10"
"2020-03-30 03:10:00","7.6471501662e+09","7.6471501662e+09","1.2729711744e+10","1.2729711744e+10"
"2020-03-30 03:15:00","7.5844705749e+09","7.5844705749e+09","1.1405152582e+10","1.1405152582e+10"
"2020-03-30 03:20:00","6.9345747965e+09","6.9345747965e+09","1.5894314349e+10","1.5894314349e+10"
"2020-03-30 03:25:00","6.7482642242e+09","6.7482642242e+09","1.1283026474e+10","1.1283026474e+10"
"2020-03-30 03:30:00","6.0197792891e+09","6.0197792891e+09","9.3812593802e+09","9.3812593802e+09"
"2020-03-30 03:35:00","5.6910474599e+09","5.6910474599e+09","1.2495938261e+10","1.2495938261e+10"
"2020-03-30 03:40:00","4.8476492647e+09","4.8476492647e+09","1.3990805893e+10","1.3990805893e+10"
"2020-03-30 03:45:00","4.7427350046e+09","4.7427350046e+09","9.5542879583e+09","9.5542879583e+09"
"2020-03-30 03:50:00","6.2086237324e+09","6.2086237324e+09","1.0010871654e+10","1.0010871654e+10"
"2020-03-30 03:55:00","8.3266556401e+09","8.3266556401e+09","9.5145352978e+09","9.5145352978e+09"
"2020-03-30 04:00:00","8.3987127291e+09","8.3987127291e+09","9.1883148070e+09","9.1883148070e+09"
"2020-03-30 04:05:00","9.1803350148e+09","9.1803350148e+09","7.3545255900e+09","7.3545255900e+09"
"2020-03-30 04:10:00","1.0053496186e+10","1.0053496186e+10","7.4721657832e+09","7.4721657832e+09"
"2020-03-30 04:15:00","7.1628456677e+09","7.1628456677e+09","1.2292649506e+10","1.2292649506e+10"
"2020-03-30 04:20:00","7.6954485741e+09","7.6954485741e+09","8.9289769337e+09","8.9289769337e+09"
"2020-03-30 04:25:00","6.5994619050e+09","6.5994619050e+09","7.1918787291e+09","7.1918787291e+09"
"2020-03-30 04:30:00","6.2328517947e+09","6.2328517947e+09","5.9049714498e+09","5.9049714498e+09"
"2020-03-30 04:35:00","6.4956879684e+09","6.4956879684e+09","5.6045974601e+09","5.6045974601e+09"
"2020-03-30 04:40:00","4.9021397140e+09","4.9021397140e+09","5.3729959527e+09","5.3729959527e+09"
"2020-03-30 04:45:00","5.2148329475e+09","5.2148329475e+09","6.2594914737e+09","6.2594914737e+09"
"2020-03-30 04:50:00","6.0093807100e+09","6.0093807100e+09","6.1959633126e+09","6.1959633126e+09"
"2020-03-30 04:55:00","6.4821691615e+09","6.4821691615e+09","7.2182592399e+09","7.2182592399e+09"
"2020-03-30 05:00:00","6.5789899254e+09","6.5789899254e+09","6.3913432821e+09","6.3913432821e+09"
"2020-03-30 05:05:00","7.0136449321e+09","7.0136449321e+09","6.4057019442e+09","6.4057019442e+09"
"2020-03-30 05:10:00","6.1804388370e+09","6.1804388370e+09","5.7827582758e+09","5.7827582758e+09"
"2020-03-30 05:15:00","7.0721354080e+09","7.0721354080e+09","5.4818416354e+09","5.4818416354e+09"
"2020-03-30 05:20:00","7.7956507726e+09","7.7956507726e+09","9.8401423376e+09","9.8401423376e+09"
"2020-03-30 05:25:00","7.4491064264e+09","7.4491064264e+09","1.0816458195e+10","1.0816458195e+10"
"2020-03-30 05:30:00","8.6949764181e+09","8.6949764181e+09","7.1737839419e+09","7.1737839419e+09"
"2020-03-30 05:35:00","1.1538454706e+10","1.1538454706e+10","7.1005565365e+09","7.1005565365e+09"
"2020-03-30 05:40:00","8.9914629670e+09","8.9914629670e+09","6.7900028253e+09","6.7900028253e+09"
"2020-03-30 05:45:00","8.3653458890e+09","8.3653458890e+09","7.2822975377e+09","7.2822975377e+09"
"2020-03-30 05:50:00","9.3689250941e+09","9.3689250941e+09","6.4406326791e+09","6.4406326791e+09"
"2020-03-30 05:55:00","8.0510742709e+09","8.0510742709e+09","5.8737713305e+09","5.8737713305e+09"
"2020-03-30 06:00:00","6.4260403262e+09","6.4260403262e+09","7.7512653753e+09","7.7512653753e+09"
"2020-03-30 06:05:00","1.1448890087e+10","1.1448890087e+10","5.3009864898e+09","5.3009864898e+09"
"2020-03-30 06:10:00","8.1175074751e+09","8.1175074751e+09","4.8881382504e+09","4.8881382504e+09"
"2020-03-30 06:15:00","8.3735941072e+09","8.3735941072e+09","4.2168348193e+09","4.2168348193e+09"
