"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","83225694640","|95:bits:0:current:2|"
"Nth Percentile:","62483464679.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","6.7893716688e+10","6.7893716688e+10","5.0915113885e+10","5.0915113885e+10"
"2020-03-30 23:10:00","7.0073018209e+10","7.0073018209e+10","5.0631188706e+10","5.0631188706e+10"
"2020-03-30 23:15:00","5.7982130614e+10","5.7982130614e+10","4.7325506065e+10","4.7325506065e+10"
"2020-03-30 23:20:00","5.7549044409e+10","5.7549044409e+10","4.8561528547e+10","4.8561528547e+10"
"2020-03-30 23:25:00","5.7547596220e+10","5.7547596220e+10","4.2627519099e+10","4.2627519099e+10"
"2020-03-30 23:30:00","6.0775822041e+10","6.0775822041e+10","4.8417218461e+10","4.8417218461e+10"
"2020-03-30 23:35:00","6.8118376871e+10","6.8118376871e+10","4.8289727409e+10","4.8289727409e+10"
"2020-03-30 23:40:00","7.3084027281e+10","7.3084027281e+10","4.9575160936e+10","4.9575160936e+10"
"2020-03-30 23:45:00","6.4940850575e+10","6.4940850575e+10","4.3605762291e+10","4.3605762291e+10"
"2020-03-30 23:50:00","6.5520268854e+10","6.5520268854e+10","4.0840375456e+10","4.0840375456e+10"
"2020-03-30 23:55:00","8.3225694644e+10","8.3225694644e+10","5.6621646010e+10","5.6621646010e+10"
"2020-03-31 00:00:00","7.7304538688e+10","7.7304538688e+10","4.8401979031e+10","4.8401979031e+10"
"2020-03-31 00:05:00","7.1540662175e+10","7.1540662175e+10","4.4235888858e+10","4.4235888858e+10"
"2020-03-31 00:10:00","6.9931839638e+10","6.9931839638e+10","4.4110135188e+10","4.4110135188e+10"
"2020-03-31 00:15:00","6.6874244721e+10","6.6874244721e+10","4.8327480191e+10","4.8327480191e+10"
"2020-03-31 00:20:00","6.7336188859e+10","6.7336188859e+10","4.7348871087e+10","4.7348871087e+10"
"2020-03-31 00:25:00","6.0988275980e+10","6.0988275980e+10","3.7120771845e+10","3.7120771845e+10"
"2020-03-31 00:30:00","6.7527408542e+10","6.7527408542e+10","3.2980973930e+10","3.2980973930e+10"
"2020-03-31 00:35:00","6.7997696373e+10","6.7997696373e+10","3.8138135781e+10","3.8138135781e+10"
"2020-03-31 00:40:00","6.3662013986e+10","6.3662013986e+10","3.8246666946e+10","3.8246666946e+10"
"2020-03-31 00:45:00","6.4163719967e+10","6.4163719967e+10","3.7319307402e+10","3.7319307402e+10"
"2020-03-31 00:50:00","6.1504678390e+10","6.1504678390e+10","3.5068293414e+10","3.5068293414e+10"
"2020-03-31 00:55:00","5.6859290826e+10","5.6859290826e+10","4.7187826790e+10","4.7187826790e+10"
"2020-03-31 01:00:00","4.8613701289e+10","4.8613701289e+10","4.0365258521e+10","4.0365258521e+10"
"2020-03-31 01:05:00","5.0489382184e+10","5.0489382184e+10","3.8093881640e+10","3.8093881640e+10"
"2020-03-31 01:10:00","5.3121149900e+10","5.3121149900e+10","3.4285379386e+10","3.4285379386e+10"
"2020-03-31 01:15:00","4.1807673298e+10","4.1807673298e+10","3.3575654260e+10","3.3575654260e+10"
"2020-03-31 01:20:00","4.8047450496e+10","4.8047450496e+10","3.1748715678e+10","3.1748715678e+10"
"2020-03-31 01:25:00","4.9285447061e+10","4.9285447061e+10","2.9756769517e+10","2.9756769517e+10"
"2020-03-31 01:30:00","5.0385910775e+10","5.0385910775e+10","2.7360511133e+10","2.7360511133e+10"
"2020-03-31 01:35:00","5.2891230098e+10","5.2891230098e+10","2.8908412258e+10","2.8908412258e+10"
"2020-03-31 01:40:00","4.9564485898e+10","4.9564485898e+10","2.8557986290e+10","2.8557986290e+10"
"2020-03-31 01:45:00","5.0359609862e+10","5.0359609862e+10","2.7153871211e+10","2.7153871211e+10"
"2020-03-31 01:50:00","5.4915249543e+10","5.4915249543e+10","2.9323795293e+10","2.9323795293e+10"
"2020-03-31 01:55:00","5.4165403689e+10","5.4165403689e+10","3.1919219076e+10","3.1919219076e+10"
"2020-03-31 02:00:00","5.2920239366e+10","5.2920239366e+10","3.1630908236e+10","3.1630908236e+10"
"2020-03-31 02:05:00","5.0479358466e+10","5.0479358466e+10","2.7073240123e+10","2.7073240123e+10"
