"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","36021793000","|95:bits:0:current:2|"
"Nth Percentile:","40366900104","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","3.1556852046e+10","3.1556852046e+10","4.9892765490e+10","4.9892765490e+10"
"2020-03-30 23:10:00","3.2395186057e+10","3.2395186057e+10","5.8728220018e+10","5.8728220018e+10"
"2020-03-30 23:15:00","3.0890929230e+10","3.0890929230e+10","3.6223140766e+10","3.6223140766e+10"
"2020-03-30 23:20:00","2.8717648407e+10","2.8717648407e+10","3.8585558618e+10","3.8585558618e+10"
"2020-03-30 23:25:00","2.8602021952e+10","2.8602021952e+10","4.4617403725e+10","4.4617403725e+10"
"2020-03-30 23:30:00","2.8810557278e+10","2.8810557278e+10","3.8421637804e+10","3.8421637804e+10"
"2020-03-30 23:35:00","2.5694464599e+10","2.5694464599e+10","4.5724762211e+10","4.5724762211e+10"
"2020-03-30 23:40:00","2.8881243180e+10","2.8881243180e+10","5.6081241742e+10","5.6081241742e+10"
"2020-03-30 23:45:00","2.8515652585e+10","2.8515652585e+10","3.7379652165e+10","3.7379652165e+10"
"2020-03-30 23:50:00","3.1114174765e+10","3.1114174765e+10","3.9497284639e+10","3.9497284639e+10"
"2020-03-30 23:55:00","2.9467752191e+10","2.9467752191e+10","4.4899383386e+10","4.4899383386e+10"
"2020-03-31 00:00:00","3.4223456346e+10","3.4223456346e+10","4.3352054264e+10","4.3352054264e+10"
"2020-03-31 00:05:00","2.9511572940e+10","2.9511572940e+10","3.9109104015e+10","3.9109104015e+10"
"2020-03-31 00:10:00","2.7219853657e+10","2.7219853657e+10","4.3679984313e+10","4.3679984313e+10"
"2020-03-31 00:15:00","2.8400713492e+10","2.8400713492e+10","3.4545378105e+10","3.4545378105e+10"
"2020-03-31 00:20:00","2.8473443887e+10","2.8473443887e+10","3.3504840051e+10","3.3504840051e+10"
"2020-03-31 00:25:00","2.7909212775e+10","2.7909212775e+10","3.2911465540e+10","3.2911465540e+10"
"2020-03-31 00:30:00","2.8360846122e+10","2.8360846122e+10","3.7763805076e+10","3.7763805076e+10"
"2020-03-31 00:35:00","2.9870850511e+10","2.9870850511e+10","3.3594750693e+10","3.3594750693e+10"
"2020-03-31 00:40:00","3.0715504888e+10","3.0715504888e+10","3.2011478118e+10","3.2011478118e+10"
"2020-03-31 00:45:00","3.3721334383e+10","3.3721334383e+10","3.5208009146e+10","3.5208009146e+10"
"2020-03-31 00:50:00","3.2094234320e+10","3.2094234320e+10","3.2623326512e+10","3.2623326512e+10"
"2020-03-31 00:55:00","3.8609429044e+10","3.8609429044e+10","2.7303523459e+10","2.7303523459e+10"
"2020-03-31 01:00:00","3.2450277370e+10","3.2450277370e+10","2.6779984477e+10","2.6779984477e+10"
"2020-03-31 01:05:00","3.2531356349e+10","3.2531356349e+10","2.7696473122e+10","2.7696473122e+10"
"2020-03-31 01:10:00","3.3318232669e+10","3.3318232669e+10","2.4588324750e+10","2.4588324750e+10"
"2020-03-31 01:15:00","3.3082227960e+10","3.3082227960e+10","2.0928082024e+10","2.0928082024e+10"
"2020-03-31 01:20:00","3.2211373645e+10","3.2211373645e+10","2.3270583771e+10","2.3270583771e+10"
"2020-03-31 01:25:00","2.7907074669e+10","2.7907074669e+10","2.6829610707e+10","2.6829610707e+10"
"2020-03-31 01:30:00","2.5407912827e+10","2.5407912827e+10","2.4917576336e+10","2.4917576336e+10"
"2020-03-31 01:35:00","2.8161389328e+10","2.8161389328e+10","2.6850245313e+10","2.6850245313e+10"
"2020-03-31 01:40:00","2.4810137099e+10","2.4810137099e+10","2.8191619972e+10","2.8191619972e+10"
"2020-03-31 01:45:00","2.5934288159e+10","2.5934288159e+10","2.9813790083e+10","2.9813790083e+10"
"2020-03-31 01:50:00","2.7190854294e+10","2.7190854294e+10","3.2467478011e+10","3.2467478011e+10"
"2020-03-31 01:55:00","2.8020299377e+10","2.8020299377e+10","3.2669589775e+10","3.2669589775e+10"
"2020-03-31 02:00:00","2.9715645139e+10","2.9715645139e+10","3.0145125508e+10","3.0145125508e+10"
"2020-03-31 02:05:00","2.7189659085e+10","2.7189659085e+10","2.9462818752e+10","2.9462818752e+10"
"2020-03-31 02:10:00","3.1157035388e+10","3.1157035388e+10","2.8863084454e+10","2.8863084454e+10"
"2020-03-31 02:15:00","2.5150159499e+10","2.5150159499e+10","2.6965275957e+10","2.6965275957e+10"
"2020-03-31 02:20:00","2.5593225040e+10","2.5593225040e+10","2.8050686011e+10","2.8050686011e+10"
"2020-03-31 02:25:00","2.5348550948e+10","2.5348550948e+10","2.8963418041e+10","2.8963418041e+10"
"2020-03-31 02:30:00","2.7813437755e+10","2.7813437755e+10","3.0999530555e+10","3.0999530555e+10"
"2020-03-31 02:35:00","2.6415202788e+10","2.6415202788e+10","3.2292130240e+10","3.2292130240e+10"
"2020-03-31 02:40:00","3.1112003562e+10","3.1112003562e+10","3.5372364984e+10","3.5372364984e+10"
"2020-03-31 02:45:00","2.8281763169e+10","2.8281763169e+10","3.7044124594e+10","3.7044124594e+10"
"2020-03-31 02:50:00","3.4710537061e+10","3.4710537061e+10","4.6133510916e+10","4.6133510916e+10"
"2020-03-31 02:55:00","2.9383303323e+10","2.9383303323e+10","3.6503503718e+10","3.6503503718e+10"
"2020-03-31 03:00:00","2.9795321453e+10","2.9795321453e+10","3.7217282585e+10","3.7217282585e+10"
"2020-03-31 03:05:00","2.8548725821e+10","2.8548725821e+10","2.9489427031e+10","2.9489427031e+10"
"2020-03-31 03:10:00","2.6565282864e+10","2.6565282864e+10","2.7727308181e+10","2.7727308181e+10"
"2020-03-31 03:15:00","2.8757393397e+10","2.8757393397e+10","2.6555133218e+10","2.6555133218e+10"
"2020-03-31 03:20:00","2.8838272545e+10","2.8838272545e+10","3.0870413047e+10","3.0870413047e+10"
"2020-03-31 03:25:00","3.2122483729e+10","3.2122483729e+10","3.0596441628e+10","3.0596441628e+10"
"2020-03-31 03:30:00","2.8515443441e+10","2.8515443441e+10","2.5602262944e+10","2.5602262944e+10"
"2020-03-31 03:35:00","2.8291551152e+10","2.8291551152e+10","2.2020946110e+10","2.2020946110e+10"
"2020-03-31 03:40:00","2.4885140744e+10","2.4885140744e+10","2.1702249607e+10","2.1702249607e+10"
"2020-03-31 03:45:00","2.8138109624e+10","2.8138109624e+10","2.4148976294e+10","2.4148976294e+10"
"2020-03-31 03:50:00","2.9684509297e+10","2.9684509297e+10","2.9125089660e+10","2.9125089660e+10"
"2020-03-31 03:55:00","2.9281739633e+10","2.9281739633e+10","3.0979240149e+10","3.0979240149e+10"
"2020-03-31 04:00:00","2.7888006379e+10","2.7888006379e+10","2.7694669607e+10","2.7694669607e+10"
"2020-03-31 04:05:00","2.6782644146e+10","2.6782644146e+10","2.9145247959e+10","2.9145247959e+10"
"2020-03-31 04:10:00","2.9716186146e+10","2.9716186146e+10","3.0586382805e+10","3.0586382805e+10"
"2020-03-31 04:15:00","2.6909456993e+10","2.6909456993e+10","2.9422063531e+10","2.9422063531e+10"
"2020-03-31 04:20:00","2.6926073252e+10","2.6926073252e+10","3.0226423525e+10","3.0226423525e+10"
"2020-03-31 04:25:00","2.9941688186e+10","2.9941688186e+10","2.8976280739e+10","2.8976280739e+10"
"2020-03-31 04:30:00","3.0016515378e+10","3.0016515378e+10","3.0385150757e+10","3.0385150757e+10"
"2020-03-31 04:35:00","2.8874325387e+10","2.8874325387e+10","2.8414627411e+10","2.8414627411e+10"
"2020-03-31 04:40:00","2.8362384390e+10","2.8362384390e+10","2.8735208125e+10","2.8735208125e+10"
"2020-03-31 04:45:00","2.8948289719e+10","2.8948289719e+10","2.9087346588e+10","2.9087346588e+10"
"2020-03-31 04:50:00","3.1859566311e+10","3.1859566311e+10","4.1745194953e+10","4.1745194953e+10"
"2020-03-31 04:55:00","2.8978025522e+10","2.8978025522e+10","3.8392109624e+10","3.8392109624e+10"
