"Title:","mx1.ath2.gr - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001| ath2-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","36087"
"Host ID:","257"
"Nth Percentile:","2744201169.2","|95:bits:0:current:2|"
"Nth Percentile:","9843896572","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","1.5848629546e+09","1.5848629546e+09","7.6279287434e+09","7.6279287434e+09"
"2020-03-30 23:10:00","1.5684349450e+09","1.5684349450e+09","1.0562211443e+10","1.0562211443e+10"
"2020-03-30 23:15:00","1.5698759324e+09","1.5698759324e+09","8.1697034859e+09","8.1697034859e+09"
"2020-03-30 23:20:00","1.6203139498e+09","1.6203139498e+09","9.2739472272e+09","9.2739472272e+09"
"2020-03-30 23:25:00","1.6139087163e+09","1.6139087163e+09","9.8794839044e+09","9.8794839044e+09"
"2020-03-30 23:30:00","1.6014267381e+09","1.6014267381e+09","7.5999124088e+09","7.5999124088e+09"
"2020-03-30 23:35:00","1.4250702511e+09","1.4250702511e+09","9.4883350177e+09","9.4883350177e+09"
"2020-03-30 23:40:00","1.4703544220e+09","1.4703544220e+09","9.9125143003e+09","9.9125143003e+09"
"2020-03-30 23:45:00","1.3326735758e+09","1.3326735758e+09","9.3232818489e+09","9.3232818489e+09"
"2020-03-30 23:50:00","1.3115768710e+09","1.3115768710e+09","1.0281383843e+10","1.0281383843e+10"
"2020-03-30 23:55:00","1.3017750151e+09","1.3017750151e+09","8.2559161573e+09","8.2559161573e+09"
"2020-03-31 00:00:00","1.2435391561e+09","1.2435391561e+09","7.7799825024e+09","7.7799825024e+09"
"2020-03-31 00:05:00","1.2295213286e+09","1.2295213286e+09","9.5409596364e+09","9.5409596364e+09"
"2020-03-31 00:10:00","1.2450791748e+09","1.2450791748e+09","9.4767324380e+09","9.4767324380e+09"
"2020-03-31 00:15:00","1.2150406586e+09","1.2150406586e+09","8.3636055920e+09","8.3636055920e+09"
"2020-03-31 00:20:00","1.1855769751e+09","1.1855769751e+09","7.1978274642e+09","7.1978274642e+09"
"2020-03-31 00:25:00","1.2079646240e+09","1.2079646240e+09","9.4652963342e+09","9.4652963342e+09"
"2020-03-31 00:30:00","1.1923069784e+09","1.1923069784e+09","6.6473450610e+09","6.6473450610e+09"
"2020-03-31 00:35:00","1.1425474137e+09","1.1425474137e+09","8.6374141373e+09","8.6374141373e+09"
"2020-03-31 00:40:00","1.2073337349e+09","1.2073337349e+09","8.3200872043e+09","8.3200872043e+09"
"2020-03-31 00:45:00","1.1985535326e+09","1.1985535326e+09","7.4667440824e+09","7.4667440824e+09"
