"Title:","mx1.dub2.ie - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE LON2 SRF9942043 | dub2-lon2"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","39699"
"Host ID:","225"
"Nth Percentile:","498688758.69","|95:bits:0:current:2|"
"Nth Percentile:","309941769.19","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","9.8303931097e+06","9.8303931097e+06","1.6818441003e+08","1.6818441003e+08"
"2020-03-30 23:10:00","8.4419080005e+06","8.4419080005e+06","1.2592791791e+08","1.2592791791e+08"
"2020-03-30 23:15:00","7.2852271511e+06","7.2852271511e+06","9.3805483120e+07","9.3805483120e+07"
"2020-03-30 23:20:00","9.6199828577e+06","9.6199828577e+06","8.5871355507e+07","8.5871355507e+07"
"2020-03-30 23:25:00","9.8828243433e+06","9.8828243433e+06","9.0187405426e+07","9.0187405426e+07"
"2020-03-30 23:30:00","9.8607703807e+06","9.8607703807e+06","1.0889398664e+08","1.0889398664e+08"
"2020-03-30 23:35:00","6.0621325173e+06","6.0621325173e+06","8.4983832121e+07","8.4983832121e+07"
"2020-03-30 23:40:00","6.8132370426e+06","6.8132370426e+06","9.2049221841e+07","9.2049221841e+07"
"2020-03-30 23:45:00","6.5957228234e+06","6.5957228234e+06","1.0295279492e+08","1.0295279492e+08"
"2020-03-30 23:50:00","6.0170282609e+06","6.0170282609e+06","1.2727988957e+08","1.2727988957e+08"
"2020-03-30 23:55:00","5.5085941272e+06","5.5085941272e+06","9.6538260665e+07","9.6538260665e+07"
"2020-03-31 00:00:00","7.1028482447e+06","7.1028482447e+06","1.1789437243e+08","1.1789437243e+08"
"2020-03-31 00:05:00","9.8981958844e+06","9.8981958844e+06","7.5926565372e+07","7.5926565372e+07"
"2020-03-31 00:10:00","8.2892948609e+06","8.2892948609e+06","7.9096579824e+07","7.9096579824e+07"
"2020-03-31 00:15:00","1.0644127386e+07","1.0644127386e+07","7.9316231694e+07","7.9316231694e+07"
"2020-03-31 00:20:00","1.9337274755e+07","1.9337274755e+07","7.7456956428e+07","7.7456956428e+07"
"2020-03-31 00:25:00","2.1239032195e+07","2.1239032195e+07","6.8378283804e+07","6.8378283804e+07"
"2020-03-31 00:30:00","9.0352542522e+06","9.0352542522e+06","8.1231719510e+07","8.1231719510e+07"
"2020-03-31 00:35:00","7.5114017348e+06","7.5114017348e+06","6.5146851862e+07","6.5146851862e+07"
"2020-03-31 00:40:00","1.0386726243e+07","1.0386726243e+07","7.2349419957e+07","7.2349419957e+07"
"2020-03-31 00:45:00","1.1094972762e+07","1.1094972762e+07","6.8922985479e+07","6.8922985479e+07"
"2020-03-31 00:50:00","9.2586075202e+06","9.2586075202e+06","8.1583397374e+07","8.1583397374e+07"
"2020-03-31 00:55:00","9.9176874057e+06","9.9176874057e+06","8.1833442798e+07","8.1833442798e+07"
"2020-03-31 01:00:00","1.1111975258e+07","1.1111975258e+07","8.3832706792e+07","8.3832706792e+07"
"2020-03-31 01:05:00","1.0272197342e+07","1.0272197342e+07","1.0263369707e+08","1.0263369707e+08"
"2020-03-31 01:10:00","1.6635590014e+07","1.6635590014e+07","1.3186665059e+08","1.3186665059e+08"
"2020-03-31 01:15:00","1.0619188382e+07","1.0619188382e+07","1.0838090366e+08","1.0838090366e+08"
"2020-03-31 01:20:00","9.8680069496e+06","9.8680069496e+06","8.2724711335e+07","8.2724711335e+07"
"2020-03-31 01:25:00","1.0536703148e+07","1.0536703148e+07","6.7823733009e+07","6.7823733009e+07"
"2020-03-31 01:30:00","8.8269096080e+06","8.8269096080e+06","6.1818911710e+07","6.1818911710e+07"
"2020-03-31 01:35:00","1.0214078646e+07","1.0214078646e+07","6.3849596927e+07","6.3849596927e+07"
"2020-03-31 01:40:00","1.1351972063e+07","1.1351972063e+07","6.8910071049e+07","6.8910071049e+07"
"2020-03-31 01:45:00","1.3701834886e+07","1.3701834886e+07","6.9725633146e+07","6.9725633146e+07"
"2020-03-31 01:50:00","1.3671094643e+07","1.3671094643e+07","6.1721092429e+07","6.1721092429e+07"
"2020-03-31 01:55:00","1.7636338369e+07","1.7636338369e+07","9.1251524507e+07","9.1251524507e+07"
