"Title:","mx1.gen.ch - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-PAR | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48177"
"Host ID:","164"
"Nth Percentile:","55688031238.4","|95:bits:0:current:2|"
"Nth Percentile:","57327973443.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","2.4596374525e+10","2.4596374525e+10","5.4038841061e+10","5.4038841061e+10"
"2020-03-30 23:10:00","2.2893043224e+10","2.2893043224e+10","5.6577001126e+10","5.6577001126e+10"
"2020-03-30 23:15:00","2.6008785705e+10","2.6008785705e+10","4.7485443406e+10","4.7485443406e+10"
"2020-03-30 23:20:00","2.5530546962e+10","2.5530546962e+10","4.1515184998e+10","4.1515184998e+10"
"2020-03-30 23:25:00","2.6366451429e+10","2.6366451429e+10","3.5393370831e+10","3.5393370831e+10"
"2020-03-30 23:30:00","2.4541273310e+10","2.4541273310e+10","3.5400290290e+10","3.5400290290e+10"
"2020-03-30 23:35:00","2.4557765506e+10","2.4557765506e+10","4.4399522477e+10","4.4399522477e+10"
"2020-03-30 23:40:00","2.6323987704e+10","2.6323987704e+10","4.8677791480e+10","4.8677791480e+10"
"2020-03-30 23:45:00","2.5411006076e+10","2.5411006076e+10","4.1733588305e+10","4.1733588305e+10"
"2020-03-30 23:50:00","2.3100280825e+10","2.3100280825e+10","4.2002794021e+10","4.2002794021e+10"
"2020-03-30 23:55:00","2.6988816009e+10","2.6988816009e+10","6.0081880657e+10","6.0081880657e+10"
"2020-03-31 00:00:00","2.7796418847e+10","2.7796418847e+10","5.3141135612e+10","5.3141135612e+10"
"2020-03-31 00:05:00","2.6115815855e+10","2.6115815855e+10","5.1603364886e+10","5.1603364886e+10"
"2020-03-31 00:10:00","2.1062855734e+10","2.1062855734e+10","5.1268457341e+10","5.1268457341e+10"
"2020-03-31 00:15:00","2.1206708333e+10","2.1206708333e+10","5.0436516568e+10","5.0436516568e+10"
"2020-03-31 00:20:00","3.0296779630e+10","3.0296779630e+10","5.4386668724e+10","5.4386668724e+10"
"2020-03-31 00:25:00","2.6187561701e+10","2.6187561701e+10","4.7199837966e+10","4.7199837966e+10"
"2020-03-31 00:30:00","2.4761236215e+10","2.4761236215e+10","4.0200604787e+10","4.0200604787e+10"
"2020-03-31 00:35:00","2.3224245723e+10","2.3224245723e+10","4.3076331990e+10","4.3076331990e+10"
"2020-03-31 00:40:00","1.7712685517e+10","1.7712685517e+10","4.2481774471e+10","4.2481774471e+10"
"2020-03-31 00:45:00","2.2051326734e+10","2.2051326734e+10","4.3353015911e+10","4.3353015911e+10"
"2020-03-31 00:50:00","2.2290780303e+10","2.2290780303e+10","4.0914039505e+10","4.0914039505e+10"
"2020-03-31 00:55:00","2.7165184774e+10","2.7165184774e+10","5.2033315643e+10","5.2033315643e+10"
"2020-03-31 01:00:00","2.0992802957e+10","2.0992802957e+10","4.6129146441e+10","4.6129146441e+10"
"2020-03-31 01:05:00","2.3810428678e+10","2.3810428678e+10","4.2133961995e+10","4.2133961995e+10"
"2020-03-31 01:10:00","2.6100700187e+10","2.6100700187e+10","3.6942484917e+10","3.6942484917e+10"
"2020-03-31 01:15:00","2.5349698772e+10","2.5349698772e+10","3.1606256337e+10","3.1606256337e+10"
"2020-03-31 01:20:00","2.1402387963e+10","2.1402387963e+10","3.3741530267e+10","3.3741530267e+10"
"2020-03-31 01:25:00","2.4354901865e+10","2.4354901865e+10","3.4171234311e+10","3.4171234311e+10"
"2020-03-31 01:30:00","2.7035588689e+10","2.7035588689e+10","3.2967987110e+10","3.2967987110e+10"
"2020-03-31 01:35:00","2.0223836617e+10","2.0223836617e+10","2.9104296017e+10","2.9104296017e+10"
"2020-03-31 01:40:00","1.8183730784e+10","1.8183730784e+10","3.0265291957e+10","3.0265291957e+10"
"2020-03-31 01:45:00","1.7962243582e+10","1.7962243582e+10","3.1022888456e+10","3.1022888456e+10"
"2020-03-31 01:50:00","1.6824546641e+10","1.6824546641e+10","3.3898700485e+10","3.3898700485e+10"
"2020-03-31 01:55:00","1.9019693131e+10","1.9019693131e+10","3.6123436021e+10","3.6123436021e+10"
"2020-03-31 02:00:00","2.2361747473e+10","2.2361747473e+10","3.6905256235e+10","3.6905256235e+10"
"2020-03-31 02:05:00","2.8115393722e+10","2.8115393722e+10","3.4257303810e+10","3.4257303810e+10"
"2020-03-31 02:10:00","2.5790684115e+10","2.5790684115e+10","3.5984689974e+10","3.5984689974e+10"
"2020-03-31 02:15:00","1.9948600664e+10","1.9948600664e+10","3.7346623621e+10","3.7346623621e+10"
