"Title:","mx1.ham.de - Traffic - LAG INFRASTRUCTURE BACKBONE TAL SRF9930557 | ham-tal"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20497"
"Host ID:","231"
"Nth Percentile:","7902632930.48","|95:bits:0:current:2|"
"Nth Percentile:","13126959476","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","2.5028495299e+09","2.5028495299e+09","2.5696897414e+09","2.5696897414e+09"
"2020-03-30 23:10:00","3.0007260732e+09","3.0007260732e+09","2.5129581087e+09","2.5129581087e+09"
"2020-03-30 23:15:00","2.0364421704e+09","2.0364421704e+09","3.8675883947e+09","3.8675883947e+09"
"2020-03-30 23:20:00","2.2576103008e+09","2.2576103008e+09","2.3149522809e+09","2.3149522809e+09"
"2020-03-30 23:25:00","1.9310170374e+09","1.9310170374e+09","2.2203725985e+09","2.2203725985e+09"
"2020-03-30 23:30:00","1.8065362393e+09","1.8065362393e+09","4.8520439210e+09","4.8520439210e+09"
"2020-03-30 23:35:00","1.6366285142e+09","1.6366285142e+09","2.4388238069e+09","2.4388238069e+09"
"2020-03-30 23:40:00","2.1254639783e+09","2.1254639783e+09","2.2073718050e+09","2.2073718050e+09"
"2020-03-30 23:45:00","1.8785506690e+09","1.8785506690e+09","2.4341671379e+09","2.4341671379e+09"
"2020-03-30 23:50:00","1.7453151815e+09","1.7453151815e+09","2.3126897607e+09","2.3126897607e+09"
"2020-03-30 23:55:00","2.1700857230e+09","2.1700857230e+09","2.0633778525e+09","2.0633778525e+09"
"2020-03-31 00:00:00","3.2398004164e+09","3.2398004164e+09","4.2418787251e+09","4.2418787251e+09"
"2020-03-31 00:05:00","2.2812504997e+09","2.2812504997e+09","4.0803767335e+09","4.0803767335e+09"
"2020-03-31 00:10:00","2.6065377457e+09","2.6065377457e+09","9.3032385774e+09","9.3032385774e+09"
"2020-03-31 00:15:00","1.7635385770e+09","1.7635385770e+09","1.0283446272e+10","1.0283446272e+10"
"2020-03-31 00:20:00","1.5547028771e+09","1.5547028771e+09","9.4722792524e+09","9.4722792524e+09"
"2020-03-31 00:25:00","2.4327022634e+09","2.4327022634e+09","9.8061014941e+09","9.8061014941e+09"
"2020-03-31 00:30:00","3.6900702812e+09","3.6900702812e+09","1.0753945791e+10","1.0753945791e+10"
"2020-03-31 00:35:00","5.2680220622e+09","5.2680220622e+09","1.2393112375e+10","1.2393112375e+10"
"2020-03-31 00:40:00","3.3940190250e+09","3.3940190250e+09","1.2842532750e+10","1.2842532750e+10"
"2020-03-31 00:45:00","2.5790517952e+09","2.5790517952e+09","1.3283902197e+10","1.3283902197e+10"
"2020-03-31 00:50:00","7.0686385866e+09","7.0686385866e+09","1.2453497079e+10","1.2453497079e+10"
"2020-03-31 00:55:00","1.2378826764e+10","1.2378826764e+10","1.1686844891e+10","1.1686844891e+10"
"2020-03-31 01:00:00","1.1765120768e+10","1.1765120768e+10","1.3318473052e+10","1.3318473052e+10"
"2020-03-31 01:05:00","2.4329701808e+09","2.4329701808e+09","1.3285388108e+10","1.3285388108e+10"
"2020-03-31 01:10:00","1.8191506812e+09","1.8191506812e+09","1.2903184643e+10","1.2903184643e+10"
"2020-03-31 01:15:00","1.8811152073e+09","1.8811152073e+09","1.2752154852e+10","1.2752154852e+10"
"2020-03-31 01:20:00","2.7899780787e+09","2.7899780787e+09","1.2985001690e+10","1.2985001690e+10"
"2020-03-31 01:25:00","2.8064260701e+09","2.8064260701e+09","1.3867712155e+10","1.3867712155e+10"
"2020-03-31 01:30:00","2.3251107319e+09","2.3251107319e+09","1.3382978833e+10","1.3382978833e+10"
"2020-03-31 01:35:00","5.6504301056e+09","5.6504301056e+09","1.3008478516e+10","1.3008478516e+10"
"2020-03-31 01:40:00","2.2196019133e+09","2.2196019133e+09","1.1772881957e+10","1.1772881957e+10"
"2020-03-31 01:45:00","1.7274555706e+09","1.7274555706e+09","1.1159910552e+10","1.1159910552e+10"
"2020-03-31 01:50:00","2.1675008244e+09","2.1675008244e+09","1.1768791214e+10","1.1768791214e+10"
"2020-03-31 01:55:00","2.0967080065e+09","2.0967080065e+09","1.1547827139e+10","1.1547827139e+10"
"2020-03-31 02:00:00","2.0629200249e+09","2.0629200249e+09","1.0739049500e+10","1.0739049500e+10"
"2020-03-31 02:05:00","2.3618083946e+09","2.3618083946e+09","1.1049209207e+10","1.1049209207e+10"
"2020-03-31 02:10:00","2.1114644339e+09","2.1114644339e+09","1.2221654856e+10","1.2221654856e+10"
"2020-03-31 02:15:00","1.7409486819e+09","1.7409486819e+09","1.2399695832e+10","1.2399695832e+10"
"2020-03-31 02:20:00","1.8355400457e+09","1.8355400457e+09","1.2501922367e+10","1.2501922367e+10"
"2020-03-31 02:25:00","2.5111675467e+09","2.5111675467e+09","1.2067948600e+10","1.2067948600e+10"
"2020-03-31 02:30:00","2.3506577770e+09","2.3506577770e+09","1.1621903124e+10","1.1621903124e+10"
"2020-03-31 02:35:00","3.2776810810e+09","3.2776810810e+09","1.0601281469e+10","1.0601281469e+10"
"2020-03-31 02:40:00","3.2447528259e+09","3.2447528259e+09","9.6574501897e+09","9.6574501897e+09"
"2020-03-31 02:45:00","3.0564626394e+09","3.0564626394e+09","6.8569551304e+09","6.8569551304e+09"
"2020-03-31 02:50:00","3.2773385039e+09","3.2773385039e+09","6.3350563675e+09","6.3350563675e+09"
"2020-03-31 02:55:00","5.0734712098e+09","5.0734712098e+09","9.5573518478e+09","9.5573518478e+09"
"2020-03-31 03:00:00","7.3354103228e+09","7.3354103228e+09","8.5160028556e+09","8.5160028556e+09"
"2020-03-31 03:05:00","3.7156066850e+09","3.7156066850e+09","8.0223381184e+09","8.0223381184e+09"
"2020-03-31 03:10:00","2.8045983667e+09","2.8045983667e+09","9.3288221189e+09","9.3288221189e+09"
"2020-03-31 03:15:00","3.4228662743e+09","3.4228662743e+09","8.8883196765e+09","8.8883196765e+09"
"2020-03-31 03:20:00","4.3092206713e+09","4.3092206713e+09","8.8305556577e+09","8.8305556577e+09"
"2020-03-31 03:25:00","6.5831617171e+09","6.5831617171e+09","8.7747148845e+09","8.7747148845e+09"
"2020-03-31 03:30:00","7.4136206507e+09","7.4136206507e+09","1.0567898040e+10","1.0567898040e+10"
"2020-03-31 03:35:00","8.5316364351e+09","8.5316364351e+09","1.0598287461e+10","1.0598287461e+10"
"2020-03-31 03:40:00","8.6808426926e+09","8.6808426926e+09","1.1603737806e+10","1.1603737806e+10"
"2020-03-31 03:45:00","9.3562996278e+09","9.3562996278e+09","1.3126959476e+10","1.3126959476e+10"
"2020-03-31 03:50:00","7.4425354514e+09","7.4425354514e+09","1.6221384658e+10","1.6221384658e+10"
"2020-03-31 03:55:00","4.8390870471e+09","4.8390870471e+09","1.5287454002e+10","1.5287454002e+10"
"2020-03-31 04:00:00","4.1308571362e+09","4.1308571362e+09","9.8104270398e+09","9.8104270398e+09"
"2020-03-31 04:05:00","4.6340438480e+09","4.6340438480e+09","7.2080264915e+09","7.2080264915e+09"
"2020-03-31 04:10:00","5.1296754555e+09","5.1296754555e+09","1.0006393285e+10","1.0006393285e+10"
"2020-03-31 04:15:00","3.8950395867e+09","3.8950395867e+09","1.0192667865e+10","1.0192667865e+10"
"2020-03-31 04:20:00","2.6090330986e+09","2.6090330986e+09","9.5317135849e+09","9.5317135849e+09"
"2020-03-31 04:25:00","2.7117483659e+09","2.7117483659e+09","9.6725170221e+09","9.6725170221e+09"
"2020-03-31 04:30:00","3.5854040059e+09","3.5854040059e+09","9.8986204493e+09","9.8986204493e+09"
"2020-03-31 04:35:00","4.1758818949e+09","4.1758818949e+09","9.6182919713e+09","9.6182919713e+09"
"2020-03-31 04:40:00","4.6388055749e+09","4.6388055749e+09","8.7441820271e+09","8.7441820271e+09"
"2020-03-31 04:45:00","4.2315252322e+09","4.2315252322e+09","8.5165321132e+09","8.5165321132e+09"
"2020-03-31 04:50:00","4.2744306696e+09","4.2744306696e+09","7.1665656858e+09","7.1665656858e+09"
"2020-03-31 04:55:00","3.5483498628e+09","3.5483498628e+09","5.3813324811e+09","5.3813324811e+09"
"2020-03-31 05:00:00","2.6334380161e+09","2.6334380161e+09","5.6406113417e+09","5.6406113417e+09"
"2020-03-31 05:05:00","2.4110025059e+09","2.4110025059e+09","9.2506429479e+09","9.2506429479e+09"
"2020-03-31 05:10:00","4.3012076551e+09","4.3012076551e+09","7.1267321212e+09","7.1267321212e+09"
"2020-03-31 05:15:00","5.4829272937e+09","5.4829272937e+09","3.6561461610e+09","3.6561461610e+09"
"2020-03-31 05:20:00","6.6347315835e+09","6.6347315835e+09","3.2506855301e+09","3.2506855301e+09"
"2020-03-31 05:25:00","6.9690541329e+09","6.9690541329e+09","3.4083887033e+09","3.4083887033e+09"
"2020-03-31 05:30:00","6.7290447575e+09","6.7290447575e+09","3.5551994760e+09","3.5551994760e+09"
"2020-03-31 05:35:00","5.5609839174e+09","5.5609839174e+09","5.7220358839e+09","5.7220358839e+09"
"2020-03-31 05:40:00","7.0074831874e+09","7.0074831874e+09","6.1979567761e+09","6.1979567761e+09"
"2020-03-31 05:45:00","5.9262610037e+09","5.9262610037e+09","5.9159055585e+09","5.9159055585e+09"
"2020-03-31 05:50:00","5.3185867036e+09","5.3185867036e+09","5.4523894045e+09","5.4523894045e+09"
"2020-03-31 05:55:00","5.1282452622e+09","5.1282452622e+09","7.1073452465e+09","7.1073452465e+09"
"2020-03-31 06:00:00","5.9390651313e+09","5.9390651313e+09","1.5366731304e+10","1.5366731304e+10"
"2020-03-31 06:05:00","4.1838377020e+09","4.1838377020e+09","1.5335471876e+10","1.5335471876e+10"
"2020-03-31 06:10:00","5.1330865656e+09","5.1330865656e+09","1.7215271635e+10","1.7215271635e+10"
"2020-03-31 06:15:00","5.1994625152e+09","5.1994625152e+09","1.7721752699e+10","1.7721752699e+10"
"2020-03-31 06:20:00","3.9054147287e+09","3.9054147287e+09","1.8157912800e+10","1.8157912800e+10"
"2020-03-31 06:25:00","2.6750980313e+09","2.6750980313e+09","1.9787235607e+10","1.9787235607e+10"
"2020-03-31 06:30:00","3.7972246965e+09","3.7972246965e+09","1.8674928344e+10","1.8674928344e+10"
"2020-03-31 06:35:00","4.0597374826e+09","4.0597374826e+09","1.8786988075e+10","1.8786988075e+10"
"2020-03-31 06:40:00","6.0201723435e+09","6.0201723435e+09","1.3105807532e+10","1.3105807532e+10"
"2020-03-31 06:45:00","1.2083296374e+10","1.2083296374e+10","1.0631612092e+10","1.0631612092e+10"
"2020-03-31 06:50:00","1.1051836063e+10","1.1051836063e+10","8.3688009694e+09","8.3688009694e+09"
"2020-03-31 06:55:00","6.2992305032e+09","6.2992305032e+09","5.9068717797e+09","5.9068717797e+09"
"2020-03-31 07:00:00","6.1486503877e+09","6.1486503877e+09","8.3712272033e+09","8.3712272033e+09"
"2020-03-31 07:05:00","7.9026329305e+09","7.9026329305e+09","5.7752709450e+09","5.7752709450e+09"
"2020-03-31 07:10:00","3.4060278567e+09","3.4060278567e+09","4.3513304192e+09","4.3513304192e+09"
"2020-03-31 07:15:00","1.8795117616e+09","1.8795117616e+09","6.1618569246e+09","6.1618569246e+09"
"2020-03-31 07:20:00","1.7698482665e+09","1.7698482665e+09","5.7621193022e+09","5.7621193022e+09"
"2020-03-31 07:25:00","2.1671567640e+09","2.1671567640e+09","4.7092558608e+09","4.7092558608e+09"
"2020-03-31 07:30:00","2.0208949570e+09","2.0208949570e+09","4.4466896450e+09","4.4466896450e+09"
"2020-03-31 07:35:00","1.7236307535e+09","1.7236307535e+09","4.4573206008e+09","4.4573206008e+09"
"2020-03-31 07:40:00","1.5698243470e+09","1.5698243470e+09","4.1401693180e+09","4.1401693180e+09"
"2020-03-31 07:45:00","1.2397285965e+09","1.2397285965e+09","4.4099952585e+09","4.4099952585e+09"
"2020-03-31 07:50:00","1.2367053028e+09","1.2367053028e+09","5.5213630363e+09","5.5213630363e+09"
"2020-03-31 07:55:00","2.4456118460e+09","2.4456118460e+09","7.6989539310e+09","7.6989539310e+09"
"2020-03-31 08:00:00","2.4455310842e+09","2.4455310842e+09","9.3522091006e+09","9.3522091006e+09"
"2020-03-31 08:05:00","1.4292919315e+09","1.4292919315e+09","1.0665119453e+10","1.0665119453e+10"
"2020-03-31 08:10:00","1.0070986943e+09","1.0070986943e+09","1.0379165691e+10","1.0379165691e+10"
"2020-03-31 08:15:00","1.1801271945e+09","1.1801271945e+09","1.0754770978e+10","1.0754770978e+10"
"2020-03-31 08:20:00","1.2424569850e+09","1.2424569850e+09","1.0566052889e+10","1.0566052889e+10"
"2020-03-31 08:25:00","1.2530240601e+09","1.2530240601e+09","1.0402490897e+10","1.0402490897e+10"
"2020-03-31 08:30:00","1.1656170478e+09","1.1656170478e+09","1.0790616766e+10","1.0790616766e+10"
"2020-03-31 08:35:00","1.1781074688e+09","1.1781074688e+09","1.0455541479e+10","1.0455541479e+10"
"2020-03-31 08:40:00","1.0405999226e+09","1.0405999226e+09","3.1294157833e+09","3.1294157833e+09"
"2020-03-31 08:45:00","1.3601402673e+09","1.3601402673e+09","3.6603364128e+09","3.6603364128e+09"
"2020-03-31 08:50:00","4.1083451024e+09","4.1083451024e+09","6.6090965903e+09","6.6090965903e+09"
"2020-03-31 08:55:00","5.0874654190e+09","5.0874654190e+09","7.3998895164e+09","7.3998895164e+09"
"2020-03-31 09:00:00","4.6446127131e+09","4.6446127131e+09","7.1529330881e+09","7.1529330881e+09"
"2020-03-31 09:05:00","6.3590590224e+09","6.3590590224e+09","7.1361803425e+09","7.1361803425e+09"
"2020-03-31 09:10:00","7.0679743338e+09","7.0679743338e+09","8.2584896994e+09","8.2584896994e+09"
"2020-03-31 09:15:00","6.8653809098e+09","6.8653809098e+09","9.3357642719e+09","9.3357642719e+09"
"2020-03-31 09:20:00","6.6062609973e+09","6.6062609973e+09","1.2022782021e+10","1.2022782021e+10"
"2020-03-31 09:25:00","3.4989884793e+09","3.4989884793e+09","1.0814144585e+10","1.0814144585e+10"
"2020-03-31 09:30:00","5.2485534855e+09","5.2485534855e+09","1.2055877099e+10","1.2055877099e+10"
"2020-03-31 09:35:00","7.0994471446e+09","7.0994471446e+09","1.2210410307e+10","1.2210410307e+10"
"2020-03-31 09:40:00","3.1734309908e+09","3.1734309908e+09","1.2607296755e+10","1.2607296755e+10"
"2020-03-31 09:45:00","2.4035790205e+09","2.4035790205e+09","1.2713098700e+10","1.2713098700e+10"
"2020-03-31 09:50:00","2.0999849676e+09","2.0999849676e+09","1.0490516951e+10","1.0490516951e+10"
"2020-03-31 09:55:00","2.2552235976e+09","2.2552235976e+09","5.0781691200e+09","5.0781691200e+09"
"2020-03-31 10:00:00","2.7129194552e+09","2.7129194552e+09","4.1731287519e+09","4.1731287519e+09"
"2020-03-31 10:05:00","1.3391468633e+09","1.3391468633e+09","3.6040400873e+09","3.6040400873e+09"
"2020-03-31 10:10:00","1.7525344460e+09","1.7525344460e+09","3.5779294225e+09","3.5779294225e+09"
"2020-03-31 10:15:00","2.2858101785e+09","2.2858101785e+09","3.7982616919e+09","3.7982616919e+09"
