"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","29725552672","|95:bits:0:current:2|"
"Nth Percentile:","18841841120","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","2.3678847614e+10","2.3678847614e+10","1.2632527150e+10","1.2632527150e+10"
"2020-03-30 23:10:00","1.7728179954e+10","1.7728179954e+10","1.5515303657e+10","1.5515303657e+10"
"2020-03-30 23:15:00","1.6931614127e+10","1.6931614127e+10","1.4807178288e+10","1.4807178288e+10"
"2020-03-30 23:20:00","1.5944171654e+10","1.5944171654e+10","1.2353951934e+10","1.2353951934e+10"
"2020-03-30 23:25:00","1.2391374236e+10","1.2391374236e+10","1.2700454558e+10","1.2700454558e+10"
"2020-03-30 23:30:00","1.5794510089e+10","1.5794510089e+10","1.2762279144e+10","1.2762279144e+10"
"2020-03-30 23:35:00","1.3137469579e+10","1.3137469579e+10","1.1910176886e+10","1.1910176886e+10"
"2020-03-30 23:40:00","1.3518039854e+10","1.3518039854e+10","1.1777762805e+10","1.1777762805e+10"
"2020-03-30 23:45:00","1.3534687215e+10","1.3534687215e+10","1.2367439659e+10","1.2367439659e+10"
"2020-03-30 23:50:00","1.0610011548e+10","1.0610011548e+10","1.4308405930e+10","1.4308405930e+10"
"2020-03-30 23:55:00","1.5944297806e+10","1.5944297806e+10","1.3075475297e+10","1.3075475297e+10"
"2020-03-31 00:00:00","1.8645048947e+10","1.8645048947e+10","1.2876949459e+10","1.2876949459e+10"
"2020-03-31 00:05:00","1.3608052599e+10","1.3608052599e+10","1.1355423863e+10","1.1355423863e+10"
"2020-03-31 00:10:00","1.8374528314e+10","1.8374528314e+10","1.3904507162e+10","1.3904507162e+10"
"2020-03-31 00:15:00","2.0605017078e+10","2.0605017078e+10","1.3147396829e+10","1.3147396829e+10"
"2020-03-31 00:20:00","1.8829369207e+10","1.8829369207e+10","1.2058571951e+10","1.2058571951e+10"
"2020-03-31 00:25:00","2.1964666379e+10","2.1964666379e+10","1.2168146871e+10","1.2168146871e+10"
"2020-03-31 00:30:00","2.0763968111e+10","2.0763968111e+10","1.1765058860e+10","1.1765058860e+10"
"2020-03-31 00:35:00","2.0388283035e+10","2.0388283035e+10","1.0713142057e+10","1.0713142057e+10"
"2020-03-31 00:40:00","1.9976313369e+10","1.9976313369e+10","9.0447674872e+09","9.0447674872e+09"
"2020-03-31 00:45:00","2.2891472973e+10","2.2891472973e+10","9.1383328468e+09","9.1383328468e+09"
"2020-03-31 00:50:00","1.9909973382e+10","1.9909973382e+10","9.1188053500e+09","9.1188053500e+09"
"2020-03-31 00:55:00","1.9133352487e+10","1.9133352487e+10","1.0474643638e+10","1.0474643638e+10"
"2020-03-31 01:00:00","2.0896659097e+10","2.0896659097e+10","1.0043298768e+10","1.0043298768e+10"
"2020-03-31 01:05:00","1.9267234093e+10","1.9267234093e+10","9.2148443007e+09","9.2148443007e+09"
"2020-03-31 01:10:00","1.9738071789e+10","1.9738071789e+10","9.0079988163e+09","9.0079988163e+09"
"2020-03-31 01:15:00","2.0620978661e+10","2.0620978661e+10","9.9361925685e+09","9.9361925685e+09"
"2020-03-31 01:20:00","2.1794054085e+10","2.1794054085e+10","1.0270995718e+10","1.0270995718e+10"
"2020-03-31 01:25:00","2.2806699704e+10","2.2806699704e+10","9.2891742199e+09","9.2891742199e+09"
"2020-03-31 01:30:00","2.0139827745e+10","2.0139827745e+10","9.8422711473e+09","9.8422711473e+09"
"2020-03-31 01:35:00","1.9299654089e+10","1.9299654089e+10","8.7639373328e+09","8.7639373328e+09"
"2020-03-31 01:40:00","1.8741537734e+10","1.8741537734e+10","8.5104608420e+09","8.5104608420e+09"
"2020-03-31 01:45:00","1.7468783920e+10","1.7468783920e+10","7.9872258280e+09","7.9872258280e+09"
"2020-03-31 01:50:00","1.8179524421e+10","1.8179524421e+10","9.5252647341e+09","9.5252647341e+09"
"2020-03-31 01:55:00","1.7631689665e+10","1.7631689665e+10","9.3062134687e+09","9.3062134687e+09"
"2020-03-31 02:00:00","1.9810789962e+10","1.9810789962e+10","9.7914486342e+09","9.7914486342e+09"
"2020-03-31 02:05:00","1.8131364597e+10","1.8131364597e+10","7.9773869308e+09","7.9773869308e+09"
"2020-03-31 02:10:00","1.6707278705e+10","1.6707278705e+10","8.3971113536e+09","8.3971113536e+09"
"2020-03-31 02:15:00","1.6893164513e+10","1.6893164513e+10","9.0094488359e+09","9.0094488359e+09"
"2020-03-31 02:20:00","1.8444058880e+10","1.8444058880e+10","9.1168281406e+09","9.1168281406e+09"
"2020-03-31 02:25:00","1.9078076323e+10","1.9078076323e+10","1.0516284623e+10","1.0516284623e+10"
"2020-03-31 02:30:00","1.6650055808e+10","1.6650055808e+10","1.1041917412e+10","1.1041917412e+10"
"2020-03-31 02:35:00","1.6149525731e+10","1.6149525731e+10","1.2717194235e+10","1.2717194235e+10"
"2020-03-31 02:40:00","1.5130040951e+10","1.5130040951e+10","1.6358876420e+10","1.6358876420e+10"
"2020-03-31 02:45:00","1.1263479755e+10","1.1263479755e+10","1.4963541071e+10","1.4963541071e+10"
"2020-03-31 02:50:00","1.4742422371e+10","1.4742422371e+10","1.4936404600e+10","1.4936404600e+10"
"2020-03-31 02:55:00","1.9995903603e+10","1.9995903603e+10","1.7915684260e+10","1.7915684260e+10"
"2020-03-31 03:00:00","1.6492628413e+10","1.6492628413e+10","1.5935536287e+10","1.5935536287e+10"
"2020-03-31 03:05:00","1.8339158448e+10","1.8339158448e+10","1.5328142716e+10","1.5328142716e+10"
"2020-03-31 03:10:00","1.8210740383e+10","1.8210740383e+10","1.6518580121e+10","1.6518580121e+10"
"2020-03-31 03:15:00","1.7811513844e+10","1.7811513844e+10","1.6895641574e+10","1.6895641574e+10"
"2020-03-31 03:20:00","1.6906774237e+10","1.6906774237e+10","1.8076079767e+10","1.8076079767e+10"
"2020-03-31 03:25:00","1.8640303707e+10","1.8640303707e+10","1.8769778637e+10","1.8769778637e+10"
"2020-03-31 03:30:00","1.8698377200e+10","1.8698377200e+10","1.6940832680e+10","1.6940832680e+10"
"2020-03-31 03:35:00","1.9251404913e+10","1.9251404913e+10","1.7799837283e+10","1.7799837283e+10"
"2020-03-31 03:40:00","1.9112907083e+10","1.9112907083e+10","1.7858150450e+10","1.7858150450e+10"
"2020-03-31 03:45:00","2.1150347453e+10","2.1150347453e+10","1.7957974793e+10","1.7957974793e+10"
"2020-03-31 03:50:00","2.3778915425e+10","2.3778915425e+10","1.8986105595e+10","1.8986105595e+10"
"2020-03-31 03:55:00","2.3009239703e+10","2.3009239703e+10","1.8931599822e+10","1.8931599822e+10"
"2020-03-31 04:00:00","1.9453816200e+10","1.9453816200e+10","1.8824193697e+10","1.8824193697e+10"
"2020-03-31 04:05:00","1.7653384776e+10","1.7653384776e+10","1.7957054561e+10","1.7957054561e+10"
"2020-03-31 04:10:00","1.8736315897e+10","1.8736315897e+10","1.8265190236e+10","1.8265190236e+10"
