"Title:","mx1.kau.lt - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE KAU SRF0000001 | kau-kau"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","12697"
"Host ID:","131"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","1.5140402409e+06","1.5140402409e+06","4.4980455467e+06","4.4980455467e+06"
"2020-03-30 23:10:00","1.3676663506e+06","1.3676663506e+06","1.4454959584e+06","1.4454959584e+06"
"2020-03-30 23:15:00","1.3669850296e+06","1.3669850296e+06","1.4111312920e+06","1.4111312920e+06"
"2020-03-30 23:20:00","1.4005024424e+06","1.4005024424e+06","1.5762302401e+06","1.5762302401e+06"
"2020-03-30 23:25:00","1.3876378577e+06","1.3876378577e+06","2.9031107793e+06","2.9031107793e+06"
"2020-03-30 23:30:00","1.3726440534e+06","1.3726440534e+06","1.4206800452e+06","1.4206800452e+06"
"2020-03-30 23:35:00","1.3899675214e+06","1.3899675214e+06","1.4291932962e+06","1.4291932962e+06"
"2020-03-30 23:40:00","1.3997894783e+06","1.3997894783e+06","1.6684473301e+06","1.6684473301e+06"
"2020-03-30 23:45:00","1.6361776732e+06","1.6361776732e+06","1.4240631607e+06","1.4240631607e+06"
"2020-03-30 23:50:00","1.4214242713e+06","1.4214242713e+06","1.5073496972e+06","1.5073496972e+06"
"2020-03-30 23:55:00","1.4008619374e+06","1.4008619374e+06","2.8633326379e+06","2.8633326379e+06"
"2020-03-31 00:00:00","1.3762812507e+06","1.3762812507e+06","1.5204091211e+06","1.5204091211e+06"
"2020-03-31 00:05:00","8.9663074898e+07","8.9663074898e+07","4.9725997353e+06","4.9725997353e+06"
"2020-03-31 00:10:00","1.6727688388e+06","1.6727688388e+06","6.6544747455e+06","6.6544747455e+06"
"2020-03-31 00:15:00","1.3663820699e+06","1.3663820699e+06","8.6870231588e+06","8.6870231588e+06"
"2020-03-31 00:20:00","1.3801931359e+06","1.3801931359e+06","8.4185243956e+06","8.4185243956e+06"
"2020-03-31 00:25:00","1.3588718103e+06","1.3588718103e+06","4.2196722247e+06","4.2196722247e+06"
"2020-03-31 00:30:00","1.4971127787e+06","1.4971127787e+06","1.4965319251e+06","1.4965319251e+06"
"2020-03-31 00:35:00","1.3772975801e+06","1.3772975801e+06","1.4191573369e+06","1.4191573369e+06"
"2020-03-31 00:40:00","3.0493231523e+07","3.0493231523e+07","1.5559756923e+06","1.5559756923e+06"
"2020-03-31 00:45:00","8.3195721539e+07","8.3195721539e+07","1.8010908543e+06","1.8010908543e+06"
"2020-03-31 00:50:00","1.9686775857e+07","1.9686775857e+07","2.0777674747e+06","2.0777674747e+06"
"2020-03-31 00:55:00","1.4836792416e+07","1.4836792416e+07","2.6291262433e+06","2.6291262433e+06"
