"Title:","mx2.ath.gr - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE MIL SRF0000001 | ath-mil"
"Vertical Label:","bits per second"
"Start Date:","2020-03-30 23:05:00"
"End Date:","2020-04-01 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47977"
"Host ID:","188"
"Nth Percentile:","6426727478","|95:bits:0:current:2|"
"Nth Percentile:","8275307161.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-30 23:05:00","6.2952281420e+09","6.2952281420e+09","7.0045145419e+09","7.0045145419e+09"
"2020-03-30 23:10:00","4.8251204466e+09","4.8251204466e+09","7.9174427547e+09","7.9174427547e+09"
"2020-03-30 23:15:00","4.6968744596e+09","4.6968744596e+09","6.5859795756e+09","6.5859795756e+09"
"2020-03-30 23:20:00","5.2627290082e+09","5.2627290082e+09","7.5778922440e+09","7.5778922440e+09"
"2020-03-30 23:25:00","5.3335011853e+09","5.3335011853e+09","5.1840783680e+09","5.1840783680e+09"
"2020-03-30 23:30:00","5.4036551461e+09","5.4036551461e+09","5.7891092646e+09","5.7891092646e+09"
"2020-03-30 23:35:00","4.3834170486e+09","4.3834170486e+09","5.3857284263e+09","5.3857284263e+09"
"2020-03-30 23:40:00","4.0354097137e+09","4.0354097137e+09","6.0111503247e+09","6.0111503247e+09"
"2020-03-30 23:45:00","4.2175345028e+09","4.2175345028e+09","5.3123323136e+09","5.3123323136e+09"
"2020-03-30 23:50:00","5.0627014090e+09","5.0627014090e+09","5.4761852162e+09","5.4761852162e+09"
"2020-03-30 23:55:00","5.1051821295e+09","5.1051821295e+09","5.7908812784e+09","5.7908812784e+09"
"2020-03-31 00:00:00","4.1683859541e+09","4.1683859541e+09","6.1741708567e+09","6.1741708567e+09"
"2020-03-31 00:05:00","4.6470094655e+09","4.6470094655e+09","5.9517136394e+09","5.9517136394e+09"
"2020-03-31 00:10:00","4.6205972736e+09","4.6205972736e+09","7.2747539798e+09","7.2747539798e+09"
"2020-03-31 00:15:00","4.4800562743e+09","4.4800562743e+09","4.8532794414e+09","4.8532794414e+09"
"2020-03-31 00:20:00","4.6519006280e+09","4.6519006280e+09","5.2825453053e+09","5.2825453053e+09"
"2020-03-31 00:25:00","4.8464107348e+09","4.8464107348e+09","4.8798076082e+09","4.8798076082e+09"
"2020-03-31 00:30:00","4.9811267311e+09","4.9811267311e+09","3.7050067223e+09","3.7050067223e+09"
"2020-03-31 00:35:00","3.9228920088e+09","3.9228920088e+09","4.3632626777e+09","4.3632626777e+09"
"2020-03-31 00:40:00","3.7156130237e+09","3.7156130237e+09","5.8556080645e+09","5.8556080645e+09"
"2020-03-31 00:45:00","3.3157485313e+09","3.3157485313e+09","5.1959769426e+09","5.1959769426e+09"
"2020-03-31 00:50:00","3.8007566765e+09","3.8007566765e+09","7.0845884415e+09","7.0845884415e+09"
"2020-03-31 00:55:00","2.7239835632e+09","2.7239835632e+09","6.6156092854e+09","6.6156092854e+09"
"2020-03-31 01:00:00","3.4411236299e+09","3.4411236299e+09","4.7441610241e+09","4.7441610241e+09"
"2020-03-31 01:05:00","4.1118543322e+09","4.1118543322e+09","4.0133418064e+09","4.0133418064e+09"
"2020-03-31 01:10:00","3.1115636972e+09","3.1115636972e+09","4.3547124409e+09","4.3547124409e+09"
"2020-03-31 01:15:00","3.6478896053e+09","3.6478896053e+09","4.6045584797e+09","4.6045584797e+09"
"2020-03-31 01:20:00","3.6952275520e+09","3.6952275520e+09","4.4440297986e+09","4.4440297986e+09"
"2020-03-31 01:25:00","4.6606966794e+09","4.6606966794e+09","3.5805814644e+09","3.5805814644e+09"
"2020-03-31 01:30:00","3.1679037379e+09","3.1679037379e+09","3.1803475264e+09","3.1803475264e+09"
"2020-03-31 01:35:00","3.8689198667e+09","3.8689198667e+09","4.1799347072e+09","4.1799347072e+09"
"2020-03-31 01:40:00","3.2056154119e+09","3.2056154119e+09","4.6924738867e+09","4.6924738867e+09"
"2020-03-31 01:45:00","3.4596259859e+09","3.4596259859e+09","3.9098862718e+09","3.9098862718e+09"
"2020-03-31 01:50:00","3.3953986986e+09","3.3953986986e+09","4.3114377205e+09","4.3114377205e+09"
"2020-03-31 01:55:00","4.3981280718e+09","4.3981280718e+09","4.6512769372e+09","4.6512769372e+09"
"2020-03-31 02:00:00","4.4900838780e+09","4.4900838780e+09","5.0987398116e+09","5.0987398116e+09"
"2020-03-31 02:05:00","4.1144507961e+09","4.1144507961e+09","3.6963903114e+09","3.6963903114e+09"
"2020-03-31 02:10:00","3.9003798656e+09","3.9003798656e+09","3.3362073303e+09","3.3362073303e+09"
"2020-03-31 02:15:00","4.2642446551e+09","4.2642446551e+09","3.5176412926e+09","3.5176412926e+09"
"2020-03-31 02:20:00","4.0401258237e+09","4.0401258237e+09","4.4242098892e+09","4.4242098892e+09"
"2020-03-31 02:25:00","3.7115117647e+09","3.7115117647e+09","4.2637847180e+09","4.2637847180e+09"
"2020-03-31 02:30:00","3.5248002476e+09","3.5248002476e+09","3.9228107699e+09","3.9228107699e+09"
"2020-03-31 02:35:00","3.3617208109e+09","3.3617208109e+09","4.1171607024e+09","4.1171607024e+09"
"2020-03-31 02:40:00","3.5527212612e+09","3.5527212612e+09","4.4358527490e+09","4.4358527490e+09"
"2020-03-31 02:45:00","4.2697886349e+09","4.2697886349e+09","4.3396503894e+09","4.3396503894e+09"
"2020-03-31 02:50:00","3.3829484993e+09","3.3829484993e+09","5.3626003450e+09","5.3626003450e+09"
"2020-03-31 02:55:00","2.9383166652e+09","2.9383166652e+09","5.1297916340e+09","5.1297916340e+09"
"2020-03-31 03:00:00","3.3712901012e+09","3.3712901012e+09","5.0650249262e+09","5.0650249262e+09"
"2020-03-31 03:05:00","4.6301379868e+09","4.6301379868e+09","4.4049171112e+09","4.4049171112e+09"
"2020-03-31 03:10:00","3.4659626281e+09","3.4659626281e+09","4.5082316146e+09","4.5082316146e+09"
"2020-03-31 03:15:00","3.5741560333e+09","3.5741560333e+09","4.6523549567e+09","4.6523549567e+09"
"2020-03-31 03:20:00","3.7294242600e+09","3.7294242600e+09","6.3956268241e+09","6.3956268241e+09"
"2020-03-31 03:25:00","2.7936846904e+09","2.7936846904e+09","6.7368519358e+09","6.7368519358e+09"
"2020-03-31 03:30:00","3.3771669554e+09","3.3771669554e+09","5.3224577666e+09","5.3224577666e+09"
"2020-03-31 03:35:00","3.4117042288e+09","3.4117042288e+09","5.6887974115e+09","5.6887974115e+09"
"2020-03-31 03:40:00","3.7181112660e+09","3.7181112660e+09","5.3004636404e+09","5.3004636404e+09"
"2020-03-31 03:45:00","3.4354463065e+09","3.4354463065e+09","5.0207698640e+09","5.0207698640e+09"
"2020-03-31 03:50:00","3.9053813339e+09","3.9053813339e+09","4.9621459100e+09","4.9621459100e+09"
"2020-03-31 03:55:00","3.5091617286e+09","3.5091617286e+09","6.1154447964e+09","6.1154447964e+09"
