"Title:","mx1.ams.nl - Traffic - ae7 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-fra | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48423"
"Host ID:","175"
"Nth Percentile:","70145449640","|95:bits:0:current:2|"
"Nth Percentile:","84174967944","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","4.4131215675e+10","4.4131215675e+10","6.2483464679e+10","6.2483464679e+10"
"2020-03-31 23:10:00","4.3409997088e+10","4.3409997088e+10","5.8508768145e+10","5.8508768145e+10"
"2020-03-31 23:15:00","5.5075690758e+10","5.5075690758e+10","7.7935638032e+10","7.7935638032e+10"
"2020-03-31 23:20:00","5.4390657115e+10","5.4390657115e+10","7.5158461892e+10","7.5158461892e+10"
"2020-03-31 23:25:00","4.0060341122e+10","4.0060341122e+10","7.5929354611e+10","7.5929354611e+10"
"2020-03-31 23:30:00","3.6549218526e+10","3.6549218526e+10","6.0829082222e+10","6.0829082222e+10"
"2020-03-31 23:35:00","3.0684695844e+10","3.0684695844e+10","5.7234887817e+10","5.7234887817e+10"
"2020-03-31 23:40:00","5.3385274634e+10","5.3385274634e+10","5.4373576195e+10","5.4373576195e+10"
"2020-03-31 23:45:00","5.8747456952e+10","5.8747456952e+10","5.3210330149e+10","5.3210330149e+10"
"2020-03-31 23:50:00","5.3156174923e+10","5.3156174923e+10","5.8731930183e+10","5.8731930183e+10"
"2020-03-31 23:55:00","3.6396575710e+10","3.6396575710e+10","4.8983159459e+10","4.8983159459e+10"
"2020-04-01 00:00:00","3.7780605898e+10","3.7780605898e+10","5.0017202417e+10","5.0017202417e+10"
"2020-04-01 00:05:00","4.1679085385e+10","4.1679085385e+10","5.2090642930e+10","5.2090642930e+10"
"2020-04-01 00:10:00","4.4098768742e+10","4.4098768742e+10","5.5983888126e+10","5.5983888126e+10"
"2020-04-01 00:15:00","3.6835398793e+10","3.6835398793e+10","4.3711862814e+10","4.3711862814e+10"
"2020-04-01 00:20:00","3.2875688905e+10","3.2875688905e+10","4.2405313087e+10","4.2405313087e+10"
"2020-04-01 00:25:00","3.1694765008e+10","3.1694765008e+10","4.2471071859e+10","4.2471071859e+10"
"2020-04-01 00:30:00","3.2974685584e+10","3.2974685584e+10","3.8632972805e+10","3.8632972805e+10"
"2020-04-01 00:35:00","3.3738312035e+10","3.3738312035e+10","3.3155046174e+10","3.3155046174e+10"
"2020-04-01 00:40:00","3.5922925088e+10","3.5922925088e+10","4.0639507107e+10","4.0639507107e+10"
"2020-04-01 00:45:00","3.3622806574e+10","3.3622806574e+10","3.6137634016e+10","3.6137634016e+10"
"2020-04-01 00:50:00","3.4803669096e+10","3.4803669096e+10","3.9606820514e+10","3.9606820514e+10"
"2020-04-01 00:55:00","4.6030048315e+10","4.6030048315e+10","5.2540562501e+10","5.2540562501e+10"
"2020-04-01 01:00:00","4.6027152631e+10","4.6027152631e+10","5.0021328045e+10","5.0021328045e+10"
"2020-04-01 01:05:00","3.8889104151e+10","3.8889104151e+10","4.9789924459e+10","4.9789924459e+10"
"2020-04-01 01:10:00","4.1326982017e+10","4.1326982017e+10","4.7773983781e+10","4.7773983781e+10"
"2020-04-01 01:15:00","4.5124929884e+10","4.5124929884e+10","5.8909022136e+10","5.8909022136e+10"
