"Title:","mx1.ams.nl - Traffic - ae9 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | ams-lon | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","48929"
"Host ID:","175"
"Nth Percentile:","55368785306.4","|95:bits:0:current:2|"
"Nth Percentile:","41437289880","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","3.0815341977e+10","3.0815341977e+10","2.6018012292e+10","2.6018012292e+10"
"2020-03-31 23:10:00","3.3884980252e+10","3.3884980252e+10","2.9225841753e+10","2.9225841753e+10"
"2020-03-31 23:15:00","3.9364619581e+10","3.9364619581e+10","3.1503466634e+10","3.1503466634e+10"
"2020-03-31 23:20:00","3.9067487698e+10","3.9067487698e+10","2.9383058208e+10","2.9383058208e+10"
"2020-03-31 23:25:00","3.9563315327e+10","3.9563315327e+10","2.7696819529e+10","2.7696819529e+10"
"2020-03-31 23:30:00","3.9131661729e+10","3.9131661729e+10","2.8647356077e+10","2.8647356077e+10"
"2020-03-31 23:35:00","3.2733110952e+10","3.2733110952e+10","2.5926750320e+10","2.5926750320e+10"
"2020-03-31 23:40:00","3.2460110929e+10","3.2460110929e+10","3.6456147833e+10","3.6456147833e+10"
"2020-03-31 23:45:00","2.8405134868e+10","2.8405134868e+10","4.0366900104e+10","4.0366900104e+10"
"2020-03-31 23:50:00","3.5019780026e+10","3.5019780026e+10","2.8500481152e+10","2.8500481152e+10"
"2020-03-31 23:55:00","2.5711034702e+10","2.5711034702e+10","2.1414757843e+10","2.1414757843e+10"
"2020-04-01 00:00:00","2.7166318008e+10","2.7166318008e+10","2.8482188570e+10","2.8482188570e+10"
"2020-04-01 00:05:00","2.7304552300e+10","2.7304552300e+10","3.0919041695e+10","3.0919041695e+10"
"2020-04-01 00:10:00","2.9063132429e+10","2.9063132429e+10","3.1525440310e+10","3.1525440310e+10"
"2020-04-01 00:15:00","2.2992078075e+10","2.2992078075e+10","2.5791937946e+10","2.5791937946e+10"
"2020-04-01 00:20:00","2.5980552703e+10","2.5980552703e+10","2.2496026783e+10","2.2496026783e+10"
"2020-04-01 00:25:00","2.0378629938e+10","2.0378629938e+10","2.4340130881e+10","2.4340130881e+10"
"2020-04-01 00:30:00","2.2852953039e+10","2.2852953039e+10","2.4151779051e+10","2.4151779051e+10"
"2020-04-01 00:35:00","1.5724159364e+10","1.5724159364e+10","2.7188922566e+10","2.7188922566e+10"
"2020-04-01 00:40:00","2.2899442331e+10","2.2899442331e+10","2.4271334977e+10","2.4271334977e+10"
"2020-04-01 00:45:00","1.8307990744e+10","1.8307990744e+10","2.1234776084e+10","2.1234776084e+10"
"2020-04-01 00:50:00","2.1208543002e+10","2.1208543002e+10","3.1839912025e+10","3.1839912025e+10"
"2020-04-01 00:55:00","2.5662711301e+10","2.5662711301e+10","2.9275425187e+10","2.9275425187e+10"
"2020-04-01 01:00:00","2.6297694100e+10","2.6297694100e+10","2.6283890366e+10","2.6283890366e+10"
