"Title:","mx1.buc.ro - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE SOF SRF0000001 | buc-sof"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","21019"
"Host ID:","203"
"Nth Percentile:","20190210548.8","|95:bits:0:current:2|"
"Nth Percentile:","7480387613.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","1.0938398077e+10","1.0938398077e+10","8.1380559469e+09","8.1380559469e+09"
"2020-03-31 23:10:00","1.3675377366e+10","1.3675377366e+10","6.1738457531e+09","6.1738457531e+09"
"2020-03-31 23:15:00","1.2139630741e+10","1.2139630741e+10","4.5831975165e+09","4.5831975165e+09"
"2020-03-31 23:20:00","1.2743008354e+10","1.2743008354e+10","3.6764548210e+09","3.6764548210e+09"
"2020-03-31 23:25:00","1.2838745771e+10","1.2838745771e+10","3.6165256476e+09","3.6165256476e+09"
"2020-03-31 23:30:00","1.1435158582e+10","1.1435158582e+10","2.3164569055e+09","2.3164569055e+09"
"2020-03-31 23:35:00","1.0153121763e+10","1.0153121763e+10","3.0138062846e+09","3.0138062846e+09"
"2020-03-31 23:40:00","8.3037206508e+09","8.3037206508e+09","2.5108707368e+09","2.5108707368e+09"
"2020-03-31 23:45:00","8.5175379115e+09","8.5175379115e+09","3.7371069036e+09","3.7371069036e+09"
"2020-03-31 23:50:00","8.5627153585e+09","8.5627153585e+09","4.5111733231e+09","4.5111733231e+09"
"2020-03-31 23:55:00","8.2888657462e+09","8.2888657462e+09","5.1233992083e+09","5.1233992083e+09"
"2020-04-01 00:00:00","8.2488685514e+09","8.2488685514e+09","2.8823509973e+09","2.8823509973e+09"
"2020-04-01 00:05:00","9.1907705554e+09","9.1907705554e+09","4.6333840093e+09","4.6333840093e+09"
"2020-04-01 00:10:00","9.1190630728e+09","9.1190630728e+09","4.8028118570e+09","4.8028118570e+09"
"2020-04-01 00:15:00","7.4749387132e+09","7.4749387132e+09","3.5320897610e+09","3.5320897610e+09"
"2020-04-01 00:20:00","7.5350850437e+09","7.5350850437e+09","3.2466421826e+09","3.2466421826e+09"
"2020-04-01 00:25:00","7.7358585544e+09","7.7358585544e+09","3.6636738624e+09","3.6636738624e+09"
"2020-04-01 00:30:00","9.0034652404e+09","9.0034652404e+09","2.3130818844e+09","2.3130818844e+09"
"2020-04-01 00:35:00","8.7180139742e+09","8.7180139742e+09","2.2679384885e+09","2.2679384885e+09"
"2020-04-01 00:40:00","8.3351999259e+09","8.3351999259e+09","3.3016102371e+09","3.3016102371e+09"
"2020-04-01 00:45:00","8.3474225156e+09","8.3474225156e+09","3.1119895898e+09","3.1119895898e+09"
"2020-04-01 00:50:00","8.1207053041e+09","8.1207053041e+09","4.1546654487e+09","4.1546654487e+09"
"2020-04-01 00:55:00","9.1706375717e+09","9.1706375717e+09","4.0441105259e+09","4.0441105259e+09"
"2020-04-01 01:00:00","8.7722245532e+09","8.7722245532e+09","7.8477868534e+09","7.8477868534e+09"
"2020-04-01 01:05:00","8.4308740647e+09","8.4308740647e+09","5.7826690952e+09","5.7826690952e+09"
"2020-04-01 01:10:00","9.0448129931e+09","9.0448129931e+09","4.7056203380e+09","4.7056203380e+09"
"2020-04-01 01:15:00","1.3656542307e+10","1.3656542307e+10","4.4252635432e+09","4.4252635432e+09"
"2020-04-01 01:20:00","1.9118448673e+10","1.9118448673e+10","2.9263746729e+09","2.9263746729e+09"
"2020-04-01 01:25:00","2.1558045718e+10","2.1558045718e+10","4.6520634776e+09","4.6520634776e+09"
"2020-04-01 01:30:00","2.1609061199e+10","2.1609061199e+10","6.2012988932e+09","6.2012988932e+09"
"2020-04-01 01:35:00","2.1172291293e+10","2.1172291293e+10","2.9920527168e+09","2.9920527168e+09"
"2020-04-01 01:40:00","2.0190210548e+10","2.0190210548e+10","2.7990421462e+09","2.7990421462e+09"
"2020-04-01 01:45:00","2.3180855670e+10","2.3180855670e+10","2.1501425019e+09","2.1501425019e+09"
"2020-04-01 01:50:00","2.0586835176e+10","2.0586835176e+10","2.9383670893e+09","2.9383670893e+09"
"2020-04-01 01:55:00","1.8927786809e+10","1.8927786809e+10","2.7005395582e+09","2.7005395582e+09"
"2020-04-01 02:00:00","1.7980998516e+10","1.7980998516e+10","2.4663073388e+09","2.4663073388e+09"
"2020-04-01 02:05:00","1.7303555315e+10","1.7303555315e+10","2.4610563403e+09","2.4610563403e+09"
"2020-04-01 02:10:00","1.7984312430e+10","1.7984312430e+10","2.2659857140e+09","2.2659857140e+09"
"2020-04-01 02:15:00","2.0308252791e+10","2.0308252791e+10","2.1280818037e+09","2.1280818037e+09"
"2020-04-01 02:20:00","1.9342595164e+10","1.9342595164e+10","1.9691014519e+09","1.9691014519e+09"
"2020-04-01 02:25:00","1.7731389743e+10","1.7731389743e+10","2.5005569017e+09","2.5005569017e+09"
"2020-04-01 02:30:00","1.4699279226e+10","1.4699279226e+10","2.8464974632e+09","2.8464974632e+09"
"2020-04-01 02:35:00","1.6436041765e+10","1.6436041765e+10","2.5529317096e+09","2.5529317096e+09"
"2020-04-01 02:40:00","1.7715834148e+10","1.7715834148e+10","2.7395493536e+09","2.7395493536e+09"
"2020-04-01 02:45:00","1.6556048443e+10","1.6556048443e+10","4.1816656144e+09","4.1816656144e+09"
"2020-04-01 02:50:00","1.5042283790e+10","1.5042283790e+10","4.2605970683e+09","4.2605970683e+09"
"2020-04-01 02:55:00","1.6795148682e+10","1.6795148682e+10","5.4054092595e+09","5.4054092595e+09"
"2020-04-01 03:00:00","1.2589148430e+10","1.2589148430e+10","3.7470785664e+09","3.7470785664e+09"
"2020-04-01 03:05:00","9.6548664204e+09","9.6548664204e+09","2.1918116840e+09","2.1918116840e+09"
"2020-04-01 03:10:00","1.0273085670e+10","1.0273085670e+10","1.9325380832e+09","1.9325380832e+09"
"2020-04-01 03:15:00","1.0364379133e+10","1.0364379133e+10","2.9207786716e+09","2.9207786716e+09"
"2020-04-01 03:20:00","1.2097550150e+10","1.2097550150e+10","3.1468544181e+09","3.1468544181e+09"
"2020-04-01 03:25:00","1.3413872850e+10","1.3413872850e+10","2.2999112535e+09","2.2999112535e+09"
"2020-04-01 03:30:00","1.0820351536e+10","1.0820351536e+10","1.8357657496e+09","1.8357657496e+09"
"2020-04-01 03:35:00","7.9037454039e+09","7.9037454039e+09","1.5844727361e+09","1.5844727361e+09"
"2020-04-01 03:40:00","1.0980880051e+10","1.0980880051e+10","1.2831329643e+09","1.2831329643e+09"
"2020-04-01 03:45:00","1.4396478067e+10","1.4396478067e+10","1.7168702953e+09","1.7168702953e+09"
"2020-04-01 03:50:00","1.2885032309e+10","1.2885032309e+10","2.1644116736e+09","2.1644116736e+09"
"2020-04-01 03:55:00","1.2828134867e+10","1.2828134867e+10","2.2704022796e+09","2.2704022796e+09"
"2020-04-01 04:00:00","1.4089769565e+10","1.4089769565e+10","1.8581404059e+09","1.8581404059e+09"
"2020-04-01 04:05:00","1.3218749455e+10","1.3218749455e+10","2.0160005215e+09","2.0160005215e+09"
"2020-04-01 04:10:00","1.3374862753e+10","1.3374862753e+10","1.4858202237e+09","1.4858202237e+09"
"2020-04-01 04:15:00","1.3232409007e+10","1.3232409007e+10","2.0254633362e+09","2.0254633362e+09"
"2020-04-01 04:20:00","1.3534662684e+10","1.3534662684e+10","1.6447514302e+09","1.6447514302e+09"
"2020-04-01 04:25:00","1.4669274507e+10","1.4669274507e+10","1.7150712895e+09","1.7150712895e+09"
"2020-04-01 04:30:00","1.2485188825e+10","1.2485188825e+10","1.7177670191e+09","1.7177670191e+09"
"2020-04-01 04:35:00","1.3386977474e+10","1.3386977474e+10","1.4483536552e+09","1.4483536552e+09"
"2020-04-01 04:40:00","1.1346726163e+10","1.1346726163e+10","1.1587362468e+09","1.1587362468e+09"
"2020-04-01 04:45:00","1.2750633477e+10","1.2750633477e+10","1.6930628411e+09","1.6930628411e+09"
"2020-04-01 04:50:00","1.1938617790e+10","1.1938617790e+10","1.3329749377e+09","1.3329749377e+09"
"2020-04-01 04:55:00","1.1537846803e+10","1.1537846803e+10","2.3360323077e+09","2.3360323077e+09"
"2020-04-01 05:00:00","1.1610521677e+10","1.1610521677e+10","1.5206879828e+09","1.5206879828e+09"
"2020-04-01 05:05:00","1.0989894367e+10","1.0989894367e+10","2.6597222380e+09","2.6597222380e+09"
"2020-04-01 05:10:00","9.1409562211e+09","9.1409562211e+09","1.6020463085e+09","1.6020463085e+09"
"2020-04-01 05:15:00","9.3353141751e+09","9.3353141751e+09","1.6700635641e+09","1.6700635641e+09"
"2020-04-01 05:20:00","1.0413020868e+10","1.0413020868e+10","1.1913172056e+09","1.1913172056e+09"
"2020-04-01 05:25:00","1.0323934430e+10","1.0323934430e+10","1.4869041124e+09","1.4869041124e+09"
"2020-04-01 05:30:00","9.8325185841e+09","9.8325185841e+09","1.6863241679e+09","1.6863241679e+09"
"2020-04-01 05:35:00","7.6871277609e+09","7.6871277609e+09","1.5868486589e+09","1.5868486589e+09"
"2020-04-01 05:40:00","7.8786283106e+09","7.8786283106e+09","1.2492570516e+09","1.2492570516e+09"
"2020-04-01 05:45:00","8.6247738859e+09","8.6247738859e+09","9.7681904783e+08","9.7681904783e+08"
"2020-04-01 05:50:00","8.5146787946e+09","8.5146787946e+09","1.4167375031e+09","1.4167375031e+09"
"2020-04-01 05:55:00","1.0184388843e+10","1.0184388843e+10","2.6276840834e+09","2.6276840834e+09"
"2020-04-01 06:00:00","1.0443593076e+10","1.0443593076e+10","2.6781753950e+09","2.6781753950e+09"
"2020-04-01 06:05:00","1.0070881209e+10","1.0070881209e+10","4.1152208841e+09","4.1152208841e+09"
"2020-04-01 06:10:00","1.1473888149e+10","1.1473888149e+10","5.5538908057e+09","5.5538908057e+09"
"2020-04-01 06:15:00","1.2402058611e+10","1.2402058611e+10","3.7248364216e+09","3.7248364216e+09"
"2020-04-01 06:20:00","1.4670867926e+10","1.4670867926e+10","2.8130919579e+09","2.8130919579e+09"
"2020-04-01 06:25:00","1.5565314332e+10","1.5565314332e+10","5.2344901813e+09","5.2344901813e+09"
"2020-04-01 06:30:00","1.4052909342e+10","1.4052909342e+10","3.2612565347e+09","3.2612565347e+09"
"2020-04-01 06:35:00","1.2316875553e+10","1.2316875553e+10","4.0669313552e+09","4.0669313552e+09"
"2020-04-01 06:40:00","1.1269423504e+10","1.1269423504e+10","2.4962455286e+09","2.4962455286e+09"
"2020-04-01 06:45:00","9.7949073114e+09","9.7949073114e+09","2.0484864029e+09","2.0484864029e+09"
"2020-04-01 06:50:00","6.5351814073e+09","6.5351814073e+09","2.0147050263e+09","2.0147050263e+09"
"2020-04-01 06:55:00","1.0633506455e+10","1.0633506455e+10","2.6179588202e+09","2.6179588202e+09"
"2020-04-01 07:00:00","1.0562315085e+10","1.0562315085e+10","1.3860066281e+09","1.3860066281e+09"
"2020-04-01 07:05:00","1.2265740126e+10","1.2265740126e+10","1.7183692066e+09","1.7183692066e+09"
"2020-04-01 07:10:00","1.1920918810e+10","1.1920918810e+10","1.0215488078e+09","1.0215488078e+09"
"2020-04-01 07:15:00","1.1563584595e+10","1.1563584595e+10","1.1299316580e+09","1.1299316580e+09"
"2020-04-01 07:20:00","1.1120757341e+10","1.1120757341e+10","1.0275340149e+09","1.0275340149e+09"
"2020-04-01 07:25:00","1.1729748433e+10","1.1729748433e+10","1.0224151928e+09","1.0224151928e+09"
"2020-04-01 07:30:00","1.2437646223e+10","1.2437646223e+10","1.3260467240e+09","1.3260467240e+09"
"2020-04-01 07:35:00","1.0657490539e+10","1.0657490539e+10","1.2482222294e+09","1.2482222294e+09"
"2020-04-01 07:40:00","1.0718035404e+10","1.0718035404e+10","9.9994835067e+08","9.9994835067e+08"
"2020-04-01 07:45:00","1.1074460512e+10","1.1074460512e+10","1.4771369981e+09","1.4771369981e+09"
"2020-04-01 07:50:00","1.0404907190e+10","1.0404907190e+10","1.4104379916e+09","1.4104379916e+09"
"2020-04-01 07:55:00","9.8672877604e+09","9.8672877604e+09","1.0369671576e+09","1.0369671576e+09"
"2020-04-01 08:00:00","1.0569315041e+10","1.0569315041e+10","9.0014223216e+08","9.0014223216e+08"
"2020-04-01 08:05:00","1.0291181124e+10","1.0291181124e+10","1.2805849660e+09","1.2805849660e+09"
"2020-04-01 08:10:00","1.1051538546e+10","1.1051538546e+10","1.3560300065e+09","1.3560300065e+09"
"2020-04-01 08:15:00","1.4156515018e+10","1.4156515018e+10","6.3775187699e+09","6.3775187699e+09"
"2020-04-01 08:20:00","1.8409737127e+10","1.8409737127e+10","6.4686019954e+09","6.4686019954e+09"
"2020-04-01 08:25:00","1.8731022748e+10","1.8731022748e+10","3.1316828695e+09","3.1316828695e+09"
"2020-04-01 08:30:00","1.8426275772e+10","1.8426275772e+10","2.2558857635e+09","2.2558857635e+09"
"2020-04-01 08:35:00","1.8406832094e+10","1.8406832094e+10","2.5336109126e+09","2.5336109126e+09"
"2020-04-01 08:40:00","1.7997491267e+10","1.7997491267e+10","3.9082206531e+09","3.9082206531e+09"
