"Title:","mx1.bud.hu - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE VIE SRF0000001 | bud-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47937"
"Host ID:","146"
"Nth Percentile:","15660253450.4","|95:bits:0:current:2|"
"Nth Percentile:","8182607313.6","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","6.5971631955e+09","6.5971631955e+09","2.5478528725e+09","2.5478528725e+09"
"2020-03-31 23:10:00","5.9433405164e+09","5.9433405164e+09","2.6428731110e+09","2.6428731110e+09"
"2020-03-31 23:15:00","5.7947995918e+09","5.7947995918e+09","3.4271572523e+09","3.4271572523e+09"
"2020-03-31 23:20:00","5.8376508521e+09","5.8376508521e+09","4.0965296522e+09","4.0965296522e+09"
"2020-03-31 23:25:00","6.1703795326e+09","6.1703795326e+09","5.0248639401e+09","5.0248639401e+09"
"2020-03-31 23:30:00","6.1318150059e+09","6.1318150059e+09","3.9600687649e+09","3.9600687649e+09"
"2020-03-31 23:35:00","6.1372111066e+09","6.1372111066e+09","2.7772775593e+09","2.7772775593e+09"
"2020-03-31 23:40:00","5.3623960114e+09","5.3623960114e+09","2.8013559493e+09","2.8013559493e+09"
"2020-03-31 23:45:00","5.5298790098e+09","5.5298790098e+09","2.7399206588e+09","2.7399206588e+09"
"2020-03-31 23:50:00","5.1224541880e+09","5.1224541880e+09","2.8269914712e+09","2.8269914712e+09"
"2020-03-31 23:55:00","5.1111366681e+09","5.1111366681e+09","3.4944173494e+09","3.4944173494e+09"
"2020-04-01 00:00:00","4.9897581940e+09","4.9897581940e+09","6.3430024935e+09","6.3430024935e+09"
"2020-04-01 00:05:00","5.3097673292e+09","5.3097673292e+09","7.9587662020e+09","7.9587662020e+09"
"2020-04-01 00:10:00","5.4989018463e+09","5.4989018463e+09","7.3381824092e+09","7.3381824092e+09"
"2020-04-01 00:15:00","5.6153261781e+09","5.6153261781e+09","5.9811384825e+09","5.9811384825e+09"
"2020-04-01 00:20:00","4.9473722569e+09","4.9473722569e+09","5.0139426771e+09","5.0139426771e+09"
"2020-04-01 00:25:00","5.1126680623e+09","5.1126680623e+09","5.9014493244e+09","5.9014493244e+09"
"2020-04-01 00:30:00","4.7193062454e+09","4.7193062454e+09","7.1603359289e+09","7.1603359289e+09"
"2020-04-01 00:35:00","5.1750910444e+09","5.1750910444e+09","6.7011219628e+09","6.7011219628e+09"
"2020-04-01 00:40:00","4.4919373763e+09","4.4919373763e+09","5.7323236805e+09","5.7323236805e+09"
"2020-04-01 00:45:00","4.4414297364e+09","4.4414297364e+09","6.0236198882e+09","6.0236198882e+09"
"2020-04-01 00:50:00","4.7632330928e+09","4.7632330928e+09","4.6908376948e+09","4.6908376948e+09"
"2020-04-01 00:55:00","4.3526189238e+09","4.3526189238e+09","2.8013181878e+09","2.8013181878e+09"
"2020-04-01 01:00:00","4.2005631181e+09","4.2005631181e+09","2.1226871382e+09","2.1226871382e+09"
"2020-04-01 01:05:00","5.0345476156e+09","5.0345476156e+09","2.1662484008e+09","2.1662484008e+09"
"2020-04-01 01:10:00","5.0281598148e+09","5.0281598148e+09","2.0022982559e+09","2.0022982559e+09"
"2020-04-01 01:15:00","4.7110500134e+09","4.7110500134e+09","2.6419517556e+09","2.6419517556e+09"
"2020-04-01 01:20:00","4.5949642955e+09","4.5949642955e+09","2.0688924185e+09","2.0688924185e+09"
"2020-04-01 01:25:00","4.8772702637e+09","4.8772702637e+09","1.9213040606e+09","1.9213040606e+09"
"2020-04-01 01:30:00","4.8912816893e+09","4.8912816893e+09","3.1697880069e+09","3.1697880069e+09"
"2020-04-01 01:35:00","4.8293105708e+09","4.8293105708e+09","3.6966927192e+09","3.6966927192e+09"
"2020-04-01 01:40:00","4.5890913116e+09","4.5890913116e+09","2.7986828632e+09","2.7986828632e+09"
"2020-04-01 01:45:00","4.4922403158e+09","4.4922403158e+09","4.4094287284e+09","4.4094287284e+09"
"2020-04-01 01:50:00","4.6067970780e+09","4.6067970780e+09","4.0035132360e+09","4.0035132360e+09"
"2020-04-01 01:55:00","5.6928432071e+09","5.6928432071e+09","3.5773045075e+09","3.5773045075e+09"
"2020-04-01 02:00:00","4.7216592739e+09","4.7216592739e+09","3.3952284992e+09","3.3952284992e+09"
"2020-04-01 02:05:00","4.5170153871e+09","4.5170153871e+09","2.5465108165e+09","2.5465108165e+09"
"2020-04-01 02:10:00","4.3317354221e+09","4.3317354221e+09","2.6004574101e+09","2.6004574101e+09"
"2020-04-01 02:15:00","4.7739728509e+09","4.7739728509e+09","4.2765913617e+09","4.2765913617e+09"
"2020-04-01 02:20:00","4.8922810500e+09","4.8922810500e+09","3.0990479535e+09","3.0990479535e+09"
"2020-04-01 02:25:00","4.2460847100e+09","4.2460847100e+09","2.5975093089e+09","2.5975093089e+09"
"2020-04-01 02:30:00","4.0606483510e+09","4.0606483510e+09","3.0388432926e+09","3.0388432926e+09"
"2020-04-01 02:35:00","4.0414813387e+09","4.0414813387e+09","3.1154215131e+09","3.1154215131e+09"
"2020-04-01 02:40:00","4.1871222325e+09","4.1871222325e+09","2.8113842146e+09","2.8113842146e+09"
"2020-04-01 02:45:00","3.7722341473e+09","3.7722341473e+09","3.2720124710e+09","3.2720124710e+09"
"2020-04-01 02:50:00","3.3330310069e+09","3.3330310069e+09","2.9754428919e+09","2.9754428919e+09"
"2020-04-01 02:55:00","3.4152518542e+09","3.4152518542e+09","2.8345818637e+09","2.8345818637e+09"
"2020-04-01 03:00:00","3.4704707706e+09","3.4704707706e+09","4.5393312678e+09","4.5393312678e+09"
"2020-04-01 03:05:00","4.1732590316e+09","4.1732590316e+09","5.2102140153e+09","5.2102140153e+09"
"2020-04-01 03:10:00","3.5103434516e+09","3.5103434516e+09","3.5760920179e+09","3.5760920179e+09"
"2020-04-01 03:15:00","3.6460777510e+09","3.6460777510e+09","3.0199365392e+09","3.0199365392e+09"
"2020-04-01 03:20:00","4.0531183812e+09","4.0531183812e+09","3.1072206795e+09","3.1072206795e+09"
"2020-04-01 03:25:00","3.6838137005e+09","3.6838137005e+09","2.9740862570e+09","2.9740862570e+09"
"2020-04-01 03:30:00","3.3051169126e+09","3.3051169126e+09","2.0789760859e+09","2.0789760859e+09"
"2020-04-01 03:35:00","3.1396915441e+09","3.1396915441e+09","2.1923902630e+09","2.1923902630e+09"
"2020-04-01 03:40:00","3.4508924699e+09","3.4508924699e+09","2.9560357718e+09","2.9560357718e+09"
"2020-04-01 03:45:00","2.9665010177e+09","2.9665010177e+09","2.2695686965e+09","2.2695686965e+09"
"2020-04-01 03:50:00","3.0353431726e+09","3.0353431726e+09","1.7717508911e+09","1.7717508911e+09"
"2020-04-01 03:55:00","2.9832411897e+09","2.9832411897e+09","1.9958417063e+09","1.9958417063e+09"
"2020-04-01 04:00:00","2.9478786294e+09","2.9478786294e+09","1.9487520643e+09","1.9487520643e+09"
"2020-04-01 04:05:00","3.2303157125e+09","3.2303157125e+09","2.6408474218e+09","2.6408474218e+09"
"2020-04-01 04:10:00","2.6962763981e+09","2.6962763981e+09","4.1900693526e+09","4.1900693526e+09"
"2020-04-01 04:15:00","3.0997645913e+09","3.0997645913e+09","4.5618928770e+09","4.5618928770e+09"
"2020-04-01 04:20:00","2.9884844401e+09","2.9884844401e+09","3.5852361076e+09","3.5852361076e+09"
"2020-04-01 04:25:00","3.3312871060e+09","3.3312871060e+09","2.4454039482e+09","2.4454039482e+09"
"2020-04-01 04:30:00","3.2565795129e+09","3.2565795129e+09","2.2038817009e+09","2.2038817009e+09"
"2020-04-01 04:35:00","3.3921926806e+09","3.3921926806e+09","2.3488956270e+09","2.3488956270e+09"
"2020-04-01 04:40:00","3.3073891181e+09","3.3073891181e+09","2.0854139428e+09","2.0854139428e+09"
"2020-04-01 04:45:00","3.0262680952e+09","3.0262680952e+09","4.5598629576e+09","4.5598629576e+09"
"2020-04-01 04:50:00","2.9679201779e+09","2.9679201779e+09","5.5583995460e+09","5.5583995460e+09"
"2020-04-01 04:55:00","2.9593163532e+09","2.9593163532e+09","5.6710960241e+09","5.6710960241e+09"
"2020-04-01 05:00:00","2.7080410984e+09","2.7080410984e+09","5.9854410976e+09","5.9854410976e+09"
"2020-04-01 05:05:00","2.7120398156e+09","2.7120398156e+09","6.3145255140e+09","6.3145255140e+09"
"2020-04-01 05:10:00","3.0169497607e+09","3.0169497607e+09","6.1330457454e+09","6.1330457454e+09"
"2020-04-01 05:15:00","2.7109819445e+09","2.7109819445e+09","6.4924060385e+09","6.4924060385e+09"
"2020-04-01 05:20:00","2.9333844251e+09","2.9333844251e+09","6.3184455126e+09","6.3184455126e+09"
"2020-04-01 05:25:00","2.9487057252e+09","2.9487057252e+09","6.1750410388e+09","6.1750410388e+09"
"2020-04-01 05:30:00","2.8870490335e+09","2.8870490335e+09","6.2473418358e+09","6.2473418358e+09"
"2020-04-01 05:35:00","3.1060772597e+09","3.1060772597e+09","6.2823433008e+09","6.2823433008e+09"
"2020-04-01 05:40:00","3.2510417896e+09","3.2510417896e+09","7.1024666888e+09","7.1024666888e+09"
"2020-04-01 05:45:00","3.4729979967e+09","3.4729979967e+09","7.0455440707e+09","7.0455440707e+09"
"2020-04-01 05:50:00","3.5249433776e+09","3.5249433776e+09","7.2498524153e+09","7.2498524153e+09"
"2020-04-01 05:55:00","4.4225834501e+09","4.4225834501e+09","8.2201187669e+09","8.2201187669e+09"
"2020-04-01 06:00:00","4.5123893045e+09","4.5123893045e+09","6.3727782977e+09","6.3727782977e+09"
"2020-04-01 06:05:00","4.9038959392e+09","4.9038959392e+09","6.1689607546e+09","6.1689607546e+09"
"2020-04-01 06:10:00","5.3009614937e+09","5.3009614937e+09","6.5402401116e+09","6.5402401116e+09"
"2020-04-01 06:15:00","5.4495804509e+09","5.4495804509e+09","7.1699147924e+09","7.1699147924e+09"
"2020-04-01 06:20:00","5.8002148251e+09","5.8002148251e+09","7.7583964719e+09","7.7583964719e+09"
"2020-04-01 06:25:00","6.9399046104e+09","6.9399046104e+09","8.2190489083e+09","8.2190489083e+09"
"2020-04-01 06:30:00","7.9572486800e+09","7.9572486800e+09","7.5431734943e+09","7.5431734943e+09"
"2020-04-01 06:35:00","8.4058565100e+09","8.4058565100e+09","7.0236985285e+09","7.0236985285e+09"
"2020-04-01 06:40:00","8.1068407460e+09","8.1068407460e+09","7.0533123561e+09","7.0533123561e+09"
"2020-04-01 06:45:00","8.4018785863e+09","8.4018785863e+09","6.3964999321e+09","6.3964999321e+09"
"2020-04-01 06:50:00","9.4990768512e+09","9.4990768512e+09","7.8970831245e+09","7.8970831245e+09"
"2020-04-01 06:55:00","1.0174681522e+10","1.0174681522e+10","7.3019047421e+09","7.3019047421e+09"
"2020-04-01 07:00:00","1.0059956421e+10","1.0059956421e+10","7.6916089743e+09","7.6916089743e+09"
"2020-04-01 07:05:00","1.1001429395e+10","1.1001429395e+10","7.8587165683e+09","7.8587165683e+09"
"2020-04-01 07:10:00","1.2047780867e+10","1.2047780867e+10","8.1826073139e+09","8.1826073139e+09"
"2020-04-01 07:15:00","1.1322093263e+10","1.1322093263e+10","8.7430801203e+09","8.7430801203e+09"
"2020-04-01 07:20:00","1.1904863912e+10","1.1904863912e+10","9.2651346454e+09","9.2651346454e+09"
"2020-04-01 07:25:00","1.2173543727e+10","1.2173543727e+10","7.1266818787e+09","7.1266818787e+09"
"2020-04-01 07:30:00","1.2591054527e+10","1.2591054527e+10","6.8443888915e+09","6.8443888915e+09"
"2020-04-01 07:35:00","1.2631212891e+10","1.2631212891e+10","6.1654136253e+09","6.1654136253e+09"
"2020-04-01 07:40:00","1.2116003759e+10","1.2116003759e+10","6.4619868168e+09","6.4619868168e+09"
"2020-04-01 07:45:00","1.2560455194e+10","1.2560455194e+10","6.2022820858e+09","6.2022820858e+09"
"2020-04-01 07:50:00","1.3487593012e+10","1.3487593012e+10","6.6254113885e+09","6.6254113885e+09"
"2020-04-01 07:55:00","1.3474315749e+10","1.3474315749e+10","7.2822865373e+09","7.2822865373e+09"
"2020-04-01 08:00:00","1.2913289010e+10","1.2913289010e+10","7.8134317739e+09","7.8134317739e+09"
"2020-04-01 08:05:00","1.3016094875e+10","1.3016094875e+10","7.2263197963e+09","7.2263197963e+09"
"2020-04-01 08:10:00","1.2914653887e+10","1.2914653887e+10","7.3570388293e+09","7.3570388293e+09"
"2020-04-01 08:15:00","1.3148169562e+10","1.3148169562e+10","7.5261985204e+09","7.5261985204e+09"
"2020-04-01 08:20:00","1.3331015989e+10","1.3331015989e+10","8.5121731236e+09","8.5121731236e+09"
"2020-04-01 08:25:00","1.5060856866e+10","1.5060856866e+10","9.0201072268e+09","9.0201072268e+09"
"2020-04-01 08:30:00","1.4356027200e+10","1.4356027200e+10","9.7105573753e+09","9.7105573753e+09"
"2020-04-01 08:35:00","1.3965892327e+10","1.3965892327e+10","8.4332290282e+09","8.4332290282e+09"
"2020-04-01 08:40:00","1.4745523777e+10","1.4745523777e+10","6.5407089760e+09","6.5407089760e+09"
"2020-04-01 08:45:00","1.4262746211e+10","1.4262746211e+10","6.1226175197e+09","6.1226175197e+09"
"2020-04-01 08:50:00","1.4741223375e+10","1.4741223375e+10","5.7363682109e+09","5.7363682109e+09"
"2020-04-01 08:55:00","1.5448822625e+10","1.5448822625e+10","5.5412312814e+09","5.5412312814e+09"
"2020-04-01 09:00:00","1.5031634966e+10","1.5031634966e+10","6.1239919886e+09","6.1239919886e+09"
"2020-04-01 09:05:00","1.5607466795e+10","1.5607466795e+10","5.9962866704e+09","5.9962866704e+09"
"2020-04-01 09:10:00","1.5308809057e+10","1.5308809057e+10","6.2934337906e+09","6.2934337906e+09"
"2020-04-01 09:15:00","1.4664940560e+10","1.4664940560e+10","6.6230334412e+09","6.6230334412e+09"
"2020-04-01 09:20:00","1.4423592149e+10","1.4423592149e+10","6.5732900508e+09","6.5732900508e+09"
"2020-04-01 09:25:00","1.4718288690e+10","1.4718288690e+10","6.8442105908e+09","6.8442105908e+09"
"2020-04-01 09:30:00","1.4946017637e+10","1.4946017637e+10","6.9583661455e+09","6.9583661455e+09"
"2020-04-01 09:35:00","1.4798289559e+10","1.4798289559e+10","6.8209570354e+09","6.8209570354e+09"
"2020-04-01 09:40:00","1.4739824194e+10","1.4739824194e+10","6.4084203573e+09","6.4084203573e+09"
"2020-04-01 09:45:00","1.5244937371e+10","1.5244937371e+10","6.4402679112e+09","6.4402679112e+09"
"2020-04-01 09:50:00","1.4929359872e+10","1.4929359872e+10","5.9421355623e+09","5.9421355623e+09"
"2020-04-01 09:55:00","1.4953197805e+10","1.4953197805e+10","5.9429343114e+09","5.9429343114e+09"
"2020-04-01 10:00:00","1.5806146063e+10","1.5806146063e+10","6.1591589985e+09","6.1591589985e+09"
"2020-04-01 10:05:00","1.5148001167e+10","1.5148001167e+10","5.3185842125e+09","5.3185842125e+09"
"2020-04-01 10:10:00","1.6130526976e+10","1.6130526976e+10","5.9797731637e+09","5.9797731637e+09"
"2020-04-01 10:15:00","1.5776245867e+10","1.5776245867e+10","7.2077105574e+09","7.2077105574e+09"
"2020-04-01 10:20:00","1.6077491563e+10","1.6077491563e+10","6.5276605178e+09","6.5276605178e+09"
"2020-04-01 10:25:00","1.6901279651e+10","1.6901279651e+10","7.8921740953e+09","7.8921740953e+09"
"2020-04-01 10:30:00","1.6992990246e+10","1.6992990246e+10","8.2197894063e+09","8.2197894063e+09"
"2020-04-01 10:35:00","1.6221813380e+10","1.6221813380e+10","7.5317444501e+09","7.5317444501e+09"
"2020-04-01 10:40:00","1.6325327198e+10","1.6325327198e+10","8.5471935913e+09","8.5471935913e+09"
"2020-04-01 10:45:00","1.5901370334e+10","1.5901370334e+10","8.3484535013e+09","8.3484535013e+09"
"2020-04-01 10:50:00","1.5181599593e+10","1.5181599593e+10","8.1086325672e+09","8.1086325672e+09"
"2020-04-01 10:55:00","1.5634879745e+10","1.5634879745e+10","7.3604878708e+09","7.3604878708e+09"
"2020-04-01 11:00:00","1.5632927135e+10","1.5632927135e+10","6.8561690822e+09","6.8561690822e+09"
"2020-04-01 11:05:00","1.5825980108e+10","1.5825980108e+10","7.4030165049e+09","7.4030165049e+09"
"2020-04-01 11:10:00","1.4406305705e+10","1.4406305705e+10","7.2447418359e+09","7.2447418359e+09"
"2020-04-01 11:15:00","1.4256764574e+10","1.4256764574e+10","7.3914066874e+09","7.3914066874e+09"
"2020-04-01 11:20:00","1.4207350692e+10","1.4207350692e+10","7.1072248391e+09","7.1072248391e+09"
"2020-04-01 11:25:00","1.4882619758e+10","1.4882619758e+10","7.5713367670e+09","7.5713367670e+09"
"2020-04-01 11:30:00","1.4997661877e+10","1.4997661877e+10","6.9875889598e+09","6.9875889598e+09"
"2020-04-01 11:35:00","1.5514482371e+10","1.5514482371e+10","6.7210612759e+09","6.7210612759e+09"
"2020-04-01 11:40:00","1.5141278963e+10","1.5141278963e+10","6.2083298078e+09","6.2083298078e+09"
"2020-04-01 11:45:00","1.4747854311e+10","1.4747854311e+10","5.3286008683e+09","5.3286008683e+09"
"2020-04-01 11:50:00","1.5402798081e+10","1.5402798081e+10","5.5213852454e+09","5.5213852454e+09"
"2020-04-01 11:55:00","1.4361109587e+10","1.4361109587e+10","5.1884633069e+09","5.1884633069e+09"
"2020-04-01 12:00:00","1.5225089299e+10","1.5225089299e+10","5.0642547895e+09","5.0642547895e+09"
"2020-04-01 12:05:00","1.5396152668e+10","1.5396152668e+10","5.2986071970e+09","5.2986071970e+09"
"2020-04-01 12:10:00","1.4909371417e+10","1.4909371417e+10","4.9555385118e+09","4.9555385118e+09"
"2020-04-01 12:15:00","1.5917898958e+10","1.5917898958e+10","5.4017379219e+09","5.4017379219e+09"
"2020-04-01 12:20:00","1.5660253451e+10","1.5660253451e+10","5.0378710543e+09","5.0378710543e+09"
"2020-04-01 12:25:00","1.6367007401e+10","1.6367007401e+10","4.7477173748e+09","4.7477173748e+09"
