"Title:","mx1.gen.ch - Traffic - ae6 - LAG INFRASTRUCTURE BACKBONE GEN SRF0000001 | GEN-MIL2 | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52853"
"Host ID:","164"
"Nth Percentile:","44226248779.2","|95:bits:0:current:2|"
"Nth Percentile:","48339887792","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","6.1791135593e+10","6.1791135593e+10","4.0039653521e+10","4.0039653521e+10"
"2020-03-31 23:10:00","5.4733579959e+10","5.4733579959e+10","3.6125489945e+10","3.6125489945e+10"
"2020-03-31 23:15:00","4.3072432558e+10","4.3072432558e+10","4.4310700468e+10","4.4310700468e+10"
"2020-03-31 23:20:00","4.9736851425e+10","4.9736851425e+10","4.0158181941e+10","4.0158181941e+10"
"2020-03-31 23:25:00","4.5856016266e+10","4.5856016266e+10","3.4678022593e+10","3.4678022593e+10"
"2020-03-31 23:30:00","4.9066668692e+10","4.9066668692e+10","3.5506218631e+10","3.5506218631e+10"
"2020-03-31 23:35:00","4.7860735070e+10","4.7860735070e+10","3.1204647686e+10","3.1204647686e+10"
"2020-03-31 23:40:00","4.4226248779e+10","4.4226248779e+10","3.1172951302e+10","3.1172951302e+10"
"2020-03-31 23:45:00","4.3146601125e+10","4.3146601125e+10","2.9508256345e+10","2.9508256345e+10"
"2020-03-31 23:50:00","4.2036636946e+10","4.2036636946e+10","2.7011739921e+10","2.7011739921e+10"
"2020-03-31 23:55:00","3.8020070481e+10","3.8020070481e+10","2.7930051805e+10","2.7930051805e+10"
"2020-04-01 00:00:00","4.1111239226e+10","4.1111239226e+10","2.7078440537e+10","2.7078440537e+10"
"2020-04-01 00:05:00","4.0615262209e+10","4.0615262209e+10","3.2208318316e+10","3.2208318316e+10"
"2020-04-01 00:10:00","4.0781228132e+10","4.0781228132e+10","2.8878245029e+10","2.8878245029e+10"
"2020-04-01 00:15:00","4.1911473863e+10","4.1911473863e+10","3.1821513288e+10","3.1821513288e+10"
"2020-04-01 00:20:00","4.0426012855e+10","4.0426012855e+10","3.2527324885e+10","3.2527324885e+10"
"2020-04-01 00:25:00","3.9664332685e+10","3.9664332685e+10","3.2290470080e+10","3.2290470080e+10"
