"Title:","mx1.ham.de - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE FRA SRF9930571 | fra-ham"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","20493"
"Host ID:","231"
"Nth Percentile:","40101242144","|95:bits:0:current:2|"
"Nth Percentile:","13563809155.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","2.8319623584e+10","2.8319623584e+10","7.9200361569e+09","7.9200361569e+09"
"2020-03-31 23:10:00","3.6064073766e+10","3.6064073766e+10","5.9331977031e+09","5.9331977031e+09"
"2020-03-31 23:15:00","5.1407941011e+10","5.1407941011e+10","6.9225087713e+09","6.9225087713e+09"
"2020-03-31 23:20:00","4.8565319106e+10","4.8565319106e+10","8.7215856068e+09","8.7215856068e+09"
"2020-03-31 23:25:00","4.5159829665e+10","4.5159829665e+10","7.3419080220e+09","7.3419080220e+09"
"2020-03-31 23:30:00","4.0683239434e+10","4.0683239434e+10","7.2240008486e+09","7.2240008486e+09"
"2020-03-31 23:35:00","3.0278551598e+10","3.0278551598e+10","6.6846380275e+09","6.6846380275e+09"
"2020-03-31 23:40:00","2.8740391726e+10","2.8740391726e+10","6.0848964290e+09","6.0848964290e+09"
"2020-03-31 23:45:00","2.7849667771e+10","2.7849667771e+10","3.3416592377e+09","3.3416592377e+09"
"2020-03-31 23:50:00","2.8275953071e+10","2.8275953071e+10","8.2242444177e+09","8.2242444177e+09"
"2020-03-31 23:55:00","2.4879579185e+10","2.4879579185e+10","3.1235813757e+09","3.1235813757e+09"
"2020-04-01 00:00:00","2.3438686295e+10","2.3438686295e+10","5.2054142638e+09","5.2054142638e+09"
"2020-04-01 00:05:00","1.9280336078e+10","1.9280336078e+10","8.2389829425e+09","8.2389829425e+09"
"2020-04-01 00:10:00","2.0219333477e+10","2.0219333477e+10","8.1853595599e+09","8.1853595599e+09"
"2020-04-01 00:15:00","1.9234187463e+10","1.9234187463e+10","6.3403054668e+09","6.3403054668e+09"
"2020-04-01 00:20:00","2.4599296795e+10","2.4599296795e+10","9.0080680523e+09","9.0080680523e+09"
"2020-04-01 00:25:00","2.2851187650e+10","2.2851187650e+10","4.2265037744e+09","4.2265037744e+09"
"2020-04-01 00:30:00","2.1126721701e+10","2.1126721701e+10","3.6230567725e+09","3.6230567725e+09"
"2020-04-01 00:35:00","1.3606323758e+10","1.3606323758e+10","7.8062626232e+09","7.8062626232e+09"
"2020-04-01 00:40:00","1.2882966359e+10","1.2882966359e+10","5.2480069354e+09","5.2480069354e+09"
"2020-04-01 00:45:00","1.4038521378e+10","1.4038521378e+10","4.3242870896e+09","4.3242870896e+09"
"2020-04-01 00:50:00","1.6143134021e+10","1.6143134021e+10","7.9294761801e+09","7.9294761801e+09"
"2020-04-01 00:55:00","2.1817726263e+10","2.1817726263e+10","9.2687101355e+09","9.2687101355e+09"
"2020-04-01 01:00:00","1.9419674118e+10","1.9419674118e+10","8.1708150108e+09","8.1708150108e+09"
"2020-04-01 01:05:00","2.1261196656e+10","2.1261196656e+10","6.9961621015e+09","6.9961621015e+09"
"2020-04-01 01:10:00","1.9646303732e+10","1.9646303732e+10","1.1117576415e+10","1.1117576415e+10"
"2020-04-01 01:15:00","2.1809318080e+10","2.1809318080e+10","1.5102891284e+10","1.5102891284e+10"
"2020-04-01 01:20:00","2.2371983326e+10","2.2371983326e+10","9.0254465110e+09","9.0254465110e+09"
"2020-04-01 01:25:00","2.9530706480e+10","2.9530706480e+10","8.8282340717e+09","8.8282340717e+09"
"2020-04-01 01:30:00","2.7829847890e+10","2.7829847890e+10","1.0746991378e+10","1.0746991378e+10"
"2020-04-01 01:35:00","2.5188470696e+10","2.5188470696e+10","8.7947829000e+09","8.7947829000e+09"
"2020-04-01 01:40:00","2.7059301601e+10","2.7059301601e+10","6.2007688466e+09","6.2007688466e+09"
"2020-04-01 01:45:00","3.8625306393e+10","3.8625306393e+10","9.3686962415e+09","9.3686962415e+09"
"2020-04-01 01:50:00","4.4419249367e+10","4.4419249367e+10","9.8251485738e+09","9.8251485738e+09"
"2020-04-01 01:55:00","4.1151794265e+10","4.1151794265e+10","9.2856048930e+09","9.2856048930e+09"
"2020-04-01 02:00:00","2.2988437713e+10","2.2988437713e+10","9.5300622456e+09","9.5300622456e+09"
"2020-04-01 02:05:00","2.1903632576e+10","2.1903632576e+10","7.9573473924e+09","7.9573473924e+09"
