"Title:","mx1.lis.pt - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE LON SRF0000001 | lis-lon"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","7450"
"Host ID:","161"
"Nth Percentile:","1869450655.76","|95:bits:0:current:2|"
"Nth Percentile:","4808506014","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","1.0961181171e+09","1.0961181171e+09","7.6678462320e+08","7.6678462320e+08"
"2020-03-31 23:10:00","9.3517185931e+08","9.3517185931e+08","4.5696475343e+08","4.5696475343e+08"
"2020-03-31 23:15:00","9.1849649713e+08","9.1849649713e+08","4.3507610742e+08","4.3507610742e+08"
"2020-03-31 23:20:00","1.3492943542e+09","1.3492943542e+09","5.8070950247e+08","5.8070950247e+08"
"2020-03-31 23:25:00","1.0942188974e+09","1.0942188974e+09","6.3764080906e+08","6.3764080906e+08"
"2020-03-31 23:30:00","1.0414429284e+09","1.0414429284e+09","3.7417880959e+08","3.7417880959e+08"
"2020-03-31 23:35:00","8.0358750083e+08","8.0358750083e+08","3.4272573734e+08","3.4272573734e+08"
"2020-03-31 23:40:00","8.1253112091e+08","8.1253112091e+08","4.9617568921e+08","4.9617568921e+08"
"2020-03-31 23:45:00","7.1808843965e+08","7.1808843965e+08","4.1467951411e+08","4.1467951411e+08"
"2020-03-31 23:50:00","6.6292804399e+08","6.6292804399e+08","2.7474382141e+08","2.7474382141e+08"
"2020-03-31 23:55:00","7.6532396506e+08","7.6532396506e+08","2.8150929322e+08","2.8150929322e+08"
"2020-04-01 00:00:00","8.3468604586e+08","8.3468604586e+08","1.8655112787e+08","1.8655112787e+08"
"2020-04-01 00:05:00","8.0844382315e+08","8.0844382315e+08","3.1756344385e+08","3.1756344385e+08"
"2020-04-01 00:10:00","6.3724425712e+08","6.3724425712e+08","2.8231279701e+08","2.8231279701e+08"
"2020-04-01 00:15:00","7.3242367090e+08","7.3242367090e+08","2.0515368375e+08","2.0515368375e+08"
"2020-04-01 00:20:00","5.6403537711e+08","5.6403537711e+08","2.8975445478e+08","2.8975445478e+08"
"2020-04-01 00:25:00","7.0074010722e+08","7.0074010722e+08","5.6943774118e+08","5.6943774118e+08"
"2020-04-01 00:30:00","5.5486606917e+08","5.5486606917e+08","2.0922440112e+08","2.0922440112e+08"
"2020-04-01 00:35:00","5.4817144980e+08","5.4817144980e+08","2.3315841726e+08","2.3315841726e+08"
"2020-04-01 00:40:00","5.1152984765e+08","5.1152984765e+08","2.1355361863e+08","2.1355361863e+08"
"2020-04-01 00:45:00","5.5819300903e+08","5.5819300903e+08","3.4454762653e+08","3.4454762653e+08"
"2020-04-01 00:50:00","1.0141050335e+09","1.0141050335e+09","5.1526543673e+08","5.1526543673e+08"
"2020-04-01 00:55:00","8.9433208914e+08","8.9433208914e+08","4.3566409995e+08","4.3566409995e+08"
"2020-04-01 01:00:00","6.1822833850e+08","6.1822833850e+08","4.4481030574e+08","4.4481030574e+08"
"2020-04-01 01:05:00","5.8235729042e+08","5.8235729042e+08","3.9672111255e+08","3.9672111255e+08"
"2020-04-01 01:10:00","5.6944768719e+08","5.6944768719e+08","4.0891605662e+08","4.0891605662e+08"
"2020-04-01 01:15:00","5.5890375120e+08","5.5890375120e+08","3.3739143581e+08","3.3739143581e+08"
"2020-04-01 01:20:00","5.3914507363e+08","5.3914507363e+08","3.5920277288e+08","3.5920277288e+08"
"2020-04-01 01:25:00","1.0413417891e+09","1.0413417891e+09","5.6845046190e+08","5.6845046190e+08"
"2020-04-01 01:30:00","7.2369243556e+08","7.2369243556e+08","3.1929044443e+08","3.1929044443e+08"
"2020-04-01 01:35:00","8.3242500552e+08","8.3242500552e+08","2.3748474090e+08","2.3748474090e+08"
"2020-04-01 01:40:00","6.0539122487e+08","6.0539122487e+08","2.6429291617e+08","2.6429291617e+08"
"2020-04-01 01:45:00","6.2200200996e+08","6.2200200996e+08","3.4506177918e+08","3.4506177918e+08"
"2020-04-01 01:50:00","7.4972944866e+08","7.4972944866e+08","4.7594632818e+08","4.7594632818e+08"
"2020-04-01 01:55:00","1.3324091296e+09","1.3324091296e+09","2.9790361863e+08","2.9790361863e+08"
"2020-04-01 02:00:00","7.8929025743e+08","7.8929025743e+08","2.8479605587e+08","2.8479605587e+08"
"2020-04-01 02:05:00","5.7468909196e+08","5.7468909196e+08","2.7881796452e+08","2.7881796452e+08"
"2020-04-01 02:10:00","6.3401597725e+08","6.3401597725e+08","2.0174257978e+08","2.0174257978e+08"
"2020-04-01 02:15:00","8.0980733519e+08","8.0980733519e+08","6.7112371004e+08","6.7112371004e+08"
"2020-04-01 02:20:00","5.4155011598e+08","5.4155011598e+08","3.2376994974e+08","3.2376994974e+08"
"2020-04-01 02:25:00","4.6438774861e+08","4.6438774861e+08","2.8846542585e+08","2.8846542585e+08"
"2020-04-01 02:30:00","4.0982304145e+08","4.0982304145e+08","4.1450498667e+08","4.1450498667e+08"
"2020-04-01 02:35:00","4.0166169735e+08","4.0166169735e+08","3.0106785297e+08","3.0106785297e+08"
"2020-04-01 02:40:00","7.0498851354e+08","7.0498851354e+08","3.9981906071e+08","3.9981906071e+08"
"2020-04-01 02:45:00","4.4288290828e+08","4.4288290828e+08","1.7544726473e+08","1.7544726473e+08"
"2020-04-01 02:50:00","4.5226384927e+08","4.5226384927e+08","2.3028218243e+08","2.3028218243e+08"
"2020-04-01 02:55:00","7.0508505069e+08","7.0508505069e+08","2.1197871957e+08","2.1197871957e+08"
"2020-04-01 03:00:00","5.7279795227e+08","5.7279795227e+08","1.6115338140e+08","1.6115338140e+08"
