"Title:","mx1.lon.uk - Traffic - ae6 - | LAG INFRASTRUCTURE BACKBONE LON2 SRF0000001 | lon-lon2 | Coriant G30 300G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","46031"
"Host ID:","156"
"Nth Percentile:","85137418408","|95:bits:0:current:2|"
"Nth Percentile:","82816496744","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","7.2115173678e+10","7.2115173678e+10","7.4874132689e+10","7.4874132689e+10"
"2020-03-31 23:10:00","7.1290362044e+10","7.1290362044e+10","7.9846177189e+10","7.9846177189e+10"
"2020-03-31 23:15:00","7.6652178118e+10","7.6652178118e+10","9.3297106554e+10","9.3297106554e+10"
"2020-03-31 23:20:00","8.3640305786e+10","8.3640305786e+10","8.4241255697e+10","8.4241255697e+10"
"2020-03-31 23:25:00","8.6490151964e+10","8.6490151964e+10","8.0534129115e+10","8.0534129115e+10"
"2020-03-31 23:30:00","8.6551379654e+10","8.6551379654e+10","6.0832935574e+10","6.0832935574e+10"
"2020-03-31 23:35:00","8.4762026277e+10","8.4762026277e+10","5.5913307078e+10","5.5913307078e+10"
"2020-03-31 23:40:00","7.8099125041e+10","7.8099125041e+10","7.1452460979e+10","7.1452460979e+10"
"2020-03-31 23:45:00","7.8049890206e+10","7.8049890206e+10","7.1591949009e+10","7.1591949009e+10"
"2020-03-31 23:50:00","7.7413526008e+10","7.7413526008e+10","6.2147711116e+10","6.2147711116e+10"
"2020-03-31 23:55:00","7.1851333004e+10","7.1851333004e+10","5.2841462602e+10","5.2841462602e+10"
"2020-04-01 00:00:00","6.7759690617e+10","6.7759690617e+10","6.2525653401e+10","6.2525653401e+10"
"2020-04-01 00:05:00","6.1322297292e+10","6.1322297292e+10","4.9577419575e+10","4.9577419575e+10"
"2020-04-01 00:10:00","6.2378056737e+10","6.2378056737e+10","5.5409496339e+10","5.5409496339e+10"
"2020-04-01 00:15:00","5.7093367797e+10","5.7093367797e+10","6.2931068527e+10","6.2931068527e+10"
"2020-04-01 00:20:00","5.5120709421e+10","5.5120709421e+10","5.8625147962e+10","5.8625147962e+10"
"2020-04-01 00:25:00","6.3646939048e+10","6.3646939048e+10","5.3386948280e+10","5.3386948280e+10"
