"Title:","mx1.lon2.uk - Traffic - ae5 - LAG INFRASTRUCTURE BACKBONE AMS SRF0000001 | lon2-par | Coriant G30 100G |"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47463"
"Host ID:","235"
"Nth Percentile:","59207158676.8","|95:bits:0:current:2|"
"Nth Percentile:","53920191348","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","4.3877627586e+10","4.3877627586e+10","4.9152617355e+10","4.9152617355e+10"
"2020-03-31 23:10:00","4.0763128457e+10","4.0763128457e+10","5.2651562580e+10","5.2651562580e+10"
"2020-03-31 23:15:00","4.0850943107e+10","4.0850943107e+10","5.0671209931e+10","5.0671209931e+10"
"2020-03-31 23:20:00","5.0928881921e+10","5.0928881921e+10","4.5904868140e+10","4.5904868140e+10"
"2020-03-31 23:25:00","5.2579251759e+10","5.2579251759e+10","5.1819815372e+10","5.1819815372e+10"
"2020-03-31 23:30:00","5.2604716016e+10","5.2604716016e+10","4.0086313019e+10","4.0086313019e+10"
"2020-03-31 23:35:00","5.0575911541e+10","5.0575911541e+10","3.7367312184e+10","3.7367312184e+10"
"2020-03-31 23:40:00","4.9202485745e+10","4.9202485745e+10","4.3027383066e+10","4.3027383066e+10"
"2020-03-31 23:45:00","4.8828612482e+10","4.8828612482e+10","4.6581065785e+10","4.6581065785e+10"
"2020-03-31 23:50:00","5.0343504181e+10","5.0343504181e+10","3.5803543751e+10","3.5803543751e+10"
"2020-03-31 23:55:00","4.7600435325e+10","4.7600435325e+10","3.3028277633e+10","3.3028277633e+10"
"2020-04-01 00:00:00","4.7479597784e+10","4.7479597784e+10","4.9500633851e+10","4.9500633851e+10"
"2020-04-01 00:05:00","4.0920011499e+10","4.0920011499e+10","3.4174841825e+10","3.4174841825e+10"
"2020-04-01 00:10:00","4.3201116070e+10","4.3201116070e+10","3.6367247481e+10","3.6367247481e+10"
"2020-04-01 00:15:00","3.9559171366e+10","3.9559171366e+10","4.3826293560e+10","4.3826293560e+10"
"2020-04-01 00:20:00","3.9913916512e+10","3.9913916512e+10","4.0616338052e+10","4.0616338052e+10"
"2020-04-01 00:25:00","4.4539004641e+10","4.4539004641e+10","3.8325127764e+10","3.8325127764e+10"
"2020-04-01 00:30:00","4.2824037512e+10","4.2824037512e+10","3.8554060804e+10","3.8554060804e+10"
"2020-04-01 00:35:00","4.0818171153e+10","4.0818171153e+10","3.3384783045e+10","3.3384783045e+10"
"2020-04-01 00:40:00","4.4462599691e+10","4.4462599691e+10","3.5155972717e+10","3.5155972717e+10"
"2020-04-01 00:45:00","4.7799780165e+10","4.7799780165e+10","2.8552153142e+10","2.8552153142e+10"
"2020-04-01 00:50:00","6.1247480397e+10","6.1247480397e+10","2.9816776322e+10","2.9816776322e+10"
"2020-04-01 00:55:00","5.6705766357e+10","5.6705766357e+10","3.0277386954e+10","3.0277386954e+10"
"2020-04-01 01:00:00","5.2386412593e+10","5.2386412593e+10","3.5900527222e+10","3.5900527222e+10"
"2020-04-01 01:05:00","4.9646889453e+10","4.9646889453e+10","3.0116099483e+10","3.0116099483e+10"
"2020-04-01 01:10:00","5.9943399828e+10","5.9943399828e+10","3.1672529208e+10","3.1672529208e+10"
"2020-04-01 01:15:00","5.9361229706e+10","5.9361229706e+10","3.0045814241e+10","3.0045814241e+10"
"2020-04-01 01:20:00","5.7696907933e+10","5.7696907933e+10","4.0398077222e+10","4.0398077222e+10"
"2020-04-01 01:25:00","5.1406678968e+10","5.1406678968e+10","3.4784140512e+10","3.4784140512e+10"
"2020-04-01 01:30:00","4.9661605988e+10","4.9661605988e+10","3.1285567548e+10","3.1285567548e+10"
"2020-04-01 01:35:00","4.7103963862e+10","4.7103963862e+10","3.4446644370e+10","3.4446644370e+10"
"2020-04-01 01:40:00","5.6342631991e+10","5.6342631991e+10","3.4255811134e+10","3.4255811134e+10"
