"Title:","mx1.mil2.it - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE MIL2 SRF0000001 | MIL2-VIE  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","52905"
"Host ID:","194"
"Nth Percentile:","9587603416","|95:bits:0:current:2|"
"Nth Percentile:","18788179992.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","1.4344331470e+10","1.4344331470e+10","1.2559249912e+10","1.2559249912e+10"
"2020-03-31 23:10:00","1.3052413469e+10","1.3052413469e+10","1.3489705816e+10","1.3489705816e+10"
"2020-03-31 23:15:00","5.6301364253e+09","5.6301364253e+09","1.2089852966e+10","1.2089852966e+10"
"2020-03-31 23:20:00","8.6209422821e+09","8.6209422821e+09","1.2244963365e+10","1.2244963365e+10"
"2020-03-31 23:25:00","6.9389838860e+09","6.9389838860e+09","1.2235120243e+10","1.2235120243e+10"
"2020-03-31 23:30:00","1.0322384282e+10","1.0322384282e+10","1.0902188788e+10","1.0902188788e+10"
"2020-03-31 23:35:00","1.0549939983e+10","1.0549939983e+10","9.3744898978e+09","9.3744898978e+09"
"2020-03-31 23:40:00","7.4378738186e+09","7.4378738186e+09","8.7466560996e+09","8.7466560996e+09"
"2020-03-31 23:45:00","7.0042109680e+09","7.0042109680e+09","9.2088560177e+09","9.2088560177e+09"
"2020-03-31 23:50:00","3.1338294576e+09","3.1338294576e+09","8.1649028774e+09","8.1649028774e+09"
"2020-03-31 23:55:00","4.2217712443e+09","4.2217712443e+09","8.4441420893e+09","8.4441420893e+09"
"2020-04-01 00:00:00","4.9190622527e+09","4.9190622527e+09","8.4192009015e+09","8.4192009015e+09"
"2020-04-01 00:05:00","7.0037411639e+09","7.0037411639e+09","9.4079496690e+09","9.4079496690e+09"
"2020-04-01 00:10:00","8.5962324153e+09","8.5962324153e+09","9.1856075515e+09","9.1856075515e+09"
"2020-04-01 00:15:00","9.0648987338e+09","9.0648987338e+09","7.8016829950e+09","7.8016829950e+09"
"2020-04-01 00:20:00","9.6868897056e+09","9.6868897056e+09","7.6756000641e+09","7.6756000641e+09"
"2020-04-01 00:25:00","7.9846414241e+09","7.9846414241e+09","8.1918481192e+09","8.1918481192e+09"
"2020-04-01 00:30:00","4.7309877839e+09","4.7309877839e+09","9.7260079371e+09","9.7260079371e+09"
"2020-04-01 00:35:00","4.8661642071e+09","4.8661642071e+09","8.5880916223e+09","8.5880916223e+09"
"2020-04-01 00:40:00","4.2478894591e+09","4.2478894591e+09","8.4650362945e+09","8.4650362945e+09"
"2020-04-01 00:45:00","3.5959403806e+09","3.5959403806e+09","8.4254752781e+09","8.4254752781e+09"
"2020-04-01 00:50:00","4.5420665336e+09","4.5420665336e+09","8.5339846956e+09","8.5339846956e+09"
"2020-04-01 00:55:00","3.5216638668e+09","3.5216638668e+09","8.5665577192e+09","8.5665577192e+09"
"2020-04-01 01:00:00","7.7810539474e+09","7.7810539474e+09","8.5746400121e+09","8.5746400121e+09"
