"Title:","mx1.poz.pl - Traffic - ae3 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | poz-vie"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47877"
"Host ID:","178"
"Nth Percentile:","1099850739.36","|95:bits:0:current:2|"
"Nth Percentile:","206130361.36","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","6.5996333494e+08","6.5996333494e+08","3.3584292373e+07","3.3584292373e+07"
"2020-03-31 23:10:00","5.9859558574e+08","5.9859558574e+08","2.2329711862e+07","2.2329711862e+07"
"2020-03-31 23:15:00","6.1627109338e+08","6.1627109338e+08","2.2670246085e+07","2.2670246085e+07"
"2020-03-31 23:20:00","5.8736681371e+08","5.8736681371e+08","1.9667148925e+07","1.9667148925e+07"
"2020-03-31 23:25:00","5.4979221679e+08","5.4979221679e+08","3.2015848285e+07","3.2015848285e+07"
"2020-03-31 23:30:00","5.0507840237e+08","5.0507840237e+08","3.3361000281e+07","3.3361000281e+07"
"2020-03-31 23:35:00","1.0998507394e+09","1.0998507394e+09","3.2882159357e+07","3.2882159357e+07"
"2020-03-31 23:40:00","4.9474151476e+08","4.9474151476e+08","2.6642344897e+07","2.6642344897e+07"
"2020-03-31 23:45:00","4.3817955783e+08","4.3817955783e+08","5.5841293104e+08","5.5841293104e+08"
"2020-03-31 23:50:00","5.7066625376e+08","5.7066625376e+08","4.5601674397e+07","4.5601674397e+07"
"2020-03-31 23:55:00","4.8327891076e+08","4.8327891076e+08","2.9017886436e+07","2.9017886436e+07"
"2020-04-01 00:00:00","6.9063906511e+08","6.9063906511e+08","1.9614574957e+07","1.9614574957e+07"
"2020-04-01 00:05:00","6.1449971207e+08","6.1449971207e+08","1.3191955644e+08","1.3191955644e+08"
"2020-04-01 00:10:00","7.4967905324e+08","7.4967905324e+08","1.3557969607e+08","1.3557969607e+08"
"2020-04-01 00:15:00","6.3373026786e+08","6.3373026786e+08","2.6418873375e+07","2.6418873375e+07"
"2020-04-01 00:20:00","5.9088322080e+08","5.9088322080e+08","1.0650284380e+08","1.0650284380e+08"
"2020-04-01 00:25:00","5.9579713941e+08","5.9579713941e+08","2.3753341089e+07","2.3753341089e+07"
"2020-04-01 00:30:00","5.1980527790e+08","5.1980527790e+08","3.6604784718e+07","3.6604784718e+07"
"2020-04-01 00:35:00","4.6548012592e+08","4.6548012592e+08","3.2987098072e+07","3.2987098072e+07"
"2020-04-01 00:40:00","3.1989241495e+08","3.1989241495e+08","2.4150383408e+07","2.4150383408e+07"
"2020-04-01 00:45:00","3.8240688257e+08","3.8240688257e+08","2.9154786162e+07","2.9154786162e+07"
"2020-04-01 00:50:00","4.0003240950e+08","4.0003240950e+08","3.8067341599e+07","3.8067341599e+07"
"2020-04-01 00:55:00","5.4398072130e+08","5.4398072130e+08","3.6137613701e+07","3.6137613701e+07"
"2020-04-01 01:00:00","4.5993434740e+08","4.5993434740e+08","4.4764098490e+07","4.4764098490e+07"
"2020-04-01 01:05:00","8.3668909289e+08","8.3668909289e+08","3.7243279303e+07","3.7243279303e+07"
"2020-04-01 01:10:00","2.9480159947e+08","2.9480159947e+08","3.8077435424e+07","3.8077435424e+07"
"2020-04-01 01:15:00","2.5649820879e+08","2.5649820879e+08","5.3385485805e+08","5.3385485805e+08"
"2020-04-01 01:20:00","3.2790463146e+08","3.2790463146e+08","3.0010471964e+07","3.0010471964e+07"
"2020-04-01 01:25:00","3.3759946441e+08","3.3759946441e+08","2.3064667702e+07","2.3064667702e+07"
"2020-04-01 01:30:00","3.0924464348e+08","3.0924464348e+08","1.0090427502e+08","1.0090427502e+08"
"2020-04-01 01:35:00","3.8811699094e+08","3.8811699094e+08","2.8564158823e+07","2.8564158823e+07"
"2020-04-01 01:40:00","4.3321830808e+08","4.3321830808e+08","2.8303233356e+07","2.8303233356e+07"
"2020-04-01 01:45:00","2.4136516070e+08","2.4136516070e+08","2.0281551639e+07","2.0281551639e+07"
"2020-04-01 01:50:00","2.4281828667e+08","2.4281828667e+08","5.0328873922e+07","5.0328873922e+07"
"2020-04-01 01:55:00","2.8103069651e+08","2.8103069651e+08","2.4212674381e+07","2.4212674381e+07"
"2020-04-01 02:00:00","2.4009404491e+08","2.4009404491e+08","2.1777807516e+07","2.1777807516e+07"
"2020-04-01 02:05:00","1.9989119619e+08","1.9989119619e+08","2.2811381126e+07","2.2811381126e+07"
"2020-04-01 02:10:00","2.2536861897e+08","2.2536861897e+08","3.2355628905e+07","3.2355628905e+07"
"2020-04-01 02:15:00","2.0708665118e+08","2.0708665118e+08","1.9873595343e+07","1.9873595343e+07"
"2020-04-01 02:20:00","2.1181375185e+08","2.1181375185e+08","3.1321856964e+07","3.1321856964e+07"
"2020-04-01 02:25:00","2.2051747102e+08","2.2051747102e+08","3.2967648098e+07","3.2967648098e+07"
"2020-04-01 02:30:00","2.0201947715e+08","2.0201947715e+08","5.3459017298e+07","5.3459017298e+07"
"2020-04-01 02:35:00","2.0442988286e+08","2.0442988286e+08","1.0433969889e+08","1.0433969889e+08"
"2020-04-01 02:40:00","2.2636379988e+08","2.2636379988e+08","3.8176693747e+07","3.8176693747e+07"
"2020-04-01 02:45:00","1.7581765727e+08","1.7581765727e+08","6.0397679165e+07","6.0397679165e+07"
"2020-04-01 02:50:00","1.6916567641e+08","1.6916567641e+08","3.1143598878e+07","3.1143598878e+07"
"2020-04-01 02:55:00","6.6124953022e+08","6.6124953022e+08","1.1084463336e+08","1.1084463336e+08"
"2020-04-01 03:00:00","1.4131030699e+08","1.4131030699e+08","3.5891597133e+07","3.5891597133e+07"
"2020-04-01 03:05:00","1.3805792230e+08","1.3805792230e+08","2.7565315968e+07","2.7565315968e+07"
"2020-04-01 03:10:00","1.1360566869e+08","1.1360566869e+08","4.1982035068e+07","4.1982035068e+07"
"2020-04-01 03:15:00","1.3470911494e+08","1.3470911494e+08","3.7755594851e+07","3.7755594851e+07"
"2020-04-01 03:20:00","1.0946760585e+08","1.0946760585e+08","2.8235942265e+07","2.8235942265e+07"
"2020-04-01 03:25:00","1.1780771446e+08","1.1780771446e+08","2.3069642354e+07","2.3069642354e+07"
"2020-04-01 03:30:00","1.0757991535e+08","1.0757991535e+08","1.8100416896e+07","1.8100416896e+07"
"2020-04-01 03:35:00","1.1027096188e+08","1.1027096188e+08","2.0360088366e+07","2.0360088366e+07"
"2020-04-01 03:40:00","2.0423971915e+08","2.0423971915e+08","1.4175764293e+08","1.4175764293e+08"
"2020-04-01 03:45:00","1.1474778675e+08","1.1474778675e+08","3.8791941592e+07","3.8791941592e+07"
"2020-04-01 03:50:00","9.2867708459e+07","9.2867708459e+07","2.8583152038e+07","2.8583152038e+07"
"2020-04-01 03:55:00","1.1223932434e+08","1.1223932434e+08","2.3222303735e+07","2.3222303735e+07"
"2020-04-01 04:00:00","1.2905024942e+08","1.2905024942e+08","2.0312363450e+07","2.0312363450e+07"
"2020-04-01 04:05:00","9.8005332354e+07","9.8005332354e+07","1.7674219456e+07","1.7674219456e+07"
"2020-04-01 04:10:00","1.1420825824e+08","1.1420825824e+08","2.8163704318e+07","2.8163704318e+07"
"2020-04-01 04:15:00","1.0155407364e+08","1.0155407364e+08","6.3319864238e+08","6.3319864238e+08"
"2020-04-01 04:20:00","8.6427880542e+07","8.6427880542e+07","5.4378553355e+07","5.4378553355e+07"
"2020-04-01 04:25:00","9.3853308605e+07","9.3853308605e+07","2.5377373462e+07","2.5377373462e+07"
