"Title:","mx1.pra.cz - Traffic - ae8 - LAG INFRASTRUCTURE BACKBONE PRA SRF0000001 | FRA-PRA  | Coriant G30 300G"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","53015"
"Host ID:","141"
"Nth Percentile:","38656463083.2","|95:bits:0:current:2|"
"Nth Percentile:","26019331067.2","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","3.4410022499e+10","3.4410022499e+10","1.1724792468e+10","1.1724792468e+10"
"2020-03-31 23:10:00","3.2778071934e+10","3.2778071934e+10","1.1946402985e+10","1.1946402985e+10"
"2020-03-31 23:15:00","3.6932696864e+10","3.6932696864e+10","1.4133154064e+10","1.4133154064e+10"
"2020-03-31 23:20:00","3.8601941679e+10","3.8601941679e+10","1.2429760359e+10","1.2429760359e+10"
"2020-03-31 23:25:00","3.7081434158e+10","3.7081434158e+10","1.0511204647e+10","1.0511204647e+10"
"2020-03-31 23:30:00","3.4739931013e+10","3.4739931013e+10","7.6616857977e+09","7.6616857977e+09"
"2020-03-31 23:35:00","3.9343991249e+10","3.9343991249e+10","8.3005266318e+09","8.3005266318e+09"
"2020-03-31 23:40:00","3.0281806701e+10","3.0281806701e+10","2.6400424653e+10","2.6400424653e+10"
"2020-03-31 23:45:00","2.8207981166e+10","2.8207981166e+10","3.1774829078e+10","3.1774829078e+10"
"2020-03-31 23:50:00","3.0898996287e+10","3.0898996287e+10","2.6019331067e+10","2.6019331067e+10"
"2020-03-31 23:55:00","2.4657028594e+10","2.4657028594e+10","1.3673229136e+10","1.3673229136e+10"
"2020-04-01 00:00:00","2.0988444522e+10","2.0988444522e+10","1.2153846471e+10","1.2153846471e+10"
"2020-04-01 00:05:00","2.4036803385e+10","2.4036803385e+10","1.3015473364e+10","1.3015473364e+10"
"2020-04-01 00:10:00","2.2460796561e+10","2.2460796561e+10","1.2409026876e+10","1.2409026876e+10"
"2020-04-01 00:15:00","2.0791191838e+10","2.0791191838e+10","1.0464773732e+10","1.0464773732e+10"
"2020-04-01 00:20:00","2.0534934285e+10","2.0534934285e+10","8.0379364959e+09","8.0379364959e+09"
"2020-04-01 00:25:00","2.2170677089e+10","2.2170677089e+10","8.4108734211e+09","8.4108734211e+09"
"2020-04-01 00:30:00","2.1435821364e+10","2.1435821364e+10","8.9286500555e+09","8.9286500555e+09"
"2020-04-01 00:35:00","2.3347814230e+10","2.3347814230e+10","8.6040341237e+09","8.6040341237e+09"
"2020-04-01 00:40:00","2.1616729499e+10","2.1616729499e+10","8.2110996715e+09","8.2110996715e+09"
"2020-04-01 00:45:00","2.0597207319e+10","2.0597207319e+10","9.6497460914e+09","9.6497460914e+09"
"2020-04-01 00:50:00","1.9752106477e+10","1.9752106477e+10","8.4596340785e+09","8.4596340785e+09"
