"Title:","mx1.vie.at - Traffic - ae1 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | vie-zag"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47883"
"Host ID:","132"
"Nth Percentile:","4219087.16","|95:bits:0:current:2|"
"Nth Percentile:","1646246.73","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","2.0480161543e+06","2.0480161543e+06","1.3998442864e+06","1.3998442864e+06"
"2020-03-31 23:10:00","1.9157471760e+06","1.9157471760e+06","1.4243220144e+06","1.4243220144e+06"
"2020-03-31 23:15:00","3.3421675036e+06","3.3421675036e+06","1.5439531714e+06","1.5439531714e+06"
"2020-03-31 23:20:00","3.5530473627e+06","3.5530473627e+06","1.5966501632e+06","1.5966501632e+06"
"2020-03-31 23:25:00","2.4663323694e+06","2.4663323694e+06","1.5533703180e+06","1.5533703180e+06"
"2020-03-31 23:30:00","1.8853618912e+06","1.8853618912e+06","1.4938185758e+06","1.4938185758e+06"
"2020-03-31 23:35:00","2.4031504589e+06","2.4031504589e+06","1.4284742093e+06","1.4284742093e+06"
"2020-03-31 23:40:00","2.2109157616e+06","2.2109157616e+06","1.4911526715e+06","1.4911526715e+06"
"2020-03-31 23:45:00","2.2876660283e+06","2.2876660283e+06","1.4203906359e+06","1.4203906359e+06"
"2020-03-31 23:50:00","2.2522820327e+06","2.2522820327e+06","1.4217899092e+06","1.4217899092e+06"
"2020-03-31 23:55:00","1.7713027924e+06","1.7713027924e+06","1.5074881526e+06","1.5074881526e+06"
"2020-04-01 00:00:00","2.0148262048e+06","2.0148262048e+06","1.6072060664e+06","1.6072060664e+06"
"2020-04-01 00:05:00","2.1982436159e+06","2.1982436159e+06","1.4249514110e+06","1.4249514110e+06"
"2020-04-01 00:10:00","1.9040844471e+06","1.9040844471e+06","1.4238048574e+06","1.4238048574e+06"
"2020-04-01 00:15:00","1.9842236706e+06","1.9842236706e+06","1.4848888001e+06","1.4848888001e+06"
"2020-04-01 00:20:00","2.1209897208e+06","2.1209897208e+06","1.4242363285e+06","1.4242363285e+06"
"2020-04-01 00:25:00","1.7811783862e+06","1.7811783862e+06","1.5193736091e+06","1.5193736091e+06"
"2020-04-01 00:30:00","2.0480297963e+06","2.0480297963e+06","1.4349499817e+06","1.4349499817e+06"
"2020-04-01 00:35:00","1.8232189719e+06","1.8232189719e+06","1.4367218522e+06","1.4367218522e+06"
