"Title:","mx2.lis.pt - Traffic - ae0 - LAG INFRASTRUCTURE BACKBONE SRF0000001 | lis-mad"
"Vertical Label:","bits per second"
"Start Date:","2020-03-31 23:05:00"
"End Date:","2020-04-02 01:00:00"
"Step:","300"
"Total Rows:","312"
"Graph ID:","47865"
"Host ID:","163"
"Nth Percentile:","3986070373.36","|95:bits:0:current:2|"
"Nth Percentile:","5124591226.8","|95:bits:0:current:2|"
""
"Date","Inbound","Peak","Outbound","Peak"
"2020-03-31 23:05:00","3.9965606734e+09","3.9965606734e+09","1.0071210183e+09","1.0071210183e+09"
"2020-03-31 23:10:00","3.9000795144e+09","3.9000795144e+09","1.1744876166e+09","1.1744876166e+09"
"2020-03-31 23:15:00","5.2106081878e+09","5.2106081878e+09","1.5706147010e+09","1.5706147010e+09"
"2020-03-31 23:20:00","4.1725956315e+09","4.1725956315e+09","1.4524595324e+09","1.4524595324e+09"
"2020-03-31 23:25:00","2.8034749397e+09","2.8034749397e+09","1.1676583609e+09","1.1676583609e+09"
"2020-03-31 23:30:00","2.4436851738e+09","2.4436851738e+09","1.4802884351e+09","1.4802884351e+09"
"2020-03-31 23:35:00","2.2034293381e+09","2.2034293381e+09","1.1404564294e+09","1.1404564294e+09"
"2020-03-31 23:40:00","2.0295030660e+09","2.0295030660e+09","1.2142217976e+09","1.2142217976e+09"
"2020-03-31 23:45:00","1.8848907466e+09","1.8848907466e+09","1.0917877166e+09","1.0917877166e+09"
"2020-03-31 23:50:00","2.0066701495e+09","2.0066701495e+09","1.1321084805e+09","1.1321084805e+09"
"2020-03-31 23:55:00","1.9323584237e+09","1.9323584237e+09","1.0132511744e+09","1.0132511744e+09"
"2020-04-01 00:00:00","1.8873832909e+09","1.8873832909e+09","1.2205267454e+09","1.2205267454e+09"
"2020-04-01 00:05:00","2.1379231596e+09","2.1379231596e+09","1.2035496077e+09","1.2035496077e+09"
"2020-04-01 00:10:00","2.2422689507e+09","2.2422689507e+09","1.1056005216e+09","1.1056005216e+09"
"2020-04-01 00:15:00","1.9101541051e+09","1.9101541051e+09","1.0837798923e+09","1.0837798923e+09"
"2020-04-01 00:20:00","1.8740918883e+09","1.8740918883e+09","1.2610111521e+09","1.2610111521e+09"
"2020-04-01 00:25:00","2.2028034022e+09","2.2028034022e+09","1.0251164415e+09","1.0251164415e+09"
"2020-04-01 00:30:00","1.8920572304e+09","1.8920572304e+09","1.2087206594e+09","1.2087206594e+09"
"2020-04-01 00:35:00","1.7462187688e+09","1.7462187688e+09","1.1858404332e+09","1.1858404332e+09"
"2020-04-01 00:40:00","1.6728058546e+09","1.6728058546e+09","1.0684334770e+09","1.0684334770e+09"
"2020-04-01 00:45:00","1.6179896272e+09","1.6179896272e+09","1.2973502456e+09","1.2973502456e+09"
"2020-04-01 00:50:00","1.7678104291e+09","1.7678104291e+09","1.2060483402e+09","1.2060483402e+09"
"2020-04-01 00:55:00","3.7464954068e+09","3.7464954068e+09","1.3859946753e+09","1.3859946753e+09"
"2020-04-01 01:00:00","2.3888489447e+09","2.3888489447e+09","1.1736836715e+09","1.1736836715e+09"
"2020-04-01 01:05:00","2.3201882652e+09","2.3201882652e+09","1.0521699221e+09","1.0521699221e+09"
"2020-04-01 01:10:00","3.5727685859e+09","3.5727685859e+09","1.1689530545e+09","1.1689530545e+09"
"2020-04-01 01:15:00","3.5693889702e+09","3.5693889702e+09","9.1144690624e+08","9.1144690624e+08"
"2020-04-01 01:20:00","3.2532067572e+09","3.2532067572e+09","8.9972094462e+08","8.9972094462e+08"
"2020-04-01 01:25:00","5.7655477494e+09","5.7655477494e+09","9.6900094144e+08","9.6900094144e+08"
